commonRxns,FSR_PCOPT,Status_PCOPT
AD_5MTHFt2,9.56993544605211e-08,Unchanged
AD_ACGAM6PSi,1718.77669522843,Upregulated
AD_ACGAMK,188.714307813242,Upregulated
AD_ACGAMPM,250.593259291713,Upregulated
AD_ADMDC,38.5189046201217,Upregulated
AD_ASCBt4,194860897.733182,Upregulated
AD_BAMPPALDOX,40.609209453296,Upregulated
AD_DMATTx,65.6773092639456,Upregulated
AD_DNDPt28m,23.2353504710131,Upregulated
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,6984146.22463845,Upregulated
AD_FAS80COA_L,1262.11651492571,Upregulated
AD_FRDPtr,65.6773092927603,Upregulated
AD_FTHFLm,2.8819540513413,Upregulated
AD_GF6PTA,157.980880461359,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,65.6773092639456,Upregulated
AD_H2Otn,2.35401680366454e-07,Unchanged
AD_HMGCOAtx,91145.7182683731,Upregulated
AD_HMR_0197,17.1224418710964,Upregulated
AD_HMR_0807,9.8515254888599,Upregulated
AD_HMR_0830,5.66387502682,Upregulated
AD_HMR_1135,2336629338.60255,Upregulated
AD_HMR_1242,2336629338.60255,Upregulated
AD_HMR_1526,2.71637673506602,Upregulated
AD_HMR_2018,0,Unchanged
AD_HMR_2281,172265583.813045,Upregulated
AD_HMR_2611,136366614.308935,Upregulated
AD_HMR_2612,1340714388.55989,Upregulated
AD_HMR_2634,1473105314.06035,Upregulated
AD_HMR_2673,1884718196.12628,Upregulated
AD_HMR_2712,261747103.78064,Upregulated
AD_HMR_2713,261747103.78064,Upregulated
AD_HMR_2727,768634240.330467,Upregulated
AD_HMR_4078,40.6092275527804,Upregulated
AD_HMR_4079,40.6091779508581,Upregulated
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,65.6773092927603,Upregulated
AD_KAS8,567.826478471012,Upregulated
AD_LALDO,1.0000177852479,Unchanged
AD_LPS6e,122.10337545362,Upregulated
AD_LTHSTRLtr,204.161089079137,Upregulated
AD_L_LACt2r,1.53441801000559e-06,Unchanged
AD_NDPK4m,14.0300753994262,Upregulated
AD_NDPK8m,13.3078819539762,Upregulated
AD_P450LTB4r,455.763506696368,Upregulated
AD_PEHSFABPe,93.3860143272533,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,44.7329693397371,Upregulated
AD_PSSA2_hs,241.925872837342,Upregulated
AD_RE3597X,2336629338.60255,Upregulated
AD_SPRMS,40.6092275527804,Upregulated
AD_SQLSr,8350745668.04476,Upregulated
AD_TRDR,29.1185251012255,Upregulated
AD_UAGDP,250.593259245302,Upregulated
AD_r0208,853.036813843843,Upregulated
AD_r0392,59.448512726961,Upregulated
AD_r0841,5.36859717907322,Upregulated
AD_r0899,38.5188814620336,Upregulated
AD_r1090,0.01,Downregulated
AD_r2436,1549622709.5766,Upregulated
AD_sink_34dhpac[c],3301.67218839113,Upregulated
AD_sink_retfa[c],176.648845328095,Upregulated
EN_3DHCDCHOLt,1.00000027825332,Unchanged
EN_3DHCHOLt,1.00000027825339,Unchanged
EN_3DHDCAt,1.00000027825339,Unchanged
EN_3DHLCAt,1.00000027825339,Unchanged
EN_ABUTD,152.435463097764,Upregulated
EN_ACONT,147273529.997135,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,350.50465167057,Upregulated
EN_APRTO2,309.608431380234,Upregulated
EN_BETALDHxm,39.0907343691982,Upregulated
EN_C10DCc,0,Unchanged
EN_C30CPT1,2.91393227598746e-07,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,50.0685740210177,Upregulated
EN_CHOLD2m,39.0907343691982,Upregulated
EN_CYTK1m,50.0685739887232,Upregulated
EN_DALAt2r,2,Upregulated
EN_DOLGLCP_Lter,1.46487711481657,Unchanged
EN_FADH2tru,17.7296491141869,Upregulated
EN_FADtru,17.7296491141869,Upregulated
EN_FUM,147273773.915969,Upregulated
EN_G6PPer,261.761608201817,Upregulated
EN_GLB1,10.5405158187174,Upregulated
EN_GLYBtm,39.0907343439845,Upregulated
EN_GLYKm,50.0685740210177,Upregulated
EN_H2CO3D,940917346.810279,Upregulated
EN_HMR_0182,568.571415241148,Upregulated
EN_HMR_0321,240.64674198365,Upregulated
EN_HMR_0582,50.0685740210177,Upregulated
EN_HMR_0761,73.887618643866,Upregulated
EN_HMR_0770,1.0000000442124,Unchanged
EN_HMR_0803,240.029866244422,Upregulated
EN_HMR_0847,17.5791318571497,Upregulated
EN_HMR_1565,1.60778862082122e-05,Unchanged
EN_HMR_1766,3542.9332606497,Upregulated
EN_HMR_1769,3542.93361227622,Upregulated
EN_HMR_1771,3542.93361227622,Upregulated
EN_HMR_4278,2.88581372593634e-07,Unchanged
EN_HMR_4696,108.432235034322,Upregulated
EN_HMR_6511,17.729649114187,Upregulated
EN_HMR_6572,587652681.415895,Upregulated
EN_HYOCHOLt,1.0000002782534,Unchanged
EN_LCAT10e,44.5717796722466,Upregulated
EN_LCAT11e,60.5894015634692,Upregulated
EN_LCAT15e,60.58942777515,Upregulated
EN_LCAT23e,867.359170563181,Upregulated
EN_LCAT34e,60.5893759490565,Upregulated
EN_LCAT50e,60.5893925273592,Upregulated
EN_LCAT7e,60.5893997410435,Upregulated
EN_LYSt4,685795005.789764,Upregulated
EN_MI1PS,585575460.142929,Upregulated
EN_MI3PP,587652681.408909,Upregulated
EN_NABTNO,309.608431380234,Upregulated
EN_NDPK3m,50.0685739887232,Upregulated
EN_NTD2e,80.9390921002838,Upregulated
EN_ORNDC,309.608435168222,Upregulated
EN_PGLYCtm,50.0685739887232,Upregulated
EN_PGPP_hs,20254.1032000698,Upregulated
EN_PGPP_hsc,50.0685740210177,Upregulated
EN_PPAer,133.588720019049,Upregulated
EN_PSSA1_hs,713937.222229326,Upregulated
EN_PTRCAT1,309.608431380234,Upregulated
EN_PUNP7,239.63714759116,Upregulated
EN_RDH3,2,Upregulated
EN_RE3010M,1.00000113861782,Unchanged
EN_RE3597C,1455504150.21568,Upregulated
EN_SEBACACT,0,Unchanged
EN_THYOCHOLt,1.00000027825339,Unchanged
EN_UDCHOLt,1.00000027825336,Unchanged
EN_UDPDOLPT_L,1.46487711481657,Unchanged
EN_UGCG,77.8973783202685,Upregulated
EN_UREAt,570757736.61574,Upregulated
EN_VLCS2p,53.0178337021342,Upregulated
EN_XOLEST183CEH,867.359170563181,Upregulated
EN_XOLEST183te,867.359170018738,Upregulated
EN_XOLEST183tl,867.359170018738,Upregulated
EN_r0022,185110135.247173,Upregulated
EN_r0051,75.987148758822,Upregulated
EN_r0166,75.9871487409954,Upregulated
EN_r0224,0.983231393380143,Unchanged
EN_r0726,0,Unchanged
EN_r0743,1161.61871600949,Upregulated
EN_r1298,867.359170563181,Upregulated
EN_r1645,1.01854397386621,Unchanged
EN_r1664,1056.43376002091,Upregulated
EN_sink_gchola[c],3.84926494083372,Upregulated
EN_sink_gln_L[c],880.201404743913,Upregulated
EN_sink_pro_L[c],1,Unchanged
EN_sink_xol7aone[c],32.1633846576737,Upregulated
GN_2OBUTt,3.5760770707317e-06,Unchanged
GN_4ABUTtm,46.6240809978334,Upregulated
GN_ABTArm,46.6240809978334,Upregulated
GN_ABUTt2rL,14.3202267665296,Upregulated
GN_ACACT10m,0,Unchanged
GN_ACACT9p,3.77426912316531,Upregulated
GN_ACGALK,23.0285985407463,Upregulated
GN_ACMPthc,0,Unchanged
GN_ADSK,7.99207829451045,Upregulated
GN_ARACHDFATPtc,7.76108534429379,Upregulated
GN_ARACHDtr,9.00181592225,Upregulated
