commonRxns,FSR_PCOPT,Status_PCOPT
AD_5MTHFt2,1.63186840937549e-06,Unchanged
AD_ACGAM6PSi,4231.13764736865,Upregulated
AD_ACGAMK,347.486243965541,Upregulated
AD_ACGAMPM,448.663082099095,Upregulated
AD_ADMDC,74.968537489817,Upregulated
AD_ASCBt4,21614542.3063848,Upregulated
AD_BAMPPALDOX,74.9685269715581,Upregulated
AD_DMATTx,119.501763272191,Upregulated
AD_DNDPt28m,41.3916354385067,Upregulated
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,810773.658134106,Upregulated
AD_FAS80COA_L,2530.41089986713,Upregulated
AD_FRDPtr,119.501761560205,Upregulated
AD_FTHFLm,5.34054937505683,Upregulated
AD_GF6PTA,408.854145575331,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,119.501763272191,Upregulated
AD_H2Otn,3.85428197926935e-06,Unchanged
AD_HMGCOAtx,125125.268304926,Upregulated
AD_HMR_0197,29.7886350581413,Upregulated
AD_HMR_0807,19.0919439653475,Upregulated
AD_HMR_0830,10.3179098858997,Upregulated
AD_HMR_1135,359041278.220518,Upregulated
AD_HMR_1242,359041278.220518,Upregulated
AD_HMR_1526,4.94763722220385,Upregulated
AD_HMR_2018,0,Unchanged
AD_HMR_2281,21147913.2500956,Upregulated
AD_HMR_2611,17206072.7814684,Upregulated
AD_HMR_2612,161296131.523766,Upregulated
AD_HMR_2634,163400962.65682,Upregulated
AD_HMR_2673,210167566.176201,Upregulated
AD_HMR_2712,30570397.8395201,Upregulated
AD_HMR_2713,30570397.8395201,Upregulated
AD_HMR_2727,85259127.3065338,Upregulated
AD_HMR_4078,74.9685403120164,Upregulated
AD_HMR_4079,74.9685474323493,Upregulated
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,119.501761560205,Upregulated
AD_KAS8,1091.71886040439,Upregulated
AD_LALDO,1.00035445162981,Unchanged
AD_LPS6e,282.367532793148,Upregulated
AD_LTHSTRLtr,368.972717896849,Upregulated
AD_L_LACt2r,2.65462237899432e-05,Unchanged
AD_NDPK4m,24.8935947020638,Upregulated
AD_NDPK8m,24.7513695291312,Upregulated
AD_P450LTB4r,892.10213687669,Upregulated
AD_PEHSFABPe,168.424002916689,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,82.624428525875,Upregulated
AD_PSSA2_hs,410.442305970417,Upregulated
AD_RE3597X,359041278.220518,Upregulated
AD_SPRMS,74.9685403120164,Upregulated
AD_SQLSr,920997071.908213,Upregulated
AD_TRDR,51.2352187704203,Upregulated
AD_UAGDP,448.663082101028,Upregulated
AD_r0208,3104.96465678306,Upregulated
AD_r0392,107.672712933351,Upregulated
AD_r0841,5.19574435678835,Upregulated
AD_r0899,74.9685356422243,Upregulated
AD_r1090,0.01,Downregulated
AD_r2436,180181397.325922,Upregulated
AD_sink_34dhpac[c],5988.605852442,Upregulated
AD_sink_retfa[c],339.551051574246,Upregulated
EN_3DHCDCHOLt,1.00000442647829,Unchanged
EN_3DHCHOLt,1.0000044264783,Unchanged
EN_3DHDCAt,1.00000442647829,Unchanged
EN_3DHLCAt,1.00000442647831,Unchanged
EN_ABUTD,396.610473023899,Upregulated
EN_ACONT,16315762.0970432,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,915.919460650411,Upregulated
EN_APRTO2,546.32593595166,Upregulated
EN_BETALDHxm,70.7535844300452,Upregulated
EN_C10DCc,1.02264825123649,Unchanged
EN_C30CPT1,4.63550572993654e-06,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,34627.0150742499,Upregulated
EN_CHOLD2m,70.7535844300452,Upregulated
EN_CYTK1m,34627.0150742499,Upregulated
EN_DALAt2r,2,Upregulated
EN_DOLGLCP_Lter,2.7710842422612,Upregulated
EN_FADH2tru,17.7296480825665,Upregulated
EN_FADtru,17.7296480825665,Upregulated
EN_FUM,16336559.4899077,Upregulated
EN_G6PPer,486.96376053089,Upregulated
EN_GLB1,18.5994859501918,Upregulated
EN_GLYBtm,70.7535841075536,Upregulated
EN_GLYKm,34627.0150742499,Upregulated
EN_H2CO3D,99485368.8166264,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,424.638217945223,Upregulated
EN_HMR_0582,34627.0150742499,Upregulated
EN_HMR_0761,370.860679933098,Upregulated
EN_HMR_0770,1.00000070333451,Unchanged
EN_HMR_0803,638.111511439249,Upregulated
EN_HMR_0847,31.0395568182599,Upregulated
EN_HMR_1565,0.00025968634775481,Unchanged
EN_HMR_1766,6251.76242069918,Upregulated
EN_HMR_1769,6251.76240292396,Upregulated
EN_HMR_1771,6251.76240292396,Upregulated
EN_HMR_4278,4.60280685677888e-06,Unchanged
EN_HMR_4696,191.903087705431,Upregulated
EN_HMR_6511,17.7296480825667,Upregulated
EN_HMR_6572,57351732.0812894,Upregulated
EN_HYOCHOLt,1.0000044264783,Unchanged
EN_LCAT10e,186.88384048816,Upregulated
EN_LCAT11e,186.883805666605,Upregulated
EN_LCAT15e,186.883831151983,Upregulated
EN_LCAT23e,1521.77157721607,Upregulated
EN_LCAT34e,186.883819159285,Upregulated
EN_LCAT50e,186.084294917038,Upregulated
EN_LCAT7e,186.084331464938,Upregulated
EN_LYSt4,76070357.4961897,Upregulated
EN_MI1PS,57681261.2362773,Upregulated
EN_MI3PP,57351732.0829577,Upregulated
EN_NABTNO,546.32593595166,Upregulated
EN_NDPK3m,34627.0150742499,Upregulated
EN_NTD2e,142.822831524194,Upregulated
EN_ORNDC,546.325977430585,Upregulated
EN_PGLYCtm,34627.0150742499,Upregulated
EN_PGPP_hs,34699.3132753202,Upregulated
EN_PGPP_hsc,34627.0150742499,Upregulated
EN_PPAer,235.726827247536,Upregulated
EN_PSSA1_hs,118506.21625579,Upregulated
EN_PTRCAT1,546.32593595166,Upregulated
EN_PUNP7,435.547953770186,Upregulated
EN_RDH3,2,Upregulated
EN_RE3010M,1.00001811322956,Unchanged
EN_RE3597C,161448791.594143,Upregulated
EN_SEBACACT,1.02264825797717,Unchanged
EN_THYOCHOLt,1.00000442647832,Unchanged
EN_UDCHOLt,1.00000442647831,Unchanged
EN_UDPDOLPT_L,2.7710842422612,Upregulated
EN_UGCG,372.991716303805,Upregulated
EN_UREAt,63310074.3045051,Upregulated
EN_VLCS2p,93.5542897786881,Upregulated
EN_XOLEST183CEH,1521.77157721607,Upregulated
EN_XOLEST183te,1521.7716365845,Upregulated
EN_XOLEST183tl,1521.7716365845,Upregulated
EN_r0022,20611749.8805366,Upregulated
