commonRxns,FSR_PCOPT,Status_PCOPT
AD_5MTHFt2,1.51599623090696e-06,Unchanged
AD_ACGAM6PSi,393.196353952977,Upregulated
AD_ACGAMK,30.9826781167392,Upregulated
AD_ACGAMPM,41.1906891657559,Upregulated
AD_ADMDC,6.62512507349233,Upregulated
AD_ASCBt4,2049694.87239491,Upregulated
AD_BAMPPALDOX,6.62512516035263,Upregulated
AD_DMATTx,10.7148773578242,Upregulated
AD_DNDPt28m,3.7849062604932,Upregulated
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,79536.3180691723,Upregulated
AD_FAS80COA_L,226.018555115276,Upregulated
AD_FRDPtr,10.7148773591325,Upregulated
AD_FTHFLm,0.476597834207681,Downregulated
AD_GF6PTA,36.1927840481289,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,10.7148773578242,Upregulated
AD_H2Otn,3.64321088615223e-06,Unchanged
AD_HMGCOAtx,17586.2781710778,Upregulated
AD_HMR_0197,2.8050345770777,Upregulated
AD_HMR_0807,1.69633929928955,Unchanged
AD_HMR_0830,0.922320688706346,Unchanged
AD_HMR_1135,34269496.7823148,Upregulated
AD_HMR_1242,34269496.7823148,Upregulated
AD_HMR_1526,0.44668104220569,Downregulated
AD_HMR_2018,0,Unchanged
AD_HMR_2281,2014760.86110091,Upregulated
AD_HMR_2611,1703130.29510056,Upregulated
AD_HMR_2612,15892690.9395811,Upregulated
AD_HMR_2634,15495219.6025949,Upregulated
AD_HMR_2673,19930066.5805208,Upregulated
AD_HMR_2712,2902667.45082191,Upregulated
AD_HMR_2713,2902667.45082191,Upregulated
AD_HMR_2727,8085074.79266598,Upregulated
AD_HMR_4078,6.62512515360939,Upregulated
AD_HMR_4079,6.62512505167404,Upregulated
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,10.7148773591325,Upregulated
AD_KAS8,97.7887890495432,Upregulated
AD_LALDO,1.0002424597066,Unchanged
AD_LPS6e,25.0964246522904,Upregulated
AD_LTHSTRLtr,33.3051606244592,Upregulated
AD_L_LACt2r,2.37544955638085e-05,Unchanged
AD_NDPK4m,2.28460249641374,Upregulated
AD_NDPK8m,2.28460245097432,Upregulated
AD_P450LTB4r,78.2453712257465,Upregulated
AD_PEHSFABPe,16.0697827579889,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,7.40698410944619,Upregulated
AD_PSSA2_hs,39.4874768640648,Upregulated
AD_RE3597X,34269496.7823148,Upregulated
AD_SPRMS,6.62512515360939,Upregulated
AD_SQLSr,87839452.483383,Upregulated
AD_TRDR,4.73527155787268,Upregulated
AD_UAGDP,41.1906891658397,Upregulated
AD_r0208,262.538584236168,Upregulated
AD_r0392,9.80645279089504,Upregulated
AD_r0841,5.26395758035561,Upregulated
AD_r0899,6.62512504486303,Upregulated
AD_r1090,0.01,Downregulated
AD_r2436,17184678.5468787,Upregulated
AD_sink_34dhpac[c],10981348.2984778,Upregulated
AD_sink_retfa[c],30.3569139553663,Upregulated
EN_3DHCDCHOLt,1.000004307683,Unchanged
EN_3DHCHOLt,1.00000430768308,Unchanged
EN_3DHDCAt,1.000004307683,Unchanged
EN_3DHLCAt,1.00000430768308,Unchanged
EN_ABUTD,36.49097461621,Upregulated
EN_ACONT,1549165.87899234,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,84.2238544911777,Upregulated
EN_APRTO2,50.4173866027521,Upregulated
EN_BETALDHxm,6.55064785672509,Upregulated
EN_C10DCc,0.515470594676429,Unchanged
EN_C30CPT1,4.51110071196581e-06,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,3359.91444667451,Upregulated
EN_CHOLD2m,6.55064785672509,Upregulated
EN_CYTK1m,3359.91444656026,Upregulated
EN_DALAt2r,2,Upregulated
EN_DOLGLCP_Lter,0.255727973015782,Downregulated
EN_FADH2tru,17.7296368808604,Upregulated
EN_FADtru,17.7296368808604,Upregulated
EN_FUM,1549165.85491538,Upregulated
EN_G6PPer,44.939177431097,Upregulated
EN_GLB1,1.71644323268225,Unchanged
EN_GLYBtm,6.55064785650235,Upregulated
EN_GLYKm,3359.91444667451,Upregulated
EN_H2CO3D,9478502.53453358,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,45.7366057773397,Upregulated
EN_HMR_0582,3359.91444667451,Upregulated
EN_HMR_0761,34.4213222375946,Upregulated
EN_HMR_0770,1.00000068445885,Unchanged
EN_HMR_0803,58.9208477597373,Upregulated
EN_HMR_0847,2.86262252964987,Upregulated
EN_HMR_1565,0.00024797972256593,Unchanged
EN_HMR_1766,576.940382948432,Upregulated
EN_HMR_1769,576.940396038915,Upregulated
EN_HMR_1771,576.940396038915,Upregulated
EN_HMR_4278,4.46756114102683e-06,Unchanged
