commonRxns,FSR_PCOPT,Status_PCOPT
AD_5MTHFt2,8.20227778604021e-08,Unchanged
AD_ACGAM6PSi,31.4467774865104,Upregulated
AD_ACGAMK,2.18528615379079,Upregulated
AD_ACGAMPM,3.82038809044076,Upregulated
AD_ADMDC,0.478120092917209,Downregulated
AD_ASCBt4,2697408.96478427,Upregulated
AD_BAMPPALDOX,0.47812003808963,Downregulated
AD_DMATTx,0.77629287268529,Unchanged
AD_DNDPt28m,0.292422067094588,Downregulated
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,104338.325802357,Upregulated
AD_FAS80COA_L,15.069238658324,Upregulated
AD_FRDPtr,0.776292872590424,Unchanged
AD_FTHFLm,0.0362811121605491,Downregulated
AD_GF6PTA,3.57563421951908,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,0.77629287268529,Unchanged
AD_H2Otn,2.07395645462544e-07,Unchanged
AD_HMGCOAtx,501.59843466856,Upregulated
AD_HMR_0197,0.193949297121333,Downregulated
AD_HMR_0807,0.123109443188619,Downregulated
AD_HMR_0830,0.0670697605863238,Downregulated
AD_HMR_1135,44845312.7870785,Upregulated
AD_HMR_1242,44845312.7870785,Upregulated
AD_HMR_1526,0.0331364069275266,Downregulated
AD_HMR_2018,0,Unchanged
AD_HMR_2281,1960634.20013819,Upregulated
AD_HMR_2611,1717777.96829487,Upregulated
AD_HMR_2612,21677307.3767465,Upregulated
AD_HMR_2634,20391789.6498885,Upregulated
AD_HMR_2673,26228069.7025825,Upregulated
AD_HMR_2712,3819925.2708001,Upregulated
AD_HMR_2713,3819925.2708001,Upregulated
AD_HMR_2727,10639999.8016283,Upregulated
AD_HMR_4078,0.478120051287581,Downregulated
AD_HMR_4079,0.478120065961851,Downregulated
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,0.776292872590424,Unchanged
AD_KAS8,6.04895895287089,Upregulated
AD_LALDO,1.0000571126932,Unchanged
AD_LPS6e,1.84384932637715,Unchanged
AD_LTHSTRLtr,2.44317863737953,Upregulated
AD_L_LACt2r,0.000177838414800011,Unchanged
AD_NDPK4m,0.177634191861606,Downregulated
AD_NDPK8m,0.177634169298362,Downregulated
AD_P450LTB4r,4.61654359271068,Upregulated
AD_PEHSFABPe,1.86686580043121,Unchanged
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,0.568522328973488,Unchanged
AD_PSSA2_hs,5.74831745035737,Upregulated
AD_RE3597X,44845312.7870785,Upregulated
AD_SPRMS,0.478120051287581,Downregulated
AD_SQLSr,115597171.359807,Upregulated
AD_TRDR,0.373122696361669,Downregulated
AD_UAGDP,3.8203880905958,Upregulated
AD_r0208,16.7499049954815,Upregulated
AD_r0392,0.85857723685227,Unchanged
AD_r0841,5.19468602005454,Upregulated
AD_r0899,0.478120093978127,Downregulated
AD_r1090,0.01,Downregulated
AD_r2436,22615125.1966128,Upregulated
AD_sink_34dhpac[c],41.1380275544949,Upregulated
AD_sink_retfa[c],2.25818381580162,Upregulated
EN_3DHCDCHOLt,1.00000026268241,Unchanged
EN_3DHCHOLt,1.00000026268243,Unchanged
EN_3DHDCAt,1.00000026268243,Unchanged
EN_3DHLCAt,1.0000002626824,Unchanged
EN_ABUTD,2.95171834679588,Upregulated
EN_ACONT,2038677.55093882,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,7.82982880847168,Upregulated
EN_APRTO2,4.02702274145313,Upregulated
EN_BETALDHxm,0.529687999276333,Unchanged
EN_C10DCc,0.0917921475335405,Downregulated
EN_C30CPT1,2.77298155594963e-07,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,271.986491761981,Upregulated
EN_CHOLD2m,0.529687999276333,Unchanged
EN_CYTK1m,271.986491941576,Upregulated
EN_DALAt2r,2,Upregulated
EN_DOLGLCP_Lter,0.020590648723571,Downregulated
EN_FADH2tru,17.7296398463834,Upregulated
EN_FADtru,17.7296398463834,Upregulated
EN_FUM,2038677.51717434,Upregulated
EN_G6PPer,3.60636675391749,Upregulated
EN_GLB1,0.138311009250249,Downregulated
EN_GLYBtm,0.529687999626089,Unchanged
EN_GLYKm,271.986491761981,Upregulated
EN_H2CO3D,13783275.2298697,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,3.73745058137143,Upregulated
EN_HMR_0582,271.986491761981,Upregulated
EN_HMR_0761,2.77087539596495,Upregulated
EN_HMR_0770,1.00000004187324,Unchanged
EN_HMR_0803,4.75498935823689,Upregulated
EN_HMR_0847,0.231166324699275,Downregulated
EN_HMR_1565,1.21854150686107e-05,Unchanged
EN_HMR_1766,46.5598381711169,Upregulated
EN_HMR_1769,46.5598470466703,Upregulated
EN_HMR_1771,46.5598470466703,Upregulated
EN_HMR_4278,2.7459162873017e-07,Unchanged
EN_HMR_4696,1.42972560823943,Unchanged
EN_HMR_6511,17.7296398463832,Upregulated
EN_HMR_6572,4198410.98485523,Upregulated
EN_HYOCHOLt,1.00000026268239,Unchanged
EN_LCAT10e,1.65130699999624,Unchanged
EN_LCAT11e,1.65130683108301,Unchanged
EN_LCAT15e,1.65130690453492,Unchanged
EN_LCAT23e,14.4394441211498,Upregulated
EN_LCAT34e,1.65130729359802,Unchanged
EN_LCAT50e,1.65130735090206,Unchanged
EN_LCAT7e,1.65130693539344,Unchanged
EN_LYSt4,9493276.37892566,Upregulated
EN_MI1PS,4198410.98429068,Upregulated
EN_MI3PP,4198410.97778952,Upregulated
EN_NABTNO,4.02702274145313,Upregulated
EN_NDPK3m,271.986491941576,Upregulated
EN_NTD2e,1.05772061275207,Unchanged
EN_ORNDC,4.02702296536803,Upregulated
EN_PGLYCtm,271.986491941576,Upregulated
EN_PGPP_hs,271.908224200465,Upregulated
EN_PGPP_hsc,271.986491761981,Upregulated
EN_PPAer,1.6436614252074,Unchanged
EN_PSSA1_hs,14683.4486285482,Upregulated
EN_PTRCAT1,4.02702274145313,Upregulated
EN_PUNP7,3.08548759127768,Upregulated
EN_RDH3,2,Upregulated
EN_RE3010M,1.00000108094659,Unchanged
EN_RE3597C,20148164.5012811,Upregulated
EN_SEBACACT,0,Unchanged
EN_THYOCHOLt,1.00000026268239,Unchanged
EN_UDCHOLt,1.00000026268225,Unchanged
EN_UDPDOLPT_L,0.020590648723571,Downregulated
EN_UGCG,2.77087528320369,Upregulated
EN_UREAt,7900845.62749344,Upregulated
EN_VLCS2p,0.696873534673112,Unchanged
EN_XOLEST183CEH,14.4394441211498,Upregulated
EN_XOLEST183te,14.439444109757,Upregulated
EN_XOLEST183tl,14.439444109757,Upregulated
EN_r0022,2711087.5162134,Upregulated
EN_r0051,0.993348505114392,Unchanged
EN_r0166,0.993348505082204,Unchanged
EN_r0224,0.0108718165535339,Downregulated
EN_r0726,0,Unchanged
EN_r0743,15.2655277193879,Upregulated
EN_r1298,14.4394441211498,Upregulated
EN_r1645,1.01852168000462,Unchanged
EN_r1664,13.3637581421396,Upregulated
EN_sink_gchola[c],0.0460910553838011,Downregulated
EN_sink_gln_L[c],16.4650745807154,Upregulated
EN_sink_pro_L[c],0.987139722817133,Unchanged
EN_sink_xol7aone[c],0.422678743254702,Downregulated
GN_2OBUTt,5.52578628754235e-06,Unchanged
GN_4ABUTtm,0.808539439288676,Unchanged
GN_ABTArm,0.808539439288676,Unchanged
GN_ABUTt2rL,0.321312477789963,Downregulated
GN_ACACT10m,0,Unchanged
GN_ACACT9p,0.0497894268024238,Downregulated
GN_ACGALK,0.815532563880589,Unchanged
GN_ACMPthc,0,Unchanged
GN_ADSK,0.227875684828672,Downregulated
GN_ARACHDFATPtc,0.09545450276214,Downregulated
GN_ARACHDtr,0.103169693188387,Downregulated
GN_BGAL1l,0.536905091803634,Unchanged
GN_BPNT,0.227875849002261,Downregulated
GN_C204CRNt,11353515.5257726,Upregulated
GN_C226CPT1,5.94588239778245e-09,Unchanged
GN_C226CPT2,5.94588151928056e-09,Unchanged
GN_CERT2rt,0.0159620855575794,Downregulated
GN_CHSTEROLt,0.0470328384885018,Downregulated
GN_CKc,0.091541462646022,Downregulated
GN_CLPNDCRNt,20098612.8523947,Upregulated
GN_CSEPASEly,0.170982117385824,Downregulated
GN_CSPG_Etly,0.170982117385824,Downregulated
GN_CYOOm3i,0.446055311060822,Downregulated
GN_DDCAte,36.9401973846547,Upregulated
GN_DESAT18_4,0.0335808918677323,Downregulated
GN_DESAT18_7,0.0549988746396669,Downregulated
GN_DM_pcreat[c],0.091541462646022,Downregulated
GN_DURIPP,0.045262369034747,Downregulated
GN_D_LACt2,0.705183385098658,Unchanged
GN_ECOAH9m,0,Unchanged
GN_EICOSTETCRNt,20098612.7344267,Upregulated
GN_FACOAL170,0.08171897817893,Downregulated
GN_FACOAL204,0.0954544313805222,Downregulated
GN_FAEL183,0.050002362049735,Downregulated
GN_FAEL205,0.0802629677049041,Downregulated
GN_FAOXC101x,0.375618882597323,Downregulated
GN_FAOXC185C164m,0.0439958828991725,Downregulated
GN_FAOXC185m,0.0439958828991725,Downregulated
GN_FAOXC205C185m,0.0439958828991725,Downregulated
GN_FAOXC226C205m,0.0439958828991725,Downregulated
GN_FAOXC226C227m,0.0439958828991725,Downregulated
GN_FAOXC226m,0.0439958828991725,Downregulated
GN_FAOXC227C226m,0.0439958828991725,Downregulated
GN_FAOXC5C5OHm,0,Unchanged
GN_FATP3t,0.00949427205114029,Unchanged
GN_FORt2m,2.60449108107731,Upregulated
GN_GALASE19ly,0.505801201388765,Unchanged
GN_GALNTg,0.505801201388765,Unchanged
GN_GALSIDEtl,0.377028592714484,Downregulated
GN_GHMT2r,10569894.3219556,Upregulated
GN_GLCAASE7ly,0.170982117385824,Downregulated
GN_GLXO1,0.0425345226188391,Downregulated
GN_GSNt2r,4.2668120596218,Upregulated
GN_HACD9m,0,Unchanged
GN_HEXCCOAtx,0.0497894264313404,Downregulated
GN_HMR_0261,0.0506309283576504,Downregulated
GN_HMR_0267,0.162174807578715,Downregulated
GN_HMR_0317,0.212535809121346,Downregulated
GN_HMR_0815,0.832443563666164,Unchanged
GN_HMR_0816,2.08825195556068,Upregulated
GN_HMR_0835,0.536905091803634,Unchanged
GN_HMR_0836,0.536905091803634,Unchanged
GN_HMR_1305,0.0507699514683886,Downregulated
GN_HMR_1307,0.0507699514683886,Downregulated
GN_HMR_2211,0.0590496801079065,Downregulated
GN_HMR_2215,0.0497894268199642,Downregulated
GN_HMR_2217,0.0497894268024239,Downregulated
GN_HMR_2218,0.0497894268024239,Downregulated
GN_HMR_2219,0.0497894268024239,Downregulated
GN_HMR_2374,0.0708347795999684,Downregulated
GN_HMR_2376,0.0708347795999684,Downregulated
GN_HMR_2704,0,Unchanged
GN_HMR_2744,19892806.8851777,Upregulated
GN_HMR_2753,11353515.5925196,Upregulated
GN_HMR_2760,11353515.4679564,Upregulated
GN_HMR_2817,0,Unchanged
GN_HMR_3057,0.0497894268024239,Downregulated
GN_HMR_3058,0.0497894268024239,Downregulated
GN_HMR_3059,0.0497894268024239,Downregulated
GN_HMR_3062,0.0497894268024238,Downregulated
GN_HMR_3063,0.0497894268024238,Downregulated
