commonRxns,FSR_PCOPT,Status_PCOPT
AD_5MTHFt2,1.44350214763052e-06,Unchanged
AD_ACGAM6PSi,593.444753671182,Upregulated
AD_ACGAMK,40.6891638174793,Upregulated
AD_ACGAMPM,58.1535454421726,Upregulated
AD_ADMDC,8.79370570251386,Upregulated
AD_ASCBt4,2801391.73993405,Upregulated
AD_BAMPPALDOX,8.79370595956595,Upregulated
AD_DMATTx,14.2259479170261,Upregulated
AD_DNDPt28m,5.16418149456294,Upregulated
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,109173.872442625,Upregulated
AD_FAS80COA_L,338.974885615102,Upregulated
AD_FRDPtr,14.2259479154708,Upregulated
AD_FTHFLm,0.645135170925695,Unchanged
AD_GF6PTA,50.4560850325368,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,14.2259479170261,Upregulated
AD_H2Otn,3.57591503976524e-06,Unchanged
AD_HMGCOAtx,12465.1596570948,Upregulated
AD_HMR_0197,3.89049136350611,Upregulated
AD_HMR_0807,2.25564731490334,Upregulated
AD_HMR_0830,1.22808429893431,Unchanged
AD_HMR_1135,46726255.7496399,Upregulated
AD_HMR_1242,46726255.7496399,Upregulated
AD_HMR_1526,0.604460845939081,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,2360333.30754298,Upregulated
AD_HMR_2611,2058499.65123485,Upregulated
AD_HMR_2612,22409606.4120614,Upregulated
AD_HMR_2634,21177874.5426783,Upregulated
AD_HMR_2673,27239138.897126,Upregulated
AD_HMR_2712,3967180.12042043,Upregulated
AD_HMR_2713,3967180.12042043,Upregulated
AD_HMR_2727,11050162.7664859,Upregulated
AD_HMR_4078,8.79370572910628,Upregulated
AD_HMR_4079,8.79370565435343,Upregulated
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,14.2259479154708,Upregulated
AD_KAS8,147.063564195067,Upregulated
AD_LALDO,1.00012090412528,Unchanged
AD_LPS6e,33.570184700611,Upregulated
AD_LTHSTRLtr,44.7295638772174,Upregulated
AD_L_LACt2r,3.11951328598603e-05,Unchanged
AD_NDPK4m,3.1170943968349,Upregulated
AD_NDPK8m,3.1170943828269,Upregulated
AD_P450LTB4r,98.4436521435827,Upregulated
AD_PEHSFABPe,23.9818635888863,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,11.8656702760366,Upregulated
AD_PSSA2_hs,59.6792385409798,Upregulated
AD_RE3597X,46726255.7496399,Upregulated
AD_SPRMS,8.79370572910628,Upregulated
AD_SQLSr,120053342.566369,Upregulated
AD_TRDR,6.48932066495898,Upregulated
AD_UAGDP,58.1535454418363,Upregulated
AD_r0208,326.622637252555,Upregulated
AD_r0392,13.5461702889974,Upregulated
AD_r0841,5.19500317971998,Upregulated
AD_r0899,8.7937056190361,Upregulated
AD_r1090,0.01,Downregulated
AD_r2436,23486918.7433001,Upregulated
AD_sink_34dhpac[c],15008600.438649,Upregulated
AD_sink_retfa[c],40.7566345915198,Upregulated
EN_3DHCDCHOLt,1.00000432951188,Unchanged
EN_3DHCHOLt,1.00000432951198,Unchanged
EN_3DHDCAt,1.00000432951188,Unchanged
EN_3DHLCAt,1.00000432951188,Unchanged
EN_ABUTD,50.1262584886254,Upregulated
EN_ACONT,2117316.73975793,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,116.977675328953,Upregulated
EN_APRTO2,69.2564345359832,Upregulated
EN_BETALDHxm,8.99837463102321,Upregulated
EN_C10DCc,0,Unchanged
EN_C30CPT1,4.53396032827413e-06,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,4613.32698418606,Upregulated
EN_CHOLD2m,8.99837463102321,Upregulated
EN_CYTK1m,4613.32698383566,Upregulated
EN_DALAt2r,2,Upregulated
EN_DOLGLCP_Lter,0.351283752407791,Downregulated
EN_FADH2tru,17.7296401937028,Upregulated
EN_FADtru,17.7296401937028,Upregulated
EN_FUM,2117316.84095434,Upregulated
