commonRxns,FSR_PC,Status_PC
AD_5MTHFt2,1.98730514382698e-07,Unchanged
AD_ACGAM6PSi,57.1871134587476,Upregulated
AD_ACGAMK,3.92080597852005,Upregulated
AD_ACGAMPM,5.60388349100145,Upregulated
AD_ADMDC,0.847467694549713,Unchanged
AD_ASCBt4,1960985.2334907,Upregulated
AD_BAMPPALDOX,0.847467702022289,Unchanged
AD_DMATTx,1.37098422851039,Unchanged
AD_DNDPt28m,0.497682909218798,Downregulated
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,76441.4454371551,Upregulated
AD_FAS80COA_L,32.663554168605,Upregulated
AD_FRDPtr,1.37098422851039,Unchanged
AD_FTHFLm,0.0621730153521554,Downregulated
AD_GF6PTA,4.8619465677268,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,1.37098422851039,Unchanged
AD_H2Otn,4.92271144923143e-07,Unchanged
AD_HMGCOAtx,1201.28950041442,Upregulated
AD_HMR_0197,0.374432831671448,Downregulated
AD_HMR_0807,0.217381423886182,Downregulated
AD_HMR_0830,0.118353046608424,Downregulated
AD_HMR_1135,33049113.8244765,Upregulated
AD_HMR_1242,33049113.8244765,Upregulated
AD_HMR_1526,0.0582416057847001,Downregulated
AD_HMR_2018,0,Unchanged
AD_HMR_2281,1658021.50999539,Upregulated
AD_HMR_2611,1439006.57658464,Upregulated
AD_HMR_2612,15611140.6629199,Upregulated
AD_HMR_2634,14824595.3848441,Upregulated
AD_HMR_2673,19067504.5106746,Upregulated
AD_HMR_2712,2777041.68372133,Upregulated
AD_HMR_2713,2777041.68372133,Upregulated
AD_HMR_2727,7724802.26063824,Upregulated
AD_HMR_4078,0.84746767595907,Unchanged
AD_HMR_4079,0.847467753036099,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,1.37098422851039,Unchanged
AD_KAS8,14.1671888979738,Upregulated
AD_LALDO,1.0000166436854,Unchanged
AD_LPS6e,3.23522863538019,Upregulated
AD_LTHSTRLtr,4.31068115468896,Upregulated
AD_L_LACt2r,4.29420109295381e-06,Unchanged
AD_NDPK4m,0.299998739230073,Downregulated
AD_NDPK8m,0.300311585713765,Downregulated
AD_P450LTB4r,9.47451899496271,Upregulated
AD_PEHSFABPe,2.30808812518223,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,1.14337492536103,Unchanged
AD_PSSA2_hs,5.75141249297894,Upregulated
AD_RE3597X,33049113.8244765,Upregulated
AD_SPRMS,0.84746767595907,Unchanged
AD_SQLSr,84037812.0042052,Upregulated
AD_TRDR,0.62538935991152,Unchanged
AD_UAGDP,5.60388349100145,Upregulated
AD_r0208,31.4754287023069,Upregulated
AD_r0392,1.30372508185354,Unchanged
AD_r0841,5.19469605832972,Upregulated
AD_r0899,0.847467735285955,Unchanged
