commonRxns,FSR_PC,Status_PC
AD_5MTHFt2,1.6836193338321e-07,Unchanged
AD_ACGAM6PSi,90.2365824734665,Upregulated
AD_ACGAMK,6.18692251229617,Upregulated
AD_ACGAMPM,8.84341635524971,Upregulated
AD_ADMDC,1.33760358235273,Unchanged
AD_ASCBt4,3569272.30412078,Upregulated
AD_BAMPPALDOX,1.33760354009843,Unchanged
AD_DMATTx,2.16389775226667,Upregulated
AD_DNDPt28m,0.785519558951327,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,139133.842812851,Upregulated
AD_FAS80COA_L,51.5422581706222,Upregulated
AD_FRDPtr,2.16389775226667,Upregulated
AD_FTHFLm,0.0981309960982839,Downregulated
AD_GF6PTA,7.67197920703269,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,2.16389775226667,Upregulated
AD_H2Otn,4.26919749289458e-07,Unchanged
AD_HMGCOAtx,1895.35042811896,Upregulated
AD_HMR_0197,0.591779539699823,Unchanged
AD_HMR_0807,0.343104740955016,Downregulated
AD_HMR_0830,0.186802926649293,Downregulated
AD_HMR_1135,60234728.833326,Upregulated
AD_HMR_1242,60234728.833326,Upregulated
AD_HMR_1526,0.0919440860208139,Downregulated
AD_HMR_2018,0,Unchanged
AD_HMR_2281,3017534.46903206,Upregulated
AD_HMR_2611,2561346.90525535,Upregulated
AD_HMR_2612,27789686.1000219,Upregulated
AD_HMR_2634,26982874.0433112,Upregulated
AD_HMR_2673,34705573.0315329,Upregulated
AD_HMR_2712,5054611.16875271,Upregulated
AD_HMR_2713,5054611.16875271,Upregulated
AD_HMR_2727,14079087.4790824,Upregulated
AD_HMR_4078,1.33760360801776,Unchanged
AD_HMR_4079,1.33760362824018,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,2.16389775226667,Upregulated
AD_KAS8,22.3697240297849,Upregulated
AD_LALDO,1.00001442872374,Unchanged
AD_LPS6e,5.10633430943562,Upregulated
AD_LTHSTRLtr,6.80377827846454,Upregulated
AD_L_LACt2r,3.70425380793904e-06,Unchanged
AD_NDPK4m,0.474138738013179,Downregulated
AD_NDPK8m,0.474138746793364,Downregulated
AD_P450LTB4r,14.9743416919176,Upregulated
AD_PEHSFABPe,3.64711546309757,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,1.80421505934409,Unchanged
AD_PSSA2_hs,9.07596182880854,Upregulated
AD_RE3597X,60234728.833326,Upregulated
AD_SPRMS,1.33760360801776,Unchanged
AD_SQLSr,152960777.252845,Upregulated
AD_TRDR,0.98708544181448,Unchanged
AD_UAGDP,8.8434163547847,Upregulated
AD_r0208,49.6637970681699,Upregulated
AD_r0392,2.06049719116126,Upregulated
AD_r0841,5.194731121983,Upregulated
AD_r0899,1.33760354148791,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,29924843.6546586,Upregulated
AD_sink_34dhpac[c],121.409690192682,Upregulated
AD_sink_retfa[c],6.19945910575773,Upregulated
EN_3DHCDCHOLt,1.00000051687865,Unchanged
EN_3DHCHOLt,1.00000051687863,Unchanged
EN_3DHDCAt,1.00000051687863,Unchanged
EN_3DHLCAt,1.00000051687865,Unchanged
EN_ABUTD,7.62466485815893,Upregulated
EN_ACONT,2697622.76553832,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,17.7868423859939,Upregulated
EN_APRTO2,10.5345452263437,Upregulated
EN_BETALDHxm,1.3682337682921,Unchanged
EN_C10DCc,0.572501283949356,Unchanged
EN_C30CPT1,5.41146950065283e-07,Unchanged
EN_C6DCc,0,Unchanged
