commonRxns,FSR_PC,Status_PC
AD_5MTHFt2,1.8250272607645e-07,Unchanged
AD_ACGAM6PSi,45.6844352698392,Upregulated
AD_ACGAMK,3.12994284452804,Upregulated
AD_ACGAMPM,4.47424000056009,Upregulated
AD_ADMDC,0.677066212271066,Unchanged
AD_ASCBt4,1666701.94406797,Upregulated
AD_BAMPPALDOX,0.676626510319616,Unchanged
AD_DMATTx,1.09531852772052,Unchanged
AD_DNDPt28m,0.397613121045042,Downregulated
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,64970.2926782418,Upregulated
AD_FAS80COA_L,26.082242212886,Upregulated
AD_FRDPtr,1.09531852772052,Unchanged
AD_FTHFLm,0.0496718047819707,Downregulated
AD_GF6PTA,3.88403173509979,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,1.09531852772052,Unchanged
AD_H2Otn,4.6271161701345e-07,Unchanged
AD_HMGCOAtx,959.489411916733,Upregulated
AD_HMR_0197,0.299502881141521,Downregulated
AD_HMR_0807,0.173559460292709,Downregulated
AD_HMR_0830,0.0944942235131893,Downregulated
AD_HMR_1135,28127116.2675809,Upregulated
AD_HMR_1242,28127116.2675809,Upregulated
AD_HMR_1526,0.0465356363783218,Downregulated
AD_HMR_2018,0,Unchanged
AD_HMR_2281,1408224.6738797,Upregulated
AD_HMR_2611,1228740.23565863,Upregulated
AD_HMR_2612,13330661.0931136,Upregulated
AD_HMR_2634,12599881.641877,Upregulated
AD_HMR_2673,16206061.2692255,Upregulated
AD_HMR_2712,2360293.51201488,Upregulated
AD_HMR_2713,2360293.51201488,Upregulated
AD_HMR_2727,6570079.68009251,Upregulated
AD_HMR_4078,0.676626611097364,Unchanged
AD_HMR_4079,0.676626483637277,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,1.09531852772052,Unchanged
AD_KAS8,11.3126111124504,Upregulated
AD_LALDO,1.00001564321042,Unchanged
AD_LPS6e,2.58232777117384,Upregulated
AD_LTHSTRLtr,3.44343839289575,Upregulated
AD_L_LACt2r,4.03705141148299e-06,Unchanged
AD_NDPK4m,0.239998835537728,Downregulated
AD_NDPK8m,0.239998856715882,Downregulated
AD_P450LTB4r,7.5775735386146,Upregulated
AD_PEHSFABPe,1.84646947393074,Unchanged
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,0.912901430833828,Unchanged
AD_PSSA2_hs,4.5949680093257,Upregulated
AD_RE3597X,28127116.2675809,Upregulated
AD_SPRMS,0.676626611097364,Unchanged
AD_SQLSr,71426332.986716,Upregulated
AD_TRDR,0.499641415040062,Downregulated
AD_UAGDP,4.47424000056009,Upregulated
AD_r0208,25.1249545380987,Upregulated
AD_r0392,1.04230213521126,Unchanged
AD_r0841,5.19467887150433,Upregulated
AD_r0899,0.677066225771326,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,13964584.284101,Upregulated
AD_sink_34dhpac[c],61.4610641323686,Upregulated
AD_sink_retfa[c],3.13803296030256,Upregulated
EN_3DHCDCHOLt,1.00000056029151,Unchanged
EN_3DHCHOLt,1.00000056029158,Unchanged
EN_3DHDCAt,1.00000056029151,Unchanged
EN_3DHLCAt,1.00000056029152,Unchanged
EN_ABUTD,3.85693540407749,Upregulated
EN_ACONT,1259678.15123056,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,9.00535513064463,Upregulated
EN_APRTO2,5.33239185403207,Upregulated
EN_BETALDHxm,0.692824546238046,Unchanged
EN_C10DCc,0.17108037346658,Downregulated
EN_C30CPT1,5.86636264722301e-07,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,357.881229961059,Upregulated
EN_CHOLD2m,0.692824546238046,Unchanged
EN_CYTK1m,357.881229961059,Upregulated
EN_DALAt2r,2,Upregulated
EN_DOLGLCP_Lter,0.027029321547743,Downregulated
EN_FADH2tru,17.7296340244888,Upregulated
EN_FADtru,17.7296340244888,Upregulated
EN_FUM,1259678.14883481,Upregulated
EN_G6PPer,4.75296003269,Upregulated
EN_GLB1,0.181538396364648,Downregulated
EN_GLYBtm,0.692824546238046,Unchanged
EN_GLYKm,357.881229961059,Upregulated
EN_H2CO3D,7381533.70969845,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,4.93550454149368,Upregulated
EN_HMR_0582,357.881229961059,Upregulated
EN_HMR_0761,3.64054639612123,Upregulated
EN_HMR_0770,1.00000008902616,Unchanged
EN_HMR_0803,6.22767488880003,Upregulated
EN_HMR_0847,0.302566588538302,Downregulated
EN_HMR_1565,3.54792192347358e-05,Unchanged
