commonRxns,FSR_PC,Status_PC
AD_5MTHFt2,2.16162492700473e-07,Unchanged
AD_ACGAM6PSi,555.168318942346,Upregulated
AD_ACGAMK,38.6711724588625,Upregulated
AD_ACGAMPM,55.2586537217687,Upregulated
AD_ADMDC,8.35525594392446,Upregulated
AD_ASCBt4,17753210.3469875,Upregulated
AD_BAMPPALDOX,8.35757817592537,Upregulated
AD_DMATTx,13.5204082804839,Upregulated
AD_DNDPt28m,4.90806169728547,Upregulated
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,693080.832467464,Upregulated
AD_FAS80COA_L,322.073808738236,Upregulated
AD_FRDPtr,13.5204082804839,Upregulated
AD_FTHFLm,0.613139647730046,Unchanged
AD_GF6PTA,47.2079949721708,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,13.5204082804839,Upregulated
AD_H2Otn,5.35554074094984e-07,Unchanged
AD_HMGCOAtx,11846.9441441851,Upregulated
AD_HMR_0197,3.69201165315307,Upregulated
AD_HMR_0807,2.1293996018797,Upregulated
AD_HMR_0830,1.16717693731479,Unchanged
AD_HMR_1135,300050383.002639,Upregulated
AD_HMR_1242,300050383.002639,Upregulated
AD_HMR_1526,0.571978512275583,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,15033864.3425596,Upregulated
AD_HMR_2611,11212605.1382577,Upregulated
AD_HMR_2612,121632721.453069,Upregulated
AD_HMR_2634,134411188.852275,Upregulated
AD_HMR_2673,172880668.840305,Upregulated
AD_HMR_2712,25178795.0576441,Upregulated
AD_HMR_2713,25178795.0576441,Upregulated
AD_HMR_2727,70028008.5742156,Upregulated
AD_HMR_4078,8.35757921596683,Upregulated
AD_HMR_4079,8.35757818058086,Upregulated
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,13.5204082804839,Upregulated
AD_KAS8,139.73112795683,Upregulated
AD_LALDO,1.00001809997231,Unchanged
AD_LPS6e,31.6912695197526,Upregulated
AD_LTHSTRLtr,42.5111798295684,Upregulated
AD_L_LACt2r,4.67005896008517e-06,Unchanged
AD_NDPK4m,2.95807083191536,Upregulated
AD_NDPK8m,2.9625011547628,Upregulated
AD_P450LTB4r,92.9079531304528,Upregulated
AD_PEHSFABPe,22.7924734832194,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,11.255699844162,Upregulated
AD_PSSA2_hs,56.3390074195599,Upregulated
AD_RE3597X,300050383.002639,Upregulated
AD_SPRMS,8.35757921596683,Upregulated
AD_SQLSr,761951318.330378,Upregulated
AD_TRDR,6.16748078489471,Upregulated
AD_UAGDP,55.258653715728,Upregulated
AD_r0208,310.378191752104,Upregulated
