commonRxns,FSR_PC,Status_PC
AD_5MTHFt2,1.71296870892235e-07,Unchanged
AD_ACGAM6PSi,243.206333202603,Upregulated
AD_ACGAMK,16.6735977183792,Upregulated
AD_ACGAMPM,23.8480333615649,Upregulated
AD_ADMDC,3.61249516006691,Upregulated
AD_ASCBt4,9454991.70941299,Upregulated
AD_BAMPPALDOX,3.61249503133732,Upregulated
AD_DMATTx,5.84408556175933,Upregulated
AD_DNDPt28m,2.12248465935326,Upregulated
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,368568.308632134,Upregulated
AD_FAS80COA_L,138.961313503747,Upregulated
AD_FRDPtr,5.84408556175933,Upregulated
AD_FTHFLm,0.265024536502564,Downregulated
AD_GF6PTA,20.6788552246744,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,5.84408556175933,Upregulated
AD_H2Otn,4.34338298760298e-07,Unchanged
AD_HMGCOAtx,5107.97064259653,Upregulated
AD_HMR_0197,1.59494969484545,Unchanged
AD_HMR_0807,0.926630355574498,Unchanged
AD_HMR_0830,0.503466648459525,Unchanged
AD_HMR_1135,157703910.105361,Upregulated
AD_HMR_1242,157703910.105361,Upregulated
AD_HMR_1526,0.248434127448225,Downregulated
AD_HMR_2018,0,Unchanged
AD_HMR_2281,7993542.84581868,Upregulated
AD_HMR_2611,6999786.6570648,Upregulated
AD_HMR_2612,75944308.586011,Upregulated
AD_HMR_2634,71477553.7396509,Upregulated
AD_HMR_2673,91934960.6576117,Upregulated
AD_HMR_2712,13389650.3790863,Upregulated
AD_HMR_2713,13389650.3790863,Upregulated
AD_HMR_2727,37295462.0484583,Upregulated
AD_HMR_4078,3.6124949648863,Upregulated
AD_HMR_4079,3.61249511908841,Upregulated
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,5.84408556175933,Upregulated
AD_KAS8,60.263456238141,Upregulated
AD_LALDO,1.00001468237939,Unchanged
AD_LPS6e,13.7624672968064,Upregulated
AD_LTHSTRLtr,18.3854300036811,Upregulated
AD_L_LACt2r,3.7685463923367e-06,Unchanged
AD_NDPK4m,1.28017175458007,Unchanged
AD_NDPK8m,1.28017174750099,Unchanged
AD_P450LTB4r,40.3400959219773,Upregulated
AD_PEHSFABPe,9.82866304392869,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,4.86231321972673,Upregulated
AD_PSSA2_hs,24.4620725936156,Upregulated
AD_RE3597X,157703910.105361,Upregulated
AD_SPRMS,3.6124949648863,Upregulated
AD_SQLSr,405192684.634077,Upregulated
AD_TRDR,2.66584290105063,Upregulated
AD_UAGDP,23.8480333615407,Upregulated
AD_r0208,133.843804365152,Upregulated
AD_r0392,5.55269745949532,Upregulated
AD_r0841,5.19475104167176,Upregulated
AD_r0899,3.61249519634635,Upregulated
AD_r1090,0.01,Downregulated
AD_r2436,79270822.9242883,Upregulated
AD_sink_34dhpac[c],50655398.8565498,Upregulated
AD_sink_retfa[c],16.7074183944322,Upregulated
EN_3DHCDCHOLt,1.00000052588904,Unchanged
EN_3DHCHOLt,1.00000052697128,Unchanged
EN_3DHDCAt,1.00000052697122,Unchanged
EN_3DHLCAt,1.00000052697128,Unchanged
EN_ABUTD,20.592100085534,Upregulated
EN_ACONT,7145993.50299506,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,47.61083496646,Upregulated
EN_APRTO2,28.3798895570925,Upregulated
EN_BETALDHxm,3.68898268019507,Upregulated
EN_C10DCc,0.00612968817646428,Unchanged
EN_C30CPT1,5.50967085510876e-07,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,1799.45169363642,Upregulated
EN_CHOLD2m,3.68898268019507,Upregulated
EN_CYTK1m,1799.45169363642,Upregulated
EN_DALAt2r,2,Upregulated
EN_DOLGLCP_Lter,0.144378035059501,Downregulated
EN_FADH2tru,17.7296465633768,Upregulated
EN_FADtru,17.7296465633768,Upregulated
EN_FUM,7145994.89137967,Upregulated
EN_G6PPer,25.3031677442695,Upregulated
EN_GLB1,0.969063757417661,Unchanged
EN_GLYBtm,3.68898268019507,Upregulated
EN_GLYKm,1799.45169363642,Upregulated
EN_H2CO3D,41901691.3962216,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,25.6125414144906,Upregulated
EN_HMR_0582,1799.45169363642,Upregulated
EN_HMR_0761,19.4334735578619,Upregulated
EN_HMR_0770,1.00000008377188,Unchanged
EN_HMR_0803,33.1811446028543,Upregulated
EN_HMR_0847,1.61539684502914,Unchanged
EN_HMR_1565,3.3415664826495e-05,Unchanged
EN_HMR_1766,324.848384157225,Upregulated
EN_HMR_1769,324.757974557481,Upregulated
EN_HMR_1771,324.757974557481,Upregulated
EN_HMR_4278,5.45408289961846e-07,Unchanged
EN_HMR_4696,9.94098291954581,Upregulated
