commonRxns,FSR_PC,Status_PC
AD_5MTHFt2,1.69482194017689e-07,Unchanged
AD_ACGAM6PSi,3530.01053327964,Upregulated
AD_ACGAMK,337.336276427325,Upregulated
AD_ACGAMPM,482.128360801724,Upregulated
AD_ADMDC,69.719172211276,Upregulated
AD_ASCBt4,194860897.733182,Upregulated
AD_BAMPPALDOX,73.5110392567518,Upregulated
AD_DMATTx,118.908311889601,Upregulated
AD_DNDPt28m,43.1699730136852,Upregulated
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,7595945.36525095,Upregulated
AD_FAS80COA_L,2687.81638868936,Upregulated
AD_FRDPtr,118.908311889601,Upregulated
AD_FTHFLm,5.32887085630112,Upregulated
AD_GF6PTA,300.113518208095,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,118.908311889601,Upregulated
AD_H2Otn,4.2983214925677e-07,Unchanged
AD_HMGCOAtx,100887.440560318,Upregulated
AD_HMR_0197,32.5225905135987,Upregulated
AD_HMR_0807,17.8854882849064,Upregulated
AD_HMR_0830,10.2661679421167,Upregulated
AD_HMR_1135,2332279229.45807,Upregulated
AD_HMR_1242,2332279229.45807,Upregulated
AD_HMR_1526,5.0127613853619,Upregulated
AD_HMR_2018,0,Unchanged
AD_HMR_2281,156260370.092709,Upregulated
AD_HMR_2611,123696474.872917,Upregulated
AD_HMR_2612,1342055902.38403,Upregulated
AD_HMR_2634,1473105314.06035,Upregulated
AD_HMR_2673,1884718196.12628,Upregulated
AD_HMR_2712,261747103.78064,Upregulated
AD_HMR_2713,261747103.78064,Upregulated
AD_HMR_2727,768634240.330467,Upregulated
AD_HMR_4078,73.5110797914086,Upregulated
AD_HMR_4079,73.5109920476861,Upregulated
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,118.908311889601,Upregulated
AD_KAS8,1229.24498459968,Upregulated
AD_LALDO,1.00001453019647,Unchanged
AD_LPS6e,222.340221889136,Upregulated
AD_LTHSTRLtr,373.917272535962,Upregulated
AD_L_LACt2r,3.74861850084272e-06,Unchanged
AD_NDPK4m,26.0573820143936,Upregulated
AD_NDPK8m,24.7160867889654,Upregulated
AD_P450LTB4r,780.490009098125,Upregulated
AD_PEHSFABPe,190.145017614286,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,97.8101389281991,Upregulated
AD_PSSA2_hs,498.889316699143,Upregulated
AD_RE3597X,2332279229.45807,Upregulated
AD_SPRMS,73.5110797914086,Upregulated
AD_SQLSr,8350745668.04476,Upregulated
AD_TRDR,54.2475432716452,Upregulated
AD_UAGDP,482.144974175956,Upregulated
AD_r0208,1451.90605552813,Upregulated
AD_r0392,111.892426957806,Upregulated
AD_r0841,5.19476510919572,Upregulated
AD_r0899,69.7271275587696,Upregulated
AD_r1090,0.01,Downregulated
AD_r2436,1549622709.5766,Upregulated
AD_sink_34dhpac[c],6674.67265625107,Upregulated
AD_sink_retfa[c],323.167949529908,Upregulated
EN_3DHCDCHOLt,1.00000052031792,Unchanged
EN_3DHCHOLt,1.00000052031789,Unchanged
EN_3DHDCAt,1.00000052031789,Unchanged
EN_3DHLCAt,1.00000052031789,Unchanged
EN_ABUTD,285.045600448062,Upregulated
EN_ACONT,147273828.873103,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,662.638477365509,Upregulated
EN_APRTO2,578.961183009167,Upregulated
EN_BETALDHxm,73.09783331998,Upregulated
