commonRxns,FSR_PC,Status_PC
AD_5MTHFt2,2.02960787620065e-07,Unchanged
AD_ACGAM6PSi,626.472414958736,Upregulated
AD_ACGAMK,44.1163656375882,Upregulated
AD_ACGAMPM,63.0943878709327,Upregulated
AD_ADMDC,9.53965332493108,Upregulated
AD_ASCBt4,21614542.3063848,Upregulated
AD_BAMPPALDOX,9.53965226363004,Upregulated
AD_DMATTx,15.4326992437177,Upregulated
AD_DNDPt28m,5.60224515848606,Upregulated
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,842564.225360908,Upregulated
AD_FAS80COA_L,367.73286247161,Upregulated
AD_FRDPtr,15.4326990224965,Upregulated
AD_FTHFLm,0.698969629474495,Unchanged
AD_GF6PTA,53.2644182783358,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,15.4326992437177,Upregulated
AD_H2Otn,5.02881407804735e-07,Unchanged
AD_HMGCOAtx,13522.5876908817,Upregulated
AD_HMR_0197,4.19639923376961,Upregulated
AD_HMR_0807,2.44698836552876,Upregulated
AD_HMR_0830,1.33225945727036,Unchanged
AD_HMR_1135,362681260.771955,Upregulated
AD_HMR_1242,362681260.771955,Upregulated
AD_HMR_1526,0.65254076286945,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,18275476.7680239,Upregulated
AD_HMR_2611,14868216.5147169,Upregulated
AD_HMR_2612,161296131.523766,Upregulated
AD_HMR_2634,163400962.65682,Upregulated
AD_HMR_2673,210167566.176201,Upregulated
AD_HMR_2712,30570397.8395201,Upregulated
AD_HMR_2713,30570397.8395201,Upregulated
AD_HMR_2727,85259127.3065338,Upregulated
AD_HMR_4078,9.53965380954886,Upregulated
AD_HMR_4079,9.53965479314899,Upregulated
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,15.4326990224965,Upregulated
AD_KAS8,159.540126538823,Upregulated
AD_LALDO,1.00001699936894,Unchanged
AD_LPS6e,36.4178540544285,Upregulated
AD_LTHSTRLtr,48.2466409318183,Upregulated
AD_L_LACt2r,4.38611617399941e-06,Unchanged
AD_NDPK4m,3.38150965370183,Upregulated
AD_NDPK8m,3.36218992968396,Upregulated
AD_P450LTB4r,106.184265895126,Upregulated
AD_PEHSFABPe,25.8676865549912,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,12.8722045737262,Upregulated
AD_PSSA2_hs,64.7416766196094,Upregulated
AD_RE3597X,362681260.771955,Upregulated
AD_SPRMS,9.53965380954886,Upregulated
AD_SQLSr,920997071.908213,Upregulated
AD_TRDR,7.03083314844277,Upregulated
AD_UAGDP,63.0943878716505,Upregulated
