commonRxns,FSR_PC,Status_PC
AD_5MTHFt2,1.70134656997334e-07,Unchanged
AD_ACGAM6PSi,157.001402125823,Upregulated
AD_ACGAMK,10.7726786403117,Upregulated
AD_ACGAMPM,15.3850678944551,Upregulated
AD_ADMDC,2.32645740168775,Upregulated
AD_ASCBt4,6143254.19646762,Upregulated
AD_BAMPPALDOX,2.3264574744751,Upregulated
AD_DMATTx,3.76360847213438,Upregulated
AD_DNDPt28m,1.36623269474489,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,239472.313497336,Upregulated
AD_FAS80COA_L,89.6789741377969,Upregulated
AD_FRDPtr,3.76360847213438,Upregulated
AD_FTHFLm,0.170676574327581,Downregulated
AD_GF6PTA,13.3486337545054,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,3.76360847213438,Upregulated
AD_H2Otn,4.31471138325781e-07,Unchanged
AD_HMGCOAtx,3297.77507134477,Upregulated
AD_HMR_0197,1.02926603082052,Unchanged
AD_HMR_0807,0.596752696293478,Unchanged
AD_HMR_0830,0.324901239697824,Downregulated
AD_HMR_1135,103673021.062122,Upregulated
AD_HMR_1242,103673021.062122,Upregulated
AD_HMR_1526,0.159915803845476,Downregulated
AD_HMR_2018,0,Unchanged
AD_HMR_2281,5193666.95123427,Upregulated
AD_HMR_2611,4539076.9920184,Upregulated
AD_HMR_2612,49246995.0987469,Upregulated
AD_HMR_2634,46441583.747741,Upregulated
AD_HMR_2673,59733510.6686013,Upregulated
AD_HMR_2712,8699745.67205305,Upregulated
AD_HMR_2713,8699745.67205305,Upregulated
AD_HMR_2727,24232226.1511682,Upregulated
AD_HMR_4078,2.32645758581594,Upregulated
AD_HMR_4079,2.32645757333844,Upregulated
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,3.76360847213438,Upregulated
AD_KAS8,38.9070474308649,Upregulated
AD_LALDO,1.00001458611497,Unchanged
AD_LPS6e,8.88130745575662,Upregulated
AD_LTHSTRLtr,11.8336270794767,Upregulated
AD_L_LACt2r,3.74463220680354e-06,Unchanged
AD_NDPK4m,0.824656584409336,Unchanged
AD_NDPK8m,0.824656646164681,Unchanged
AD_P450LTB4r,26.0441920863852,Upregulated
AD_PEHSFABPe,6.34462703548696,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,3.13917509766347,Upregulated
AD_PSSA2_hs,15.7887037835302,Upregulated
AD_RE3597X,103673021.062122,Upregulated
AD_SPRMS,2.32645758581594,Upregulated
AD_SQLSr,263268510.838002,Upregulated
AD_TRDR,1.71681081903055,Unchanged
AD_UAGDP,15.3850678960871,Upregulated
AD_r0208,86.4110998683105,Upregulated
AD_r0392,3.58376671675723,Upregulated
AD_r0841,5.19472852723979,Upregulated
AD_r0899,2.32645799948618,Upregulated
AD_r1090,0.01,Downregulated
AD_r2436,51505153.4935461,Upregulated
AD_sink_34dhpac[c],32912665.5262761,Upregulated
AD_sink_retfa[c],10.7825500367794,Upregulated
EN_3DHCDCHOLt,1.00000052232109,Unchanged
EN_3DHCHOLt,1.000000522321,Unchanged
EN_3DHDCAt,1.000000522321,Unchanged
EN_3DHLCAt,1.000000522321,Unchanged
EN_ABUTD,13.2613734149644,Upregulated
EN_ACONT,4643014.51860815,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,30.9475428614986,Upregulated
EN_APRTO2,18.3224402794946,Upregulated
EN_BETALDHxm,2.38060466783385,Upregulated
EN_C10DCc,0.0917516009712373,Downregulated
EN_C30CPT1,5.46986039841144e-07,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,1214.65734795075,Upregulated
EN_CHOLD2m,2.38060466783385,Upregulated
EN_CYTK1m,1214.65734795075,Upregulated
EN_DALAt2r,2,Upregulated
EN_DOLGLCP_Lter,0.0929353922440007,Downregulated
EN_FADH2tru,17.7296451246604,Upregulated
EN_FADtru,17.7296451246604,Upregulated
EN_FUM,4643014.48966564,Upregulated
EN_G6PPer,16.3315794054735,Upregulated
EN_GLB1,0.623781505019002,Unchanged
EN_GLYBtm,2.38060466783385,Upregulated
EN_GLYKm,1214.65734795075,Upregulated
EN_H2CO3D,27225059.7325001,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,15.7322484578507,Upregulated
EN_HMR_0582,1214.65734795075,Upregulated
EN_HMR_0761,12.5092293273148,Upregulated
EN_HMR_0770,1.00000008299293,Unchanged
EN_HMR_0803,21.4127290012097,Upregulated
EN_HMR_0847,1.04032036869627,Unchanged
EN_HMR_1565,3.30947919055582e-05,Unchanged
EN_HMR_1766,209.668899369047,Upregulated
EN_HMR_1769,209.668868632978,Upregulated
EN_HMR_1771,209.668868632978,Upregulated
EN_HMR_4278,5.41707593287124e-07,Unchanged
EN_HMR_4696,6.41695912104572,Upregulated
EN_HMR_6511,17.7296451246604,Upregulated
EN_HMR_6572,49618778.1253278,Upregulated
EN_HYOCHOLt,1.00000052232101,Unchanged
EN_LCAT10e,6.69596342943081,Upregulated
EN_LCAT11e,6.69596268609283,Upregulated
EN_LCAT15e,6.69596372596949,Upregulated
EN_LCAT23e,65.0467906845999,Upregulated
EN_LCAT34e,6.69596289269751,Upregulated
EN_LCAT50e,6.69596359941492,Upregulated
EN_LCAT7e,6.69596313515131,Upregulated
EN_LYSt4,21620603.4222708,Upregulated
EN_MI1PS,49618775.9482932,Upregulated
EN_MI3PP,49618778.125604,Upregulated
EN_NABTNO,18.3224402794946,Upregulated
EN_NDPK3m,1214.65734795075,Upregulated
EN_NTD2e,4.7899295088316,Upregulated
EN_ORNDC,18.3224431744915,Upregulated
EN_PGLYCtm,1214.65734795075,Upregulated
EN_PGPP_hs,1217.02331135874,Upregulated
EN_PGPP_hsc,1214.65734795075,Upregulated
EN_PPAer,7.90570455541912,Upregulated
EN_PSSA1_hs,33455.9617759542,Upregulated
EN_PTRCAT1,18.3224402794946,Upregulated
EN_PUNP7,15.1679044037859,Upregulated
EN_RDH3,2,Upregulated
EN_RE3010M,1.00000213734705,Unchanged
EN_RE3597C,45886729.7730567,Upregulated
EN_SEBACACT,0,Unchanged
EN_THYOCHOLt,1.000000522321,Unchanged
EN_UDCHOLt,1.00000052232097,Unchanged
EN_UDPDOLPT_L,0.0929353922440007,Downregulated
EN_UGCG,12.5092289925308,Upregulated
EN_UREAt,17993898.8142913,Upregulated
EN_VLCS2p,3.13758306792045,Upregulated
EN_XOLEST183CEH,65.0467906845999,Upregulated
EN_XOLEST183te,65.0467906845999,Upregulated
EN_XOLEST183tl,65.0467906845999,Upregulated
EN_r0022,6130171.69913905,Upregulated
EN_r0051,4.49687950173669,Upregulated
EN_r0166,4.49687950173669,Upregulated
EN_r0224,0.0552591087559878,Downregulated
EN_r0726,0,Unchanged
EN_r0743,68.74390225879,Upregulated
EN_r1298,65.0467906845999,Upregulated
EN_r1645,1.01854878434625,Unchanged
EN_r1664,62.5191099443901,Upregulated
EN_sink_gchola[c],1.62037399431405e-07,Unchanged
EN_sink_gln_L[c],52.08989336073,Upregulated
EN_sink_pro_L[c],1,Unchanged
EN_sink_xol7aone[c],1.90341222811739,Unchanged
GN_2OBUTt,7.19514363513738e-06,Unchanged
GN_4ABUTtm,2.99194090460274,Upregulated
GN_ABTArm,2.99194090460274,Upregulated
GN_ABUTt2rL,1.45769083004962,Unchanged
GN_ACACT10m,0,Unchanged
GN_ACACT9p,0.245488874113812,Downregulated
GN_ACGALK,3.69433848761432,Upregulated
GN_ACMPthc,0,Unchanged
GN_ADSK,1.04261507905089,Unchanged
GN_ARACHDFATPtc,0.451176105084439,Downregulated
GN_ARACHDtr,0.513896063673856,Unchanged
GN_BGAL1l,2.42976040365447,Upregulated
GN_BPNT,1.04261514388279,Unchanged
GN_C204CRNt,25857232.6158004,Upregulated
GN_C226CPT1,0.00277076386244316,Unchanged
GN_C226CPT2,0.00277076390805009,Unchanged
GN_CERT2rt,0.0738503911937949,Downregulated
GN_CHSTEROLt,0.212755919539316,Downregulated
GN_CKc,0.406034002055702,Downregulated
GN_CLPNDCRNt,45773885.0564161,Upregulated
GN_CSEPASEly,0.846663692261191,Unchanged
GN_CSPG_Etly,0.846663692261191,Unchanged
GN_CYOOm3i,0.374962692707446,Downregulated
GN_DDCAte,50.9126432415448,Upregulated
GN_DESAT18_4,0.166284318963613,Downregulated
GN_DESAT18_7,0.272340985514385,Downregulated
GN_DM_pcreat[c],0.406034002055702,Downregulated
GN_DURIPP,0.205214160366131,Downregulated
GN_D_LACt2,7.31196893669871,Upregulated
GN_ECOAH9m,0,Unchanged
GN_EICOSTETCRNt,45773885.7903766,Upregulated
GN_FACOAL170,0,Unchanged
GN_FACOAL204,0.451176073346114,Downregulated
GN_FAEL183,0.245416975277845,Downregulated
GN_FAEL205,0.397184431781679,Downregulated
GN_FAOXC101x,0.442095000132321,Downregulated
GN_FAOXC185C164m,0.218527364181414,Downregulated
GN_FAOXC185m,0.218527364181414,Downregulated
GN_FAOXC205C185m,0.218527364181414,Downregulated
GN_FAOXC226C205m,0.218527364181414,Downregulated
GN_FAOXC226C227m,0.218527364181414,Downregulated
GN_FAOXC226m,0.218527364181414,Downregulated
GN_FAOXC227C226m,0.218527364181414,Downregulated
GN_FAOXC5C5OHm,0,Unchanged
GN_FATP3t,0.0441920300717061,Downregulated
GN_FORt2m,6.44111904077889,Upregulated
GN_GALASE19ly,2.28000543314118,Upregulated
GN_GALNTg,2.28000543314118,Upregulated
GN_GALSIDEtl,1.72999369367925,Unchanged
GN_GHMT2r,25426551.7735695,Upregulated
GN_GLCAASE7ly,0.846663692261191,Unchanged
GN_GLXO1,0.252525795180323,Downregulated
GN_GSNt2r,4.26684360922878,Upregulated
GN_HACD9m,0,Unchanged
GN_HEXCCOAtx,0.245488874282169,Downregulated
GN_HMR_0261,0.246521656837894,Downregulated
GN_HMR_0267,0.729882115026199,Unchanged
GN_HMR_0317,0.961418670855688,Unchanged
GN_HMR_0815,3.76853970643767,Upregulated
GN_HMR_0816,9.36302589434849,Upregulated
GN_HMR_0835,2.42976040365447,Upregulated
GN_HMR_0836,2.42976040365447,Upregulated
GN_HMR_1305,0.25238052098448,Downregulated
GN_HMR_1307,0.25238052098448,Downregulated
GN_HMR_2211,0.294183078887596,Downregulated
GN_HMR_2215,0.245488874113812,Downregulated
GN_HMR_2217,0.245488874113812,Downregulated
GN_HMR_2218,0.245488874113812,Downregulated
GN_HMR_2219,0.245488874113812,Downregulated
GN_HMR_2374,0.337314020333043,Downregulated
GN_HMR_2376,0.337314020333043,Downregulated
GN_HMR_2704,0,Unchanged
GN_HMR_2744,45305168.9103342,Upregulated
GN_HMR_2753,25857233.390408,Upregulated
GN_HMR_2760,25857232.8438323,Upregulated
GN_HMR_2817,0,Unchanged
GN_HMR_3057,0.245488874113812,Downregulated
GN_HMR_3058,0.245488874113812,Downregulated
GN_HMR_3059,0.245488874113812,Downregulated
GN_HMR_3062,0.245488874113812,Downregulated
GN_HMR_3063,0.245488874113812,Downregulated
GN_HMR_3064,0.245488874113812,Downregulated
GN_HMR_3065,0.245488874113812,Downregulated
GN_HMR_3066,0.245488874113812,Downregulated
GN_HMR_3067,0.245488874113812,Downregulated
GN_HMR_3068,0.245488874113812,Downregulated
GN_HMR_3069,0.245488874113812,Downregulated
GN_HMR_3070,0.245488874113812,Downregulated
GN_HMR_3071,0.245488874113812,Downregulated
GN_HMR_3072,0.245488874113812,Downregulated
GN_HMR_3073,0.245488874113812,Downregulated
GN_HMR_3107,0,Unchanged
GN_HMR_3108,0,Unchanged
GN_HMR_3109,0,Unchanged
GN_HMR_3110,0,Unchanged
GN_HMR_3111,0,Unchanged
GN_HMR_3112,0,Unchanged
GN_HMR_3113,0,Unchanged
GN_HMR_3114,0,Unchanged
GN_HMR_3115,0,Unchanged
GN_HMR_3116,0,Unchanged
GN_HMR_3117,0,Unchanged
GN_HMR_3118,0,Unchanged
GN_HMR_3322,0.442095000132321,Downregulated
GN_HMR_7703,0.252525801538542,Downregulated
GN_LINKDEG4ly,0.846663692261191,Unchanged
GN_LNELDCCPT1,0.364711931608638,Downregulated
GN_LNLNCGCRNt,16280926.4551709,Upregulated
GN_MLTHFtm,9.58140798122305,Upregulated
GN_NACHEXA7ly,0.846663692261191,Unchanged
GN_NACHEXA8ly,0.846663692261191,Unchanged
GN_NAGA2ly,2.28000543314118,Upregulated
GN_NAGLCAly,2.28000543314118,Upregulated
GN_NEU11l,2.42976040365447,Upregulated
GN_O2Stm,0.374962678740504,Downregulated
GN_OCT11EFATP,0.246521656837894,Downregulated
GN_OLEICFATPtc,0.812948023152643,Unchanged
GN_PAPStg,1.04261507905089,Unchanged
GN_PAPtg,1.04261514388279,Unchanged
GN_PGS,0.266387637855156,Downregulated
GN_PGSr,0.269284235786363,Downregulated
GN_PUNP4,1.45605701935979,Unchanged
GN_RE0574C,0.294183078887596,Downregulated
GN_RE0575C,0.294183078887596,Downregulated
GN_RE0576C,0.294183078887596,Downregulated
GN_RE0578C,1.04157786455518,Unchanged
GN_RE1342C,16.6748450003915,Upregulated
GN_RE1518X,0.442095000132321,Downregulated
GN_RE1520X,0.442095000132321,Downregulated
GN_RE1521X,0.442095000132321,Downregulated
GN_RE1522X,0.442095000132321,Downregulated
GN_RE1525X,0.442095000132321,Downregulated
GN_RE1526X,0.442095000132321,Downregulated
GN_RE1527X,0.442095000132321,Downregulated
GN_RE1532X,0.442095000132321,Downregulated
GN_RE1533X,0.442095000132321,Downregulated
GN_RE1534X,0.442095000132321,Downregulated
GN_RE1573X,0.442095000132321,Downregulated
GN_RE1796R,400245491.18871,Upregulated
GN_RE2069C,0.258264088434625,Downregulated
GN_RE2954C,0.260055108981655,Downregulated
GN_RE3103C,0.337314020333043,Downregulated
GN_RE3104C,0.337314020333043,Downregulated
GN_RE3119C,1.24796817391503,Unchanged
GN_RE3120C,1.24796817391503,Unchanged
GN_RE3121C,1.24796817391503,Unchanged
GN_RE3122C,1.24796817391503,Unchanged
GN_SADT,1.04261507905089,Unchanged
GN_SO4tl,1.04261506823455,Unchanged
GN_SPHMYLN_HsATPte,2.49218476464442,Upregulated
GN_TAURtcx,0.999982472467244,Unchanged
