commonRxns,FSR_PC,Status_PC
AD_5MTHFt2,2.33817690593253e-07,Unchanged
AD_ACGAM6PSi,70.3327831826688,Upregulated
AD_ACGAMK,4.82231939520793,Upregulated
AD_ACGAMPM,6.89213053194698,Upregulated
AD_ADMDC,1.0421955454617,Unchanged
AD_ASCBt4,2049694.87239491,Upregulated
AD_BAMPPALDOX,1.04219554722089,Unchanged
AD_DMATTx,1.68600346736164,Unchanged
AD_DNDPt28m,0.612038530632973,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,79899.922930677,Upregulated
AD_FAS80COA_L,40.1739743862406,Upregulated
AD_FRDPtr,1.68600346736164,Unchanged
AD_FTHFLm,0.0764588866849505,Downregulated
AD_GF6PTA,5.97985773715787,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,1.68600346736164,Unchanged
AD_H2Otn,5.79165131592067e-07,Unchanged
AD_HMGCOAtx,1477.32184643968,Upregulated
AD_HMR_0197,0.461085768675611,Downregulated
AD_HMR_0807,0.267330496113378,Downregulated
AD_HMR_0830,0.145547733083297,Downregulated
AD_HMR_1135,34590471.9152263,Upregulated
AD_HMR_1242,34590471.9152263,Upregulated
AD_HMR_1526,0.0716383303456254,Downregulated
AD_HMR_2018,0,Unchanged
AD_HMR_2281,1733253.1518207,Upregulated
AD_HMR_2611,1465151.93503707,Upregulated
AD_HMR_2612,15892690.9395811,Upregulated
AD_HMR_2634,15495219.6025949,Upregulated
AD_HMR_2673,19930066.5805208,Upregulated
AD_HMR_2712,2902667.45082191,Upregulated
AD_HMR_2713,2902667.45082191,Upregulated
AD_HMR_2727,8085074.79266598,Upregulated
AD_HMR_4078,1.0421955525796,Unchanged
AD_HMR_4079,1.04219549893847,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,1.68600346736164,Unchanged
AD_KAS8,17.4294019889644,Upregulated
AD_LALDO,1.00001958468494,Unchanged
AD_LPS6e,3.97860648120719,Upregulated
AD_LTHSTRLtr,5.30117231002187,Upregulated
AD_L_LACt2r,5.05299022174713e-06,Unchanged
AD_NDPK4m,0.369425822864042,Downregulated
AD_NDPK8m,0.369425801298259,Downregulated
AD_P450LTB4r,11.667155654729,Upregulated
AD_PEHSFABPe,2.84223630283239,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,1.40627296130574,Unchanged
AD_PSSA2_hs,7.07294936289115,Upregulated
AD_RE3597X,34590471.9152263,Upregulated
AD_SPRMS,1.0421955525796,Unchanged
AD_SQLSr,87839452.483383,Upregulated
AD_TRDR,0.769088818965658,Unchanged
AD_UAGDP,6.89213053194698,Upregulated
AD_r0208,38.7100421574333,Upregulated
AD_r0392,1.60543892646814,Unchanged
AD_r0841,5.19472068042402,Upregulated
AD_r0899,1.04219548119274,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,17184678.5468787,Upregulated
AD_sink_34dhpac[c],94.6290750095473,Upregulated
AD_sink_retfa[c],4.83048959402265,Upregulated
EN_3DHCDCHOLt,1.00000070129514,Unchanged
EN_3DHCHOLt,1.00000070129513,Unchanged
EN_3DHDCAt,1.00000070129514,Unchanged
EN_3DHLCAt,1.00000070129515,Unchanged
EN_ABUTD,5.94076798703642,Upregulated
