commonRxns,FSR_PC,Status_PC
AD_5MTHFt2,1.73790006652297e-07,Unchanged
AD_ACGAM6PSi,70.4107239744961,Upregulated
AD_ACGAMK,4.82764352484118,Upregulated
AD_ACGAMPM,6.89992568105593,Upregulated
AD_ADMDC,1.04485616147992,Unchanged
AD_ASCBt4,2697408.96478427,Upregulated
AD_BAMPPALDOX,1.04485618596236,Unchanged
AD_DMATTx,1.69030784158421,Unchanged
AD_DNDPt28m,0.61360104227639,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,105147.448943152,Upregulated
AD_FAS80COA_L,40.2765365730942,Upregulated
AD_FRDPtr,1.69030784158421,Unchanged
AD_FTHFLm,0.0766540850086434,Downregulated
AD_GF6PTA,5.98723597055797,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,1.69030784158421,Unchanged
AD_H2Otn,4.40678002882215e-07,Unchanged
AD_HMGCOAtx,1479.01182191482,Upregulated
AD_HMR_0197,0.461644770914929,Downregulated
AD_HMR_0807,0.268012953915105,Downregulated
AD_HMR_0830,0.145724191595297,Downregulated
AD_HMR_1135,44991264.0057874,Upregulated
AD_HMR_1242,44991264.0057874,Upregulated
AD_HMR_1526,0.0718212187948016,Downregulated
AD_HMR_2018,0,Unchanged
AD_HMR_2281,2280493.53547377,Upregulated
AD_HMR_2611,1998017.07125356,Upregulated
AD_HMR_2612,21677307.3767465,Upregulated
AD_HMR_2634,20391789.6498885,Upregulated
AD_HMR_2673,26228069.7025825,Upregulated
AD_HMR_2712,3819925.2708001,Upregulated
AD_HMR_2713,3819925.2708001,Upregulated
AD_HMR_2727,10639999.8016283,Upregulated
AD_HMR_4078,1.04485619904982,Unchanged
AD_HMR_4079,1.04485613629377,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,1.69030784158421,Unchanged
AD_KAS8,17.4537536099898,Upregulated
AD_LALDO,1.00001489787883,Unchanged
AD_LPS6e,3.98876373554857,Upregulated
AD_LTHSTRLtr,5.31470601748792,Upregulated
AD_L_LACt2r,3.84403244109141e-06,Unchanged
AD_NDPK4m,0.370368927207298,Downregulated
AD_NDPK8m,0.370368923186919,Downregulated
AD_P450LTB4r,11.6800313599768,Upregulated
