commonRxns,FSR_PC,Status_PC
AD_5MTHFt2,1.48037632705542e-07,Unchanged
AD_ACGAM6PSi,60.8894386229608,Upregulated
AD_ACGAMK,4.1721194401325,Upregulated
AD_ACGAMPM,5.96316885452029,Upregulated
AD_ADMDC,0.901834016113715,Unchanged
AD_ASCBt4,2801391.73993405,Upregulated
AD_BAMPPALDOX,0.903575793629891,Unchanged
AD_DMATTx,1.45893485258471,Unchanged
AD_DNDPt28m,0.530363226692032,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,109201.981145801,Upregulated
AD_FAS80COA_L,34.7572557553928,Upregulated
AD_FRDPtr,1.45893485258471,Unchanged
AD_FTHFLm,0.0661672214251813,Downregulated
AD_GF6PTA,5.17402251428929,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,1.45893485258471,Unchanged
AD_H2Otn,3.66726149504376e-07,Unchanged
AD_HMGCOAtx,1278.30316320228,Upregulated
AD_HMR_0197,0.3989873184514,Downregulated
AD_HMR_0807,0.231326751363404,Downregulated
AD_HMR_0830,0.125945544654318,Downregulated
AD_HMR_1135,47276042.3918596,Upregulated
AD_HMR_1242,47276042.3918596,Upregulated
AD_HMR_1526,0.0619901638309824,Downregulated
AD_HMR_2018,0,Unchanged
AD_HMR_2281,2368136.96259287,Upregulated
AD_HMR_2611,2065281.74960595,Upregulated
AD_HMR_2612,22409606.4120614,Upregulated
AD_HMR_2634,21177874.5426783,Upregulated
AD_HMR_2673,27239138.897126,Upregulated
AD_HMR_2712,3967180.12042043,Upregulated
AD_HMR_2713,3967180.12042043,Upregulated
AD_HMR_2727,11050162.7664859,Upregulated
AD_HMR_4078,0.90183397446491,Unchanged
AD_HMR_4079,0.901833964142254,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,1.45893485258471,Unchanged
AD_KAS8,15.0793726663286,Upregulated
AD_LALDO,1.00001239876624,Unchanged
AD_LPS6e,3.44277329490632,Upregulated
AD_LTHSTRLtr,4.59487391988668,Upregulated
AD_L_LACt2r,3.19863674423965e-06,Unchanged
AD_NDPK4m,0.319672019678326,Downregulated
AD_NDPK8m,0.32028940370225,Downregulated
AD_P450LTB4r,10.094041655272,Upregulated
AD_PEHSFABPe,2.45944976651654,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,1.21666489472525,Unchanged
AD_PSSA2_hs,6.12037410084448,Upregulated
AD_RE3597X,47276042.3918596,Upregulated
AD_SPRMS,0.90183397446491,Unchanged
AD_SQLSr,120053342.566369,Upregulated
AD_TRDR,0.666794263522351,Unchanged
AD_UAGDP,5.96316885542913,Upregulated
AD_r0208,33.4907688672656,Upregulated
AD_r0392,1.39106879485845,Unchanged
AD_r0841,5.19470821342572,Upregulated
AD_r0899,0.901833985223124,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,23486918.7433001,Upregulated
AD_sink_34dhpac[c],15008537.6530934,Upregulated
AD_sink_retfa[c],4.17956211166269,Upregulated
EN_3DHCDCHOLt,1.00000044401089,Unchanged
EN_3DHCHOLt,1.00000044401091,Unchanged
EN_3DHDCAt,1.00000044401088,Unchanged
EN_3DHLCAt,1.00000044401087,Unchanged
EN_ABUTD,5.14067313345272,Upregulated
EN_ACONT,2117264.8222219,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,11.995604546051,Upregulated
EN_APRTO2,7.10130252183249,Upregulated
EN_BETALDHxm,0.922823719531744,Unchanged
EN_C10DCc,0.0755117034992517,Downregulated
EN_C30CPT1,4.65116964427595e-07,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,473.117395255486,Upregulated
EN_CHOLD2m,0.922823719531744,Unchanged
EN_CYTK1m,473.117395255486,Upregulated
EN_DALAt2r,2,Upregulated
EN_DOLGLCP_Lter,0.0360769617928577,Downregulated
EN_FADH2tru,17.7296401937028,Upregulated
EN_FADtru,17.7296401937028,Upregulated
EN_FUM,2117264.91497619,Upregulated
EN_G6PPer,6.33081468186975,Upregulated
EN_GLB1,0.2422713301629,Downregulated
EN_GLYBtm,0.922823719531744,Unchanged
EN_GLYKm,473.117395255486,Upregulated
EN_H2CO3D,12414902.262115,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,6.59495264898394,Upregulated
EN_HMR_0582,473.117395255486,Upregulated
EN_HMR_0761,4.85600685810583,Upregulated
EN_HMR_0770,1.00000007055003,Unchanged
EN_HMR_0803,8.30048580940062,Upregulated
EN_HMR_0847,0.403272476865088,Downregulated
EN_HMR_1565,2.81436693473657e-05,Unchanged
EN_HMR_1766,81.2765846781405,Upregulated
EN_HMR_1769,81.2765871599264,Upregulated
EN_HMR_1771,81.2765871599264,Upregulated
EN_HMR_4278,4.60490460644256e-07,Unchanged
EN_HMR_4696,2.48782037360457,Upregulated
EN_HMR_6511,17.7296401937027,Upregulated
EN_HMR_6572,22626510.0372982,Upregulated
EN_HYOCHOLt,1.00000044401088,Unchanged
EN_LCAT10e,2.59933210266305,Upregulated
EN_LCAT11e,2.5993323523199,Upregulated
EN_LCAT15e,2.60065355200246,Upregulated
EN_LCAT23e,25.2149073327993,Upregulated
EN_LCAT34e,2.60065346076144,Upregulated
EN_LCAT50e,2.60065336008185,Upregulated
EN_LCAT7e,2.6006534966389,Upregulated
EN_LYSt4,9859234.06860458,Upregulated
EN_MI1PS,22626510.3685298,Upregulated
EN_MI3PP,22626510.0381301,Upregulated
EN_NABTNO,7.10130252183249,Upregulated
EN_NDPK3m,473.117395255486,Upregulated
EN_NTD2e,1.85678070668108,Unchanged
EN_ORNDC,7.10224572202295,Upregulated
EN_PGLYCtm,473.117395255486,Upregulated
EN_PGPP_hs,472.583782679186,Upregulated
EN_PGPP_hsc,473.117395255486,Upregulated
EN_PPAer,3.0640460450919,Upregulated
EN_PSSA1_hs,15254.2237614911,Upregulated
EN_PTRCAT1,7.10130252183249,Upregulated
EN_PUNP7,5.879003501523,Upregulated
EN_RDH3,2,Upregulated
EN_RE3010M,1.0000018165771,Unchanged
EN_RE3597C,20924858.1234923,Upregulated
EN_SEBACACT,0.0755117034731966,Downregulated
EN_THYOCHOLt,1.00000044401095,Unchanged
EN_UDCHOLt,1.00000044401091,Unchanged
EN_UDPDOLPT_L,0.0360769617928577,Downregulated
EN_UGCG,4.8491102153382,Upregulated
EN_UREAt,8205416.48157175,Upregulated
EN_VLCS2p,1.21626074637651,Unchanged
EN_XOLEST183CEH,25.2149073327993,Upregulated
EN_XOLEST183te,25.2149073327993,Upregulated
EN_XOLEST183tl,25.2149073327993,Upregulated
EN_r0022,2820169.34008669,Upregulated
EN_r0051,1.74318186141466,Unchanged
EN_r0166,1.74318186141466,Unchanged
EN_r0224,0.0214445965908881,Downregulated
EN_r0726,0,Unchanged
EN_r0743,26.6480662993003,Upregulated
EN_r1298,25.2149073327993,Upregulated
EN_r1645,1.01851724960544,Unchanged
EN_r1664,24.2581857297036,Upregulated
EN_sink_gchola[c],0.0889658995633455,Downregulated
EN_sink_gln_L[c],20.1887295938665,Upregulated
EN_sink_pro_L[c],1,Unchanged
EN_sink_xol7aone[c],0.737764859125321,Unchanged
GN_2OBUTt,6.13317761605019e-06,Unchanged
GN_4ABUTtm,1.1596292359598,Unchanged
GN_ABTArm,1.1596292359598,Unchanged
GN_ABUTt2rL,0.566001754824507,Unchanged
GN_ACACT10m,0,Unchanged
GN_ACACT9p,0.0969875369204215,Downregulated
GN_ACGALK,1.43484855782107,Unchanged
GN_ACMPthc,0,Unchanged
GN_ADSK,0.404736828329494,Downregulated
GN_ARACHDFATPtc,0.175143831945603,Downregulated
GN_ARACHDtr,0.199592735353913,Downregulated
GN_BGAL1l,0.94281020115244,Unchanged
GN_BPNT,0.404736822164373,Downregulated
GN_C204CRNt,11791183.538581,Upregulated
GN_C226CPT1,1.10390549609857e-08,Unchanged
GN_C226CPT2,1.1023375910235e-08,Unchanged
GN_CERT2rt,0.0286682722332331,Downregulated
GN_CHSTEROLt,0.0824732632948627,Downregulated
GN_CKc,0.157619926022781,Downregulated
GN_CLPNDCRNt,20873396.7653992,Upregulated
GN_CSEPASEly,0.328669692151235,Downregulated
GN_CSPG_Etly,0.328669692151235,Downregulated
GN_CYOOm3i,0.145351704987596,Downregulated
GN_DDCAte,19.7345856195807,Upregulated
GN_DESAT18_4,0.0645833755530015,Downregulated
GN_DESAT18_7,0.105721128345058,Downregulated
GN_DM_pcreat[c],0.157619926022781,Downregulated
GN_DURIPP,0.079662893087497,Downregulated
GN_D_LACt2,2.83667736488683,Upregulated
GN_ECOAH9m,0,Unchanged
GN_EICOSTETCRNt,20873396.6245391,Upregulated
GN_FACOAL170,0,Unchanged
GN_FACOAL204,0.175143814393456,Downregulated
GN_FAEL183,0.0952693824518184,Downregulated
GN_FAEL205,0.153965608224098,Downregulated
GN_FAOXC101x,0.171347834978619,Downregulated
GN_FAOXC185C164m,0.0847105081203751,Downregulated
GN_FAOXC185m,0.0847105081203751,Downregulated
GN_FAOXC205C185m,0.0847105081203751,Downregulated
GN_FAOXC226C205m,0.0847105081203751,Downregulated
GN_FAOXC226C227m,0.0847105081203751,Downregulated
GN_FAOXC226m,0.0847105081203751,Downregulated
GN_FAOXC227C226m,0.0847105081203751,Downregulated
GN_FAOXC5C5OHm,0,Unchanged
GN_FATP3t,0.0171550968080664,Downregulated
GN_FORt2m,2.49745534096834,Upregulated
GN_GALASE19ly,0.885084243277072,Unchanged
GN_GALNTg,0.885084243277072,Unchanged
GN_GALSIDEtl,0.671572987096212,Unchanged
GN_GHMT2r,11594790.9443202,Upregulated
GN_GLCAASE7ly,0.328669692151235,Downregulated
GN_GLXO1,0.0883043885580641,Downregulated
GN_GSNt2r,4.26681251136558,Upregulated
GN_HACD9m,0,Unchanged
GN_HEXCCOAtx,0.0969875369204215,Downregulated
GN_HMR_0261,0.0956982083096263,Downregulated
GN_HMR_0267,0.283479782202591,Downregulated
GN_HMR_0317,0.373216853013356,Downregulated
