Reaction,FSR,RegulationStatus
AD_5MTHFt2,0.5,Downregulated
AD_ACGAM6PSi,7,Upregulated
AD_ACGAMK,4.79778152655294,Upregulated
AD_ACGAMPM,4.79778152655294,Upregulated
AD_ADMDC,0.01,Downregulated
AD_ASCBt4,2,Upregulated
AD_BAMPPALDOX,0.01,Downregulated
AD_DMATTx,2.24819111191862,Upregulated
AD_DNDPt28m,0.0147199232221217,Downregulated
AD_FAS100COA,0.5,Downregulated
AD_FAS80COA_L,0.5,Downregulated
AD_FRDPtr,2.24819111191862,Upregulated
AD_FTHFLm,0.173350543546555,Downregulated
AD_GRTTx,2.24819111191862,Upregulated
AD_H2Otn,0.5,Downregulated
AD_HMGCOAtx,2,Upregulated
AD_IPDDIx,2.24819111191862,Upregulated
AD_KAS8,0.5,Downregulated
AD_LALDO,2,Upregulated
AD_NDPK4m,0.0299999999999993,Downregulated
AD_NDPK8m,0.03,Downregulated
AD_P450LTB4r,2,Upregulated
AD_PROSTGE2t,0.331691297208539,Downregulated
AD_PSSA2_hs,3.03368610856855,Upregulated
AD_SPRMS,0.01,Downregulated
AD_SQLSr,14,Upregulated
AD_TRDR,0.0147199232221219,Downregulated
AD_r0208,7,Upregulated
AD_r0841,2,Upregulated
AD_r0899,0.01,Downregulated
AD_r1090,0.01,Downregulated
AD_r2436,4.94117647058823,Upregulated
AD_RE3597X,4,Upregulated
AD_PEHSFABPe,3.04,Upregulated
AD_LTHSTRLtr,2.98187171184612,Upregulated
AD_sink_retfa[c],2.51080520347237,Upregulated
AD_GF6PTA,2.23011235442448,Upregulated
AD_L_LACt2r,0.5,Downregulated
AD_UAGDP,4.79778152655294,Upregulated
AD_r0392,2,Upregulated
AD_sink_34dhpac[c],2.5,Upregulated
AD_HMR_0807,0.166666666666667,Downregulated
AD_HMR_0830,0.5,Downregulated
AD_HMR_1135,4,Upregulated
AD_HMR_1242,4,Upregulated
AD_HMR_2611,3.82835349855962,Upregulated
AD_HMR_2612,3.82835349855962,Upregulated
AD_HMR_2634,2,Upregulated
AD_HMR_2673,3.31993299832496,Upregulated
AD_HMR_2712,2.09552664190311,Upregulated
AD_HMR_2713,2.09552664190311,Upregulated
AD_HMR_2727,4.96853567955036,Upregulated
AD_HMR_4078,0.01,Downregulated
AD_HMR_4079,0.01,Downregulated
AD_HMR_5996,0.01,Downregulated
SK_ASPt6,2496146.10882733,Upregulated
SK_BILIRUBt2,16,Upregulated
SK_BILIRUBtr,0.5,Downregulated
