Reaction,FSR,RegulationStatus
AD_10FTHF7GLUtl,26.4535344158165,Upregulated
AD_10FTHF7GLUtm,13.1990956464571,Upregulated
AD_10FTHFtl,26.4535344374913,Upregulated
AD_13DAMPPOX,53.6973809014158,Upregulated
AD_2HBO,81.4247479177565,Upregulated
AD_2HBt2,1.0050251025042,Unchanged
AD_34DHOXPEGOX,185.283377241889,Upregulated
AD_34DHOXPEGt,185.283377241889,Upregulated
AD_34HPPOR,275.139053895226,Upregulated
AD_3DSPHR,43.2367752612947,Upregulated
AD_3HBCDm,0,Downregulated
AD_3HBCOAHLm,1809.44362947377,Upregulated
AD_3HLYTCL,675.226207532068,Upregulated
AD_3M4HDXPAC,114.840135517062,Upregulated
AD_3MLDAt,51.8909671716654,Upregulated
AD_3MOBt2im,1809.44191783675,Upregulated
AD_3MOPt2im,32.5003235623397,Upregulated
AD_3MOXTYROX,114.840135547882,Upregulated
AD_3SALACBOXL,329.115835995763,Upregulated
AD_3SALAOX,334.534617022114,Upregulated
AD_41R1H2MAE12BOOX,104.312178651011,Upregulated
AD_41R2A1H12BOOX,189.135675858574,Upregulated
AD_42A12BOOX,329.958249195053,Upregulated
AD_4HGLSDm,1.49946310436109,Unchanged
AD_4HOXPACDOX_NADP_,121.668577979593,Upregulated
AD_4MOPt2im,NaN,Unchanged
AD_4PYRDX,65.6069884079389,Upregulated
AD_5AOPtm,56.3338694914131,Upregulated
AD_5HLTDL,202.17387319836,Upregulated
AD_5HOXINDACTO2OX,461.725455257981,Upregulated
AD_5HOXINOXDA,202.17387319836,Upregulated
AD_5MTHFt2,9.56993544605211e-08,Downregulated
AD_7DHFtl,18.9967804841865,Upregulated
AD_7DHFtm,18.9967803834319,Upregulated
AD_7THFtm,20.4550303428865,Upregulated
AD_A4GALTg,35.0788626837307,Upregulated
AD_AACTOOR,8104.06455350671,Upregulated
AD_AACTtm,8104.06455350671,Upregulated
AD_ABUTt2rL,83.6956487537758,Upregulated
AD_ACACT10m,125.574873062993,Upregulated
AD_ACACT1rm,3.78402604667114,Upregulated
AD_ACACT1x,111179.12527409,Upregulated
AD_ACACT4p,477.095187570243,Upregulated
AD_ACACT5p,985.989501998537,Upregulated
AD_ACACT6p,813.574054091461,Upregulated
AD_ACACT7p,813.574054091461,Upregulated
AD_ACACT8p,1206.31325422243,Upregulated
AD_ACACT9p,1206.31442502237,Upregulated
AD_ACALDtm,771.617236488285,Upregulated
AD_ACCOACm,32.9517419645517,Upregulated
AD_ACCOALm,70.5190766601405,Upregulated
AD_ACCOAtr,0.996906097536077,Unchanged
AD_ACETONEt2,176.619031864285,Upregulated
AD_ACGALtly,55.7472458720821,Upregulated
AD_ACGAM6PSi,1718.77669522843,Upregulated
AD_ACGAMK,188.714307813242,Upregulated
AD_ACGAMPM,250.593259291713,Upregulated
AD_ACGAMtly,188.714307813242,Upregulated
AD_ACITL,19.0515139583239,Upregulated
AD_ACNAM9PL,20.7985778652154,Upregulated
AD_ACNAMlt,75.0079803801181,Upregulated
AD_ACNAMPH,20.7985778652154,Upregulated
AD_ACNMLr,20.7985778817168,Upregulated
AD_ACOAD10m,32.500332032448,Upregulated
AD_ACOAD1fm,1.36808178490867e-05,Downregulated
AD_ACOAD9m,31817862.6485375,Upregulated
AD_ACOAO7p,813.574054091461,Upregulated
AD_ACONTm,0.990200762527317,Unchanged
AD_ACP1_FMN_,33.6734690397442,Upregulated
AD_ACRNtm,174202059.699969,Upregulated
AD_ACS2,52.8776942949306,Upregulated
AD_ACt2m,771.617236488285,Upregulated
AD_ACtg,34.9660204355433,Upregulated
AD_ADCim,176.619031864285,Upregulated
AD_ADEt,146.998860326893,Upregulated
AD_ADK1m,1,Unchanged
AD_ADK3,1,Unchanged
AD_ADK3m,1,Unchanged
AD_ADKd,1,Unchanged
AD_ADMDC,38.5189046201217,Upregulated
AD_ADNCYC,55.3393287151673,Upregulated
AD_ADNt,1.00502512284501,Unchanged
AD_ADNtl,0.425164997766114,Downregulated
AD_ADNtm,8.32665310680562e-07,Downregulated
AD_ADRNCOAtx,615.854318972968,Upregulated
AD_ADRNCPT1,52.4486797731543,Upregulated
AD_ADRNCPT2,52.4487314097736,Upregulated
AD_ADRNCRNt,1,Unchanged
AD_ADSK,54.0369855860775,Upregulated
AD_AG13T16g,33.617693068039,Upregulated
AD_AG13T17g,33.617693068039,Upregulated
AD_AG13T18g,33.617693068039,Upregulated
AD_AG13T1g,33.4124398970011,Upregulated
AD_AG13T2g,33.4124398970011,Upregulated
AD_AG13T3g,33.4124398970011,Upregulated
AD_AGPAT1,91.6848707602683,Upregulated
AD_AHCYStr,48.1735726193587,Upregulated
AD_AKGMALtm,1,Unchanged
AD_ALAASNNaEx,1,Unchanged
AD_ALACYSNaEx,1,Unchanged
AD_ALAGLNNaEx,1,Unchanged
AD_ALASERNaEx,1,Unchanged
AD_ALASm,1,Unchanged
AD_ALAt4,1,Unchanged
AD_ALATA_L,5.81312195440202,Upregulated
AD_ALATHRNaEx,1,Unchanged
AD_ALCD21_D,1,Unchanged
AD_ALCD21_L,1,Unchanged
AD_ALCD22_D,1,Unchanged
AD_ALCD22_L,1,Unchanged
AD_ALDD20x,121.668449028547,Upregulated
AD_ALDD20xm,89.1714257214533,Upregulated
AD_ALDD21,62.3796855610175,Upregulated
AD_ALDD2xm,771.617236488285,Upregulated
AD_ALDD2y,1408.89373301527,Upregulated
AD_ALOX52,355333852.628903,Upregulated
AD_ALR2,1,Unchanged
AD_ALR3,1,Unchanged
AD_AMACR2p,20401.5531934131,Upregulated
AD_AMETr,48.1735726193587,Upregulated
AD_AMETt2m,40.95293848935,Upregulated
AD_AMPDA,3.55205746280043e-05,Downregulated
AD_AOBUTDsm,8104.06455350671,Upregulated
AD_APRTO2,107.136380439659,Upregulated
AD_ARACHCPT1,508.072761655975,Upregulated
AD_ARACHCPT2,497.916738554479,Upregulated
AD_ARACHCRNt,1,Unchanged
AD_ARGSS,47.7332630168176,Upregulated
AD_ARSA,66.0342604003327,Upregulated
AD_R_group_phosphotase_1,59.747975372594,Upregulated
AD_R_group_phosphotase_2,132.305369484824,Upregulated
AD_R_group_phosphotase_3,83.2499663782048,Upregulated
AD_ARTPLM3,8910.47562147634,Upregulated
AD_ASAH1,73.9969402255268,Upregulated
AD_ASCBt4,194860897.733182,Upregulated
AD_ASNALANaEx,1,Unchanged
AD_ASNCYSNaEx,1,Unchanged
AD_ASNGLNNaEx,1,Unchanged
AD_ASNSERNaEx,1,Unchanged
AD_ASNTHRNaEx,1,Unchanged
AD_ASPDt6,1.0452807749853,Unchanged
AD_ASPt6,1.0452807749853,Unchanged
AD_ATP1ter,20.7985859525669,Upregulated
AD_ATP2ter,40707.0434841443,Upregulated
AD_ATPH1e,316.885520677968,Upregulated
AD_ATPH2e,489.730106326886,Upregulated
AD_ATPtm,8.49318563950874e-07,Downregulated
AD_B3GALT3g,35.0788626837307,Upregulated
AD_B3GALT41g,30.9411690102023,Upregulated
AD_B3GALT5g,35.0788615136867,Upregulated
AD_BAAT3x,20401.5531934131,Upregulated
AD_BAMPPALDOX,40.609209453296,Upregulated
AD_BHMT,142.029489825285,Upregulated
AD_BILDGLCURte,21.927273744152,Upregulated
AD_BILGLCURtr,33.7786848048149,Upregulated
