Reaction,FSR,RegulationStatus
AD_10FTHF7GLUtl,4.4124378014738,Upregulated
AD_10FTHF7GLUtm,2.6496273482902,Upregulated
AD_10FTHFtl,4.41243780186586,Upregulated
AD_13DAMPPOX,15.7975456789578,Upregulated
AD_2HBO,10.9657167474818,Upregulated
AD_2HBt2,1.005024392149,Unchanged
AD_34DHOXPEGOX,71.7697148071081,Upregulated
AD_34DHOXPEGt,71.7697148071081,Upregulated
AD_34HPPOR,49.7021068912141,Upregulated
AD_3DSPHR,8.5615224213413,Upregulated
AD_3HBCDm,NaN,Unchanged
AD_3HBCOAHLm,18446.5637231783,Upregulated
AD_3HLYTCL,1258.18116614872,Upregulated
AD_3M4HDXPAC,38.4909481908428,Upregulated
AD_3MLDAt,16.5154885238841,Upregulated
AD_3MOBt2im,18446.5622720843,Upregulated
AD_3MOPt2im,5.78140046381032,Upregulated
AD_3MOXTYROX,38.4909481908738,Upregulated
AD_3SALACBOXL,59.7839264430975,Upregulated
AD_3SALAOX,63.5412287651967,Upregulated
AD_41R1H2MAE12BOOX,74.5855548246208,Upregulated
AD_41R2A1H12BOOX,64.2243165896734,Upregulated
AD_42A12BOOX,59.0257181098064,Upregulated
AD_4HGLSDm,1.49951232648907,Unchanged
AD_4HOXPACDOX_NADP_,21.7090491789753,Upregulated
AD_4MOPt2im,NaN,Unchanged
AD_4PYRDX,11.1115248976121,Upregulated
AD_5AOPtm,9.91844619296699,Upregulated
AD_5HLTDL,39.6780013312921,Upregulated
AD_5HOXINDACTO2OX,80.3215512470875,Upregulated
AD_5HOXINOXDA,39.6780013312921,Upregulated
AD_5MTHFt2,3.09864839488228e-06,Downregulated
AD_7DHFtl,3.47208343170619,Upregulated
AD_7DHFtm,3.47208361111457,Upregulated
AD_7THFtm,3.72097420438612,Upregulated
AD_A4GALTg,8.61204354701074,Upregulated
AD_AACTOOR,61411.0733252536,Upregulated
AD_AACTtm,61411.0733252536,Upregulated
AD_ABUTt2rL,41.8035729067352,Upregulated
AD_ACACT10m,21.5714975608727,Upregulated
AD_ACACT1rm,0.640987508481535,Unchanged
AD_ACACT1x,41194.5944564193,Upregulated
AD_ACACT4p,202.165008118203,Upregulated
AD_ACACT5p,148.417492112747,Upregulated
AD_ACACT6p,144.11301034087,Upregulated
AD_ACACT7p,144.11301034087,Upregulated
AD_ACACT8p,209.61736334807,Upregulated
AD_ACACT9p,209.617361858864,Upregulated
AD_ACALDtm,142.373711915445,Upregulated
AD_ACCOACm,5.81906605470741,Upregulated
AD_ACCOALm,12.8407770433215,Upregulated
AD_ACCOAtr,1.000000875384,Unchanged
AD_ACETONEt2,32.7131855099148,Upregulated
AD_ACGALtly,9.79726074074154,Upregulated
AD_ACGAM6PSi,416.167158468694,Upregulated
AD_ACGAMK,31.2026323467249,Upregulated
AD_ACGAMPM,31.2026336651015,Upregulated
AD_ACGAMtly,31.2026323467249,Upregulated
AD_ACITL,3.36680062314564,Upregulated
AD_ACNAM9PL,3.70956129552302,Upregulated
AD_ACNAMlt,12.9619896049531,Upregulated
AD_ACNAMPH,3.70956129552302,Upregulated
AD_ACNMLr,3.70956129520961,Upregulated
AD_ACOAD10m,5.78140030298859,Upregulated
AD_ACOAD1fm,7.3574288248715e-05,Downregulated
AD_ACOAD9m,690518.897899725,Upregulated
AD_ACOAO7p,144.113010265865,Upregulated
AD_ACONTm,0.987428494077184,Unchanged
AD_ACP1_FMN_,5.69673459775892,Upregulated
AD_ACRNtm,5790444.99328374,Upregulated
AD_ACS2,9.79726095330294,Upregulated
AD_ACt2m,142.373711915445,Upregulated
AD_ACtg,6.36424578405057,Upregulated
AD_ADCim,32.7131855097376,Upregulated
AD_ADEt,1108.99313537819,Upregulated
AD_ADK1m,1,Unchanged
AD_ADK3,1,Unchanged
AD_ADK3m,1,Unchanged
AD_ADKd,1,Unchanged
AD_ADMDC,14.1643546823514,Upregulated
AD_ADNCYC,9.72557288206429,Upregulated
AD_ADNt,1.00502503734849,Unchanged
AD_ADNtl,0.49853167774936,Downregulated
AD_ADNtm,4.10223961530782e-06,Downregulated
AD_ADRNCOAtx,118.252254977213,Upregulated
AD_ADRNCPT1,10.0238703460781,Upregulated
AD_ADRNCPT2,10.0238701738629,Upregulated
AD_ADRNCRNt,1,Unchanged
AD_ADSK,10.4576666404667,Upregulated
AD_AG13T16g,5.73331932393558,Upregulated
