Reaction,FSR,RegulationStatus
AD_10FTHF7GLUtl,0.872472068743379,Unchanged
AD_10FTHF7GLUtm,0.468185304780935,Downregulated
AD_10FTHFtl,0.872472068743379,Unchanged
AD_13DAMPPOX,1.76996536615992,Unchanged
AD_2HBO,3.2920457075078,Upregulated
AD_2HBt2,1.00502386320095,Unchanged
AD_34DHOXPEGOX,12.2271644330206,Upregulated
AD_34DHOXPEGt,12.2271644330206,Upregulated
AD_34HPPOR,9.73252415777424,Upregulated
AD_3DSPHR,1.37106579121342,Unchanged
AD_3HBCDm,NaN,Unchanged
AD_3HBCOAHLm,24.0144394842145,Upregulated
AD_3HLYTCL,27.4060098757795,Upregulated
AD_3M4HDXPAC,3.83977863608596,Upregulated
AD_3MLDAt,1.70586203049704,Unchanged
AD_3MOBt2im,24.0125912140204,Upregulated
AD_3MOPt2im,1.09342994326337,Unchanged
AD_3MOXTYROX,3.83977863608596,Upregulated
AD_3SALACBOXL,11.5062676200292,Upregulated
AD_3SALAOX,12.5470111317105,Upregulated
AD_41R1H2MAE12BOOX,7.08478846181017,Upregulated
AD_41R2A1H12BOOX,12.227164594681,Upregulated
AD_42A12BOOX,10.641605368987,Upregulated
AD_4HGLSDm,1.49936814195653,Unchanged
AD_4HOXPACDOX_NADP_,4.02271612884056,Upregulated
AD_4MOPt2im,NaN,Unchanged
AD_4PYRDX,2.18744227434714,Upregulated
AD_5AOPtm,1.87497716355806,Unchanged
AD_5HLTDL,7.60480616784703,Upregulated
AD_5HOXINDACTO2OX,17.2595909768374,Upregulated
AD_5HOXINOXDA,7.60480616784703,Upregulated
AD_5MTHFt2,1.6836193338321e-07,Downregulated
AD_7DHFtl,0.66721977187489,Unchanged
AD_7DHFtm,0.667219879198779,Unchanged
AD_7THFtm,0.719181367147891,Unchanged
AD_A4GALTg,1.69123447650591,Unchanged
AD_AACTOOR,134.062778536272,Upregulated
AD_AACTtm,134.062778536272,Upregulated
AD_ABUTt2rL,2.93932287064613,Upregulated
AD_ACACT10m,4.44212734030866,Upregulated
AD_ACACT1rm,0.127485806085201,Downregulated
AD_ACACT1x,4043.70625189508,Upregulated
AD_ACACT4p,30.3127982033093,Upregulated
AD_ACACT5p,33.687521254339,Upregulated
AD_ACACT6p,30.202683692857,Upregulated
AD_ACACT7p,30.202683692857,Upregulated
AD_ACACT8p,52.0012596977518,Upregulated
AD_ACACT9p,52.0011809403155,Upregulated
AD_ACALDtm,3.00106408292948,Upregulated
AD_ACCOACm,1.14526731034257,Unchanged
AD_ACCOALm,2.35057520341081,Upregulated
AD_ACCOAtr,0.996915475818346,Unchanged
AD_ACETONEt2,7.77812347434966,Upregulated
AD_ACGALtly,1.85219793875904,Unchanged
AD_ACGAM6PSi,90.2365824734665,Upregulated
AD_ACGAMK,6.18692251229617,Upregulated
AD_ACGAMPM,8.84341635524971,Upregulated
AD_ACGAMtly,6.18692251229617,Upregulated
AD_ACITL,0.663742698398783,Unchanged
AD_ACNAM9PL,0.725922063188315,Unchanged
AD_ACNAMlt,2.49694882594032,Upregulated
AD_ACNAMPH,0.725922063188315,Unchanged
AD_ACNMLr,0.725922063188315,Unchanged
AD_ACOAD10m,1.09342989845178,Unchanged
AD_ACOAD1fm,2.51280703093091e-05,Downregulated
AD_ACOAD9m,557223.960873137,Upregulated
AD_ACOAO7p,30.202683692857,Upregulated
AD_ACONTm,0.988357220584452,Unchanged
AD_ACP1_FMN_,1.11479095485593,Unchanged
AD_ACRNtm,3365322.98385075,Upregulated
AD_ACS2,1.85219801665551,Unchanged
AD_ACt2m,3.00106408292948,Upregulated
AD_ACtg,1.2435319813347,Unchanged
AD_ADCim,7.77812347434966,Upregulated
AD_ADEt,2.43820931993035,Upregulated
AD_ADK1m,1,Unchanged
AD_ADK3,0.715955205468926,Unchanged
AD_ADK3m,1,Unchanged
AD_ADKd,1,Unchanged
AD_ADMDC,1.33760358235273,Unchanged
AD_ADNCYC,1.83864515139349,Unchanged
AD_ADNt,1.00502497368561,Unchanged
AD_ADNtl,0.435770114875232,Downregulated
AD_ADNtm,1.49162214682399e-06,Downregulated
AD_ADRNCOAtx,25.6266803071384,Upregulated
AD_ADRNCPT1,2.20071166742453,Upregulated
AD_ADRNCPT2,2.20071190071598,Upregulated
AD_ADRNCRNt,1,Unchanged
AD_ADSK,2.01782296477325,Upregulated
AD_AG13T16g,1.12041750009668,Unchanged
AD_AG13T17g,1.12041750009668,Unchanged
AD_AG13T18g,1.12041750009668,Unchanged
AD_AG13T1g,1.11415444911862,Unchanged
AD_AG13T2g,1.11415444911862,Unchanged
AD_AG13T3g,1.11415444911862,Unchanged
AD_AGPAT1,3.03712620309408,Upregulated
AD_AHCYStr,1742992.27640891,Upregulated
AD_AKGMALtm,1,Unchanged
AD_ALAASNNaEx,1,Unchanged
AD_ALACYSNaEx,1,Unchanged
AD_ALAGLNNaEx,1,Unchanged
AD_ALASERNaEx,1,Unchanged
AD_ALASm,1,Unchanged
AD_ALAt4,1,Unchanged
AD_ALATA_L,0.0933519798852362,Downregulated
AD_ALATHRNaEx,1,Unchanged
AD_ALCD21_D,1,Unchanged
AD_ALCD21_L,1,Unchanged
AD_ALCD22_D,1,Unchanged
AD_ALCD22_L,1,Unchanged
AD_ALDD20x,4.02271330092236,Upregulated
AD_ALDD20xm,2.97422154576365,Upregulated
AD_ALDD21,2.3017017576825,Upregulated
AD_ALDD2xm,3.00106408292948,Upregulated
AD_ALDD2y,5.54597383866909,Upregulated
AD_ALOX52,6508659.9982316,Upregulated
AD_ALR2,1,Unchanged
AD_ALR3,1,Unchanged
AD_AMACR2p,418.195996282288,Upregulated
AD_AMETr,1742992.27640891,Upregulated
AD_AMETt2m,1.35498712887433,Unchanged
AD_AMPDA,3.21271222997845e-05,Downregulated
AD_AOBUTDsm,134.062778536272,Upregulated
AD_APRTO2,4.90128969538944,Upregulated
AD_ARACHCPT1,19.6558160028578,Upregulated
AD_ARACHCPT2,19.6558278340181,Upregulated
AD_ARACHCRNt,1,Unchanged
AD_ARGSS,1.55530590619932,Unchanged
AD_ARSA,2.18936635166366,Upregulated
AD_R_group_phosphotase_1,1.98418245852126,Unchanged
AD_R_group_phosphotase_2,4.37822241014165,Upregulated
AD_R_group_phosphotase_3,2.56607650487499,Upregulated
AD_ARTPLM3,53322.1185713614,Upregulated
AD_ASAH1,2.4353378521441,Upregulated
AD_ASCBt4,3569272.30412078,Upregulated
AD_ASNALANaEx,1,Unchanged
AD_ASNCYSNaEx,1,Unchanged
AD_ASNGLNNaEx,1,Unchanged
AD_ASNSERNaEx,1,Unchanged
AD_ASNTHRNaEx,1,Unchanged
AD_ASPDt6,1.04526747658981,Unchanged
AD_ASPt6,1.04526746105139,Unchanged
AD_ATP1ter,0.719044417062938,Unchanged
AD_ATP2ter,0.512624052444263,Unchanged
AD_ATPH1e,15.0639097035728,Upregulated
AD_ATPH2e,23.2804647204637,Upregulated
AD_ATPtm,1.52202972799387e-06,Downregulated
AD_B3GALT3g,1.69123447650591,Unchanged
AD_B3GALT41g,1.34262939870056,Unchanged
AD_B3GALT5g,1.66009325103457,Unchanged
AD_BAAT3x,418.195996281236,Upregulated
AD_BAMPPALDOX,1.33760354009843,Unchanged
AD_BHMT,4.74273220279617,Upregulated
AD_BILDGLCURte,0.725922061136813,Unchanged
AD_BILGLCURtr,0.355590390042683,Downregulated
AD_BILIRED,2.72268037889845,Upregulated
AD_BILIRUBt2,2.7226805124773,Upregulated
AD_BILIRUBtr,0.3556183733209,Downregulated
AD_C14STRr,3.51289916990183,Upregulated
AD_C161CPT12,6.20596718654661,Upregulated
AD_C161CPT22,8.78060927867061,Upregulated
AD_C180CPT1,1.52569121833972,Unchanged
AD_C180CPT2,18.8324010107414,Upregulated
AD_C180CRNt,1,Unchanged
AD_C204CPT2,1.91362943311413,Unchanged
AD_C204CRNt,1,Unchanged
AD_C226CPT1,112.269037085345,Upregulated
AD_C226CPT2,112.268836782258,Upregulated
AD_C3STDH1Pr,3.51289929084767,Upregulated
AD_C3STKR2r,3.51289921845408,Upregulated
AD_C4STMO2Pr,3.5128991382414,Upregulated
AD_CAATPS,0.725922012730397,Unchanged
AD_CATm,28.283152659687,Upregulated
AD_CATp,1473.62504451335,Upregulated
AD_CBPPer,0.796716661288792,Unchanged
AD_CBPter,0.796716661288792,Unchanged
AD_CBR2,1,Unchanged
AD_CDIPTr,52.0164196307757,Upregulated
AD_CDPDAGtm,5.08944243211006,Upregulated
AD_CDSm,52.0314487717921,Upregulated
AD_CEPTC,1.85219792409789,Unchanged
AD_CEPTE,5.62046848014819,Upregulated
AD_CERK,0.725922102583302,Unchanged
AD_CERT1gt,1.44769264125476,Unchanged
AD_CERT1rt,1.83071488773867,Unchanged
AD_CERT2gt,1,Unchanged
AD_CERT2rt,1.66009332145611,Unchanged
AD_CHLPCTD,1.85219798928529,Unchanged
AD_CHSTEROLt1,1.9991113911331,Unchanged
AD_CHSTEROLtg,0.725922044236068,Unchanged
AD_CITtam,1,Unchanged
AD_CITtbm,1,Unchanged
AD_CKc,0.751606937619511,Unchanged
AD_CLOXAtex2,8680827.43300364,Upregulated
AD_CLPNDCOAtx,679.009912537298,Upregulated
AD_CLPNDCPT1,12.5076670644711,Upregulated
AD_CLPNDCPT2,12.5075430294383,Upregulated
AD_CMPACNAtg,1.3426293748731,Unchanged
AD_CMPSAS,1.8521979718203,Unchanged
AD_CO2ter,0.000117673113761437,Downregulated
AD_COAtl,2.82809516372593,Upregulated
AD_COAtm,4.96075906740649,Upregulated
AD_COAtr,0.998458996539804,Unchanged
AD_CORE2GTg,1.11415444911862,Unchanged
AD_CORE3GTg,1.12041750009668,Unchanged
AD_CORE4GTg,1.12041750009668,Unchanged
AD_COt,2.72268058645269,Upregulated
AD_CRNCARtp,3468121.11730047,Upregulated
AD_CSAPASEly,1.12278134613381,Unchanged
AD_CSBPASEly,1.13065941757339,Unchanged
AD_CSCPASEly,1.12278126701455,Unchanged
AD_CSDPASEly,1.13689664862399,Unchanged
AD_CSEPASEly,1.14195712192009,Unchanged
AD_CSm,93.8499119045982,Upregulated
AD_CSNAT2m,2.21358115886073e-05,Downregulated
AD_CSNAT2x,4.96075714679392,Upregulated
AD_CSNAT3x,2.21433427014203e-05,Downregulated
AD_CSNATer,0.996915475818346,Unchanged
AD_CSNATm,1623.21786374428,Upregulated
AD_CSNATp,1675.44693233267,Upregulated
AD_CSNATr,0.996915475818341,Unchanged
AD_CSPG_At,1.12278134613381,Unchanged
AD_CSPG_Atly,1.12278134613381,Unchanged
AD_CSPG_Bt,1.13065941757339,Unchanged
AD_CSPG_Btly,1.13065941757339,Unchanged
AD_CSPG_Ct,1.12278126701455,Unchanged
AD_CSPG_Ctly,1.12278126701455,Unchanged
AD_CSPG_Dt,1.13689664862399,Unchanged
AD_CSPG_Dtly,1.13689664862399,Unchanged
AD_CSPG_Et,1.14195712192009,Unchanged
AD_CSPG_Etly,1.14195712192009,Unchanged
AD_CYSALANaEx,1,Unchanged
AD_CYSASNNaEx,1,Unchanged
AD_CYSGLNNaEx,1,Unchanged
AD_CYSO,11.5062669715399,Upregulated
AD_CYSSERNaEx,1,Unchanged
AD_CYSTA,12.4252835937103,Upregulated
