Reaction,FSR,RegulationStatus
AD_10FTHF7GLUtl,47.9406365136473,Upregulated
AD_10FTHF7GLUtm,24.4057590325567,Upregulated
AD_10FTHFtl,47.9406365136473,Upregulated
AD_13DAMPPOX,97.2725378117527,Upregulated
AD_2HBO,173.009426184784,Upregulated
AD_2HBt2,1.0050251025042,Unchanged
AD_34DHOXPEGOX,345.043202170176,Upregulated
AD_34DHOXPEGt,345.043202170176,Upregulated
AD_34HPPOR,534.872794918462,Upregulated
AD_3DSPHR,75.3783973799816,Upregulated
AD_3HBCDm,0,Downregulated
AD_3HBCOAHLm,1320.15831634597,Upregulated
AD_3HLYTCL,1428.52551379222,Upregulated
AD_3M4HDXPAC,206.568095209594,Upregulated
AD_3MLDAt,93.7496793082822,Upregulated
AD_3MOBt2im,1320.15787664354,Upregulated
AD_3MOPt2im,60.0850332665549,Upregulated
AD_3MOXTYROX,206.568095209594,Upregulated
AD_3SALACBOXL,632.353220762869,Upregulated
AD_3SALAOX,653.979990722435,Upregulated
AD_41R1H2MAE12BOOX,192.3809839521,Upregulated
AD_41R2A1H12BOOX,352.217126348717,Upregulated
AD_42A12BOOX,584.833719052718,Upregulated
AD_4HGLSDm,1.49946310436109,Unchanged
AD_4HOXPACDOX_NADP_,221.07766354963,Upregulated
AD_4MOPt2im,NaN,Unchanged
AD_4PYRDX,120.215891607708,Upregulated
AD_5AOPtm,103.04354333238,Upregulated
AD_5HLTDL,378.801072782571,Upregulated
AD_5HOXINDACTO2OX,948.784760948963,Upregulated
AD_5HOXINOXDA,378.801072782571,Upregulated
AD_5MTHFt2,1.69482194017689e-07,Downregulated
AD_7DHFtl,34.7811067764728,Upregulated
AD_7DHFtm,34.7811011861634,Upregulated
AD_7THFtm,37.4897534425152,Upregulated
AD_A4GALTg,63.5680143785959,Upregulated
AD_AACTOOR,7369.22632672377,Upregulated
AD_AACTtm,7369.22632672377,Upregulated
AD_ABUTt2rL,151.283813095412,Upregulated
AD_ACACT10m,235.218264143404,Upregulated
AD_ACACT1rm,7.0087356710171,Upregulated
AD_ACACT1x,199436.147298822,Upregulated
AD_ACACT4p,893.457926030511,Upregulated
AD_ACACT5p,1846.46498162308,Upregulated
