Reaction,FSR,RegulationStatus
AD_10FTHF7GLUtl,1.51746509999419,Unchanged
AD_10FTHF7GLUtm,0.814301991274085,Unchanged
AD_10FTHFtl,1.51746509999419,Unchanged
AD_13DAMPPOX,3.07845268954472,Upregulated
AD_2HBO,5.7298193826144,Upregulated
AD_2HBt2,1.005024392149,Unchanged
AD_34DHOXPEGOX,21.2663748382389,Upregulated
AD_34DHOXPEGt,21.2663748382389,Upregulated
AD_34HPPOR,16.9275155455627,Upregulated
AD_3DSPHR,2.38555598985844,Upregulated
AD_3HBCDm,NaN,Unchanged
AD_3HBCOAHLm,41.7800351950292,Upregulated
AD_3HLYTCL,47.671006098314,Upregulated
AD_3M4HDXPAC,6.67842202287721,Upregulated
AD_3MLDAt,2.96695923934219,Upregulated
AD_3MOBt2im,41.7800517516152,Upregulated
AD_3MOPt2im,1.90177381322825,Unchanged
AD_3MOXTYROX,6.67842202287721,Upregulated
AD_3SALACBOXL,20.0125366020205,Upregulated
AD_3SALAOX,21.822675573236,Upregulated
AD_41R1H2MAE12BOOX,12.3223786728085,Upregulated
AD_41R2A1H12BOOX,21.2663752799688,Upregulated
AD_42A12BOOX,18.5086537413445,Upregulated
AD_4HGLSDm,1.49951232648907,Unchanged
AD_4HOXPACDOX_NADP_,6.99659886811639,Upregulated
AD_4MOPt2im,NaN,Unchanged
AD_4PYRDX,3.80455871766784,Upregulated
AD_5AOPtm,3.26109684953007,Upregulated
AD_5HLTDL,13.2268321250853,Upregulated
AD_5HOXINDACTO2OX,30.030156671995,Upregulated
AD_5HOXINOXDA,13.2268321250853,Upregulated
AD_5MTHFt2,1.70134656997334e-07,Downregulated
AD_7DHFtl,1.16047709043125,Unchanged
AD_7DHFtm,1.1604771570066,Unchanged
AD_7THFtm,1.25085258265058,Unchanged
AD_A4GALTg,2.94151806129483,Upregulated
AD_AACTOOR,233.21918628425,Upregulated
AD_AACTtm,233.21918628425,Upregulated
AD_ABUTt2rL,5.11319092566803,Upregulated
AD_ACACT10m,7.72981532396384,Upregulated
AD_ACACT1rm,0.221547683405864,Downregulated
AD_ACACT1x,7035.89108615237,Upregulated
AD_ACACT4p,79.9982051385797,Upregulated
AD_ACACT5p,58.7313115852404,Upregulated
AD_ACACT6p,52.5505398380625,Upregulated
AD_ACACT7p,52.5505398380625,Upregulated
AD_ACACT8p,89.2354908919153,Upregulated
AD_ACACT9p,89.2354721695643,Upregulated
AD_ACALDtm,49.4358227814139,Upregulated
AD_ACCOACm,1.99193224665132,Unchanged
AD_ACCOALm,4.08829145714838,Upregulated
AD_ACCOAtr,0.996915603804166,Unchanged
AD_ACETONEt2,13.5332498957349,Upregulated
AD_ACGALtly,3.22147756740991,Upregulated
AD_ACGAM6PSi,157.001402125823,Upregulated
AD_ACGAMK,10.7726786403117,Upregulated
AD_ACGAMPM,15.3850678944551,Upregulated
AD_ACGAMtly,10.7726786403117,Upregulated
AD_ACITL,1.1544295960585,Unchanged
AD_ACNAM9PL,1.26257635416761,Unchanged
AD_ACNAMlt,4.34287514267781,Upregulated
AD_ACNAMPH,1.26257635416761,Unchanged
AD_ACNMLr,1.26257635416761,Unchanged
AD_ACOAD10m,1.90177291061979,Unchanged
AD_ACOAD1fm,2.53858337325265e-05,Downregulated
AD_ACOAD9m,959066.25789599,Upregulated
AD_ACOAO7p,52.5505398107118,Upregulated
AD_ACONTm,0.988357351991721,Unchanged
AD_ACP1_FMN_,1.93892546447271,Unchanged
AD_ACRNtm,5792256.0110155,Upregulated
AD_ACS2,3.22147747691513,Upregulated
AD_ACt2m,49.4358227814139,Upregulated
AD_ACtg,2.15873453642296,Upregulated
AD_ADCim,13.5332498957653,Upregulated
AD_ADEt,4.24231156853035,Upregulated
AD_ADK1m,1,Unchanged
AD_ADK3,0.715955278197018,Unchanged
AD_ADK3m,1,Unchanged
AD_ADKd,1,Unchanged
AD_ADMDC,2.32645740168775,Upregulated
AD_ADNCYC,3.19790537161008,Upregulated
AD_ADNt,1.00502503734849,Unchanged
AD_ADNtl,0.435770347656026,Downregulated
AD_ADNtm,1.5078970147859e-06,Downregulated
AD_ADRNCOAtx,44.5898113703712,Upregulated
AD_ADRNCPT1,3.82904573478773,Upregulated
AD_ADRNCPT2,3.82904516396697,Upregulated
AD_ADRNCRNt,1,Unchanged
AD_ADSK,3.50954436071147,Upregulated
AD_AG13T16g,1.94871152345054,Unchanged
AD_AG13T17g,1.94871152345054,Unchanged
AD_AG13T18g,1.94871152345054,Unchanged
AD_AG13T1g,1.93781852034898,Unchanged
AD_AG13T2g,1.93781852034898,Unchanged
AD_AG13T3g,1.93781852034898,Unchanged
AD_AGPAT1,5.28239075197429,Upregulated
AD_AHCYStr,9.39904234741107e-07,Downregulated
AD_AKGMALtm,1,Unchanged
AD_ALAASNNaEx,1,Unchanged
AD_ALACYSNaEx,1,Unchanged
AD_ALAGLNNaEx,1,Unchanged
AD_ALASERNaEx,1,Unchanged
AD_ALASm,1,Unchanged
AD_ALAt4,1,Unchanged
AD_ALATA_L,0.162148178541527,Downregulated
AD_ALATHRNaEx,1,Unchanged
AD_ALCD21_D,1,Unchanged
AD_ALCD21_L,1,Unchanged
AD_ALCD22_D,1,Unchanged
AD_ALCD22_L,1,Unchanged
AD_ALDD20x,6.99659846008122,Upregulated
AD_ALDD20xm,5.1729828149142,Upregulated
AD_ALDD21,4.00772498099626,Upregulated
AD_ALDD2xm,49.4358227814139,Upregulated
AD_ALDD2y,91.3729379255441,Upregulated
AD_ALOX52,11202382.7460095,Upregulated
AD_ALR2,1,Unchanged
AD_ALR3,1,Unchanged
AD_AMACR2p,728.140426678075,Upregulated
AD_AMETr,9.39904234741107e-07,Downregulated
AD_AMETt2m,2.35669217804803,Upregulated
AD_AMPDA,3.24775527622529e-05,Downregulated
AD_AOBUTDsm,233.21918628425,Upregulated
AD_APRTO2,8.52468045087423,Upregulated
AD_ARACHCPT1,34.1994123429968,Upregulated
AD_ARACHCPT2,34.1994191021312,Upregulated
AD_ARACHCRNt,1,Unchanged
AD_ARGSS,2.70510136332091,Upregulated
AD_ARSA,3.80790532151231,Upregulated
AD_R_group_phosphotase_1,3.45103438504375,Upregulated
AD_R_group_phosphotase_2,7.61492290603261,Upregulated
AD_R_group_phosphotase_3,4.46310734234838,Upregulated
AD_ARTPLM3,91776.8672820003,Upregulated
AD_ASAH1,4.23571704578389,Upregulated
AD_ASCBt4,6143254.19646762,Upregulated
AD_ASNALANaEx,1,Unchanged
AD_ASNCYSNaEx,1,Unchanged
AD_ASNGLNNaEx,1,Unchanged
AD_ASNSERNaEx,1,Unchanged
AD_ASNTHRNaEx,1,Unchanged
AD_ASPDt6,1.04530618822588,Unchanged
AD_ASPt6,1.04530618823215,Unchanged
AD_ATP1ter,1.25061423455974,Unchanged
AD_ATP2ter,0.892070949987445,Unchanged
AD_ATPH1e,26.2002604029687,Upregulated
AD_ATPH2e,40.4910926749366,Upregulated
AD_ATPtm,1.53805549746266e-06,Downregulated
AD_B3GALT3g,2.94151806129483,Upregulated
AD_B3GALT41g,2.33519889857628,Upregulated
AD_B3GALT5g,2.88735484232815,Upregulated
AD_BAAT3x,727.624477827467,Upregulated
AD_BAMPPALDOX,2.3264574744751,Upregulated
AD_BHMT,8.24890519411726,Upregulated
AD_BILDGLCURte,1.26257638261211,Unchanged
AD_BILGLCURtr,0.61869700804922,Unchanged
AD_BILIRED,4.73548407188651,Upregulated
AD_BILIRUBt2,4.73548402754975,Upregulated
AD_BILIRUBtr,0.618697041438354,Unchanged
AD_C14STRr,6.10989112179491,Upregulated
AD_C161CPT12,10.7938691255772,Upregulated
AD_C161CPT22,15.2803620733218,Upregulated
AD_C180CPT1,2.65953210467786,Upregulated
AD_C180CPT2,32.7667432776424,Upregulated
AD_C180CRNt,1,Unchanged
AD_C204CPT2,3.32829004111281,Upregulated
AD_C204CRNt,1,Unchanged
AD_C226CPT1,195.575065041547,Upregulated
AD_C226CPT2,195.575073312448,Upregulated
AD_C3STDH1Pr,6.10989197951789,Upregulated
AD_C3STKR2r,6.10989039017582,Upregulated
AD_C4STMO2Pr,6.10989026045054,Upregulated
AD_CAATPS,1.26257641049753,Unchanged
AD_CATm,49.1921398531091,Upregulated
AD_CATp,2564.15780290081,Upregulated
AD_CBPPer,1.38570750136872,Unchanged
AD_CBPter,1.38570750136872,Unchanged
AD_CBR2,1,Unchanged
AD_CDIPTr,90.4707407732229,Upregulated
AD_CDPDAGtm,8.85192850284144,Upregulated
AD_CDSm,90.4968810342524,Upregulated
AD_CEPTC,3.22147753661776,Upregulated
AD_CEPTE,9.77552735184452,Upregulated
AD_CERK,1.26257649141484,Unchanged
AD_CERT1gt,2.51793229809424,Upregulated
AD_CERT1rt,3.18408139715809,Upregulated
AD_CERT2gt,1,Unchanged
AD_CERT2rt,2.88735499668469,Upregulated
AD_CHLPCTD,3.22147741424145,Upregulated
AD_CHSTEROLt1,1.99911141214065,Unchanged
AD_CHSTEROLtg,1.26257646410821,Unchanged
AD_CITtam,1,Unchanged
AD_CITtbm,1,Unchanged
AD_CKc,1.30724949897922,Unchanged
AD_CLOXAtex2,14941008.524762,Upregulated
AD_CLPNDCOAtx,1181.36327353591,Upregulated
AD_CLPNDCPT1,21.7622377529848,Upregulated
AD_CLPNDCPT2,21.7631087636491,Upregulated
AD_CMPACNAtg,2.33519865320832,Upregulated
AD_CMPSAS,3.22147747000898,Upregulated
AD_CO2ter,0.000118955709814722,Downregulated
AD_COAtl,4.91882896739991,Upregulated
AD_COAtm,4.96049623931178,Upregulated
AD_COAtr,0.998459010135447,Unchanged
AD_CORE2GTg,1.93781852034898,Unchanged
AD_CORE3GTg,1.94871152345054,Unchanged
AD_CORE4GTg,1.94871152345054,Unchanged
AD_COt,4.7354841551984,Upregulated
AD_CRNCARtp,5969157.9966654,Upregulated
AD_CSAPASEly,1.9528230112411,Unchanged
AD_CSBPASEly,1.96652507930959,Unchanged
AD_CSCPASEly,1.95282279978146,Unchanged
AD_CSDPASEly,1.97737320278596,Unchanged
AD_CSEPASEly,1.98617479400334,Unchanged
AD_CSm,163.279848446851,Upregulated
AD_CSNAT2m,2.23755177145576e-05,Downregulated
AD_CSNAT2x,4.96049512356783,Upregulated
AD_CSNAT3x,2.23755173636484e-05,Downregulated
AD_CSNATer,0.996915603804166,Unchanged
AD_CSNATm,2824.1955006157,Upregulated
AD_CSNATp,2914.02900046362,Upregulated
AD_CSNATr,0.996915603804219,Unchanged
AD_CSPG_At,1.9528230112411,Unchanged
AD_CSPG_Atly,1.9528230112411,Unchanged
AD_CSPG_Bt,1.96652507930959,Unchanged
AD_CSPG_Btly,1.96652507930959,Unchanged
AD_CSPG_Ct,1.95282279978146,Unchanged
AD_CSPG_Ctly,1.95282279978146,Unchanged
AD_CSPG_Dt,1.97737320278596,Unchanged
AD_CSPG_Dtly,1.97737320278596,Unchanged
AD_CSPG_Et,1.98617479400334,Unchanged
AD_CSPG_Etly,1.98617479400334,Unchanged
AD_CYSALANaEx,1,Unchanged
AD_CYSASNNaEx,1,Unchanged
AD_CYSGLNNaEx,1,Unchanged
AD_CYSO,20.0125371133359,Upregulated
AD_CYSSERNaEx,1,Unchanged
AD_CYSTA,21.6109582173117,Upregulated
AD_CYSTHRNaEx,1,Unchanged
AD_CYTDK1,1.99999854901239,Unchanged
AD_CYTDK2m,8.85192853222896,Upregulated
AD_CYTDt,1,Unchanged
AD_CYTDtl,1.26257643824452,Unchanged
AD_CYTDtm,8.85192853222896,Upregulated
AD_CYTK10,1,Unchanged
AD_CYTK10n,1,Unchanged
AD_CYTK11,1,Unchanged
AD_CYTK11n,1,Unchanged
AD_CYTK12,1,Unchanged
AD_CYTK12n,1,Unchanged
AD_CYTK13,1,Unchanged
AD_CYTK13n,1,Unchanged
AD_CYTK14,1,Unchanged
AD_CYTK14n,1,Unchanged
AD_CYTK1m,90.4968810342524,Upregulated
AD_CYTK1n,1,Unchanged
AD_CYTK2n,1,Unchanged
AD_CYTK3n,1,Unchanged
AD_CYTK4n,1,Unchanged
AD_CYTK5,1,Unchanged
AD_CYTK5n,1,Unchanged
AD_CYTK6,1,Unchanged
AD_CYTK6n,1,Unchanged
AD_CYTK7,1,Unchanged
AD_CYTK7n,1,Unchanged
AD_CYTK8,1,Unchanged
AD_CYTK8n,1,Unchanged
AD_CYTK9,1,Unchanged
AD_CYTK9n,1,Unchanged
AD_DAGK_hs,3.11294444121452e-05,Downregulated
AD_DAGKn_hs,8.17156646693479e-06,Downregulated
AD_DAGt,8.88130745575662,Upregulated
AD_DASCBR,11.5603432143477,Upregulated
AD_DATPtn,1.35992541848156,Unchanged
AD_DCIm,45.191351260706,Upregulated
AD_DCK1m,0.000655395538290072,Downregulated
AD_DCK1n,71.3676153752241,Upregulated
