Reaction,FSR,RegulationStatus
AD_10FTHF7GLUtl,3.91744676478258,Upregulated
AD_10FTHF7GLUtm,2.14838349063822,Upregulated
AD_10FTHFtl,3.91744676475483,Upregulated
AD_13DAMPPOX,7.82398471156513,Upregulated
AD_2HBO,9.45237903745618,Upregulated
AD_34DHOXPEGOX,55.734047737446,Upregulated
AD_34DHOXPEGt,55.734047737446,Upregulated
AD_34HPPOR,42.9464977137029,Upregulated
AD_3DSPHR,7.13379303663057,Upregulated
AD_3HBCOAHLm,196.492250406884,Upregulated
AD_3HLYTCL,160.187638499695,Upregulated
AD_3M4HDXPAC,17.6819747064882,Upregulated
AD_3MLDAt,7.82352231495637,Upregulated
AD_3MOBt2im,196.49224972004,Upregulated
AD_3MOPt2im,4.68415541371565,Upregulated
AD_3MOXTYROX,17.6819747064882,Upregulated
AD_3SALACBOXL,51.6820107298241,Upregulated
AD_3SALAOX,54.8923698814607,Upregulated
AD_41R1H2MAE12BOOX,31.7961776050132,Upregulated
AD_41R2A1H12BOOX,55.7340504937123,Upregulated
AD_42A12BOOX,51.4046694775648,Upregulated
AD_4HOXPACDOX_NADP_,18.8718925692056,Upregulated
AD_4PYRDX,9.4741824811508,Upregulated
AD_5AOPtm,8.37870734823807,Upregulated
AD_5HLTDL,34.4181413718732,Upregulated
AD_5HOXINDACTO2OX,70.45714036619,Upregulated
AD_5HOXINOXDA,34.4181413718732,Upregulated
AD_5MTHFt2,7.70831529052884e-07,Downregulated
AD_7DHFtl,3.0057378260778,Upregulated
AD_7DHFtm,3.00573780841906,Upregulated
AD_7THFtm,3.23982710149797,Upregulated
AD_A4GALTg,7.34910673787942,Upregulated
AD_AACTOOR,641.345819909437,Upregulated
AD_AACTtm,641.345819909437,Upregulated
AD_ABUTt2rL,13.1417703090214,Upregulated
AD_ACACT10m,19.1020284871971,Upregulated
AD_ACACT1x,699.714502165526,Upregulated
AD_ACACT4p,119.36378546277,Upregulated
AD_ACACT5p,132.641014099814,Upregulated
AD_ACACT6p,129.723576076951,Upregulated
AD_ACACT7p,129.723576076951,Upregulated
AD_ACACT8p,186.365923906486,Upregulated
AD_ACACT9p,186.365919071398,Upregulated
AD_ACALDtm,14.5186990692616,Upregulated
AD_ACCOACm,4.8232417657737,Upregulated
AD_ACCOALm,11.3062236827952,Upregulated
AD_ACETONEt2,16.2723651177991,Upregulated
AD_ACGALtly,8.47966826451568,Upregulated
AD_ACGAM6PSi,378.524356821722,Upregulated
AD_ACGAMK,26.9628670903127,Upregulated
AD_ACGAMPM,43.7142506795806,Upregulated
AD_ACGAMtly,26.9628670903127,Upregulated
AD_ACITL,2.88968134776619,Upregulated
AD_ACNAM9PL,3.15510998468058,Upregulated
AD_ACNAMlt,11.211618096714,Upregulated
AD_ACNAMPH,3.15510998468058,Upregulated
AD_ACNMLr,3.15510998504476,Upregulated
AD_ACOAD10m,4.68415525852513,Upregulated
AD_ACOAD1fm,0.000119665679995107,Downregulated
AD_ACOAD9m,272577.148412479,Upregulated
AD_ACOAO7p,129.723576076951,Upregulated
AD_ACP1_FMN_,4.84526956524777,Upregulated
AD_ACRNtm,3363863.49628746,Upregulated
AD_ACS2,8.47966782464031,Upregulated
AD_ACt2m,14.5186990692616,Upregulated
AD_ACtg,5.45390365826436,Upregulated
AD_ADCim,16.2723651179054,Upregulated
AD_ADEt,11.6664792756199,Upregulated
AD_ADMDC,5.84941015969964,Upregulated
AD_ADNCYC,8.41762058448498,Upregulated
AD_ADNtl,0.200140515026072,Downregulated
AD_ADNtm,5.79372840638754e-06,Downregulated
AD_ADRNCOAtx,102.625805489837,Upregulated
AD_ADRNCPT1,8.0897346461067,Upregulated
AD_ADRNCPT2,8.08973488565849,Upregulated
AD_ADSK,8.95726701444259,Upregulated
AD_AG13T16g,4.90233936961859,Upregulated
AD_AG13T17g,4.90233936961859,Upregulated
AD_AG13T18g,4.90233936961859,Upregulated
AD_AG13T1g,4.86870480230954,Upregulated
AD_AG13T2g,4.86870480230954,Upregulated
AD_AG13T3g,4.86870480230954,Upregulated
AD_AGPAT1,13.471088860537,Upregulated
AD_AHCYStr,7.72529938989979,Upregulated
AD_ALATA_L,0.310157358200529,Downregulated
AD_ALDD20x,18.8718920959765,Upregulated
AD_ALDD20xm,13.4910920496923,Upregulated
AD_ALDD21,9.58983800119026,Upregulated
AD_ALDD2xm,14.5186990692616,Upregulated
AD_ALDD2y,22.6236000229108,Upregulated
AD_ALOX52,6508659.9982316,Upregulated
AD_AMACR2p,159.836798315356,Upregulated
AD_AMETr,7.72529938989979,Upregulated
AD_AMETt2m,5.84092119449702,Upregulated
