Reaction,FSR,RegulationStatus
AD_10FTHF7GLUtl,0.441563011131228,Downregulated
AD_10FTHF7GLUtm,0.2368314531296,Downregulated
AD_10FTHFtl,0.441563011131228,Downregulated
AD_34DHOXPEGOX,6.18125533008694,Upregulated
AD_34DHOXPEGt,6.18125533008694,Upregulated
AD_34HPPOR,4.92319538537675,Upregulated
AD_3HBCOAHLm,12.1565394676706,Upregulated
AD_3HLYTCL,13.8608084632604,Upregulated
AD_3MOBt2im,12.1557968852022,Upregulated
AD_3SALACBOXL,5.81884178197922,Upregulated
AD_3SALAOX,6.35102777238705,Upregulated
AD_41R1H2MAE12BOOX,3.58127664805278,Upregulated
AD_41R2A1H12BOOX,6.18912789061886,Upregulated
AD_42A12BOOX,5.38655215985182,Upregulated
AD_4HOXPACDOX_NADP_,2.036211957687,Upregulated
AD_5HLTDL,3.84938959961117,Upregulated
AD_5HOXINDACTO2OX,8.73161771430636,Upregulated
AD_5HOXINOXDA,3.84938959961117,Upregulated
AD_5MTHFt2,1.8250272607645e-07,Downregulated
AD_7DHFtl,0.33773232013801,Downregulated
AD_7DHFtm,0.337512983499483,Downregulated
AD_7THFtm,0.363981698613809,Downregulated
AD_AACTOOR,67.8238809407062,Upregulated
AD_AACTtm,67.8238809407062,Upregulated
AD_ACACT10m,2.24867696645731,Upregulated
AD_ACACT1rm,0.0645257364024831,Downregulated
AD_ACACT1x,2047.17374048956,Upregulated
AD_ACACT4p,21.9282643803967,Upregulated
AD_ACACT5p,17.4519705682943,Upregulated
AD_ACACT6p,15.2796926830688,Upregulated
AD_ACACT7p,15.2796926830688,Upregulated
AD_ACACT8p,26.4059623058011,Upregulated
AD_ACACT9p,26.4103237276543,Upregulated
AD_ACALDtm,14.3740408013525,Upregulated
AD_ACETONEt2,3.93859186237761,Upregulated
AD_ACGAM6PSi,45.6844352698392,Upregulated
AD_ACGAMK,3.12994284452804,Upregulated
AD_ACGAMPM,4.47424000056009,Upregulated
AD_ACGAMtly,3.12994284452804,Upregulated
AD_ACITL,0.335754129681678,Downregulated
AD_ACNAM9PL,0.367207517398492,Downregulated
AD_ACNAMPH,0.367207517398492,Downregulated
AD_ACNMLr,0.367207517398492,Downregulated
AD_ACOAD1fm,2.72312660435482e-05,Downregulated
AD_ACOAD9m,260031.683417761,Upregulated
AD_ACOAO7p,15.2796926830688,Upregulated
AD_ACRNtm,1570509.15412588,Upregulated
AD_ACt2m,14.3740408013525,Upregulated
AD_ADCim,3.93859186236934,Upregulated
AD_ADNtl,0.435770711300999,Downregulated
AD_ADNtm,1.61706840209346e-06,Downregulated
AD_ADRNCOAtx,12.9680149911829,Upregulated
AD_ALATA_L,0.0472481901800674,Downregulated
AD_ALDD20x,2.03565194027296,Upregulated
AD_ALDD2xm,14.3740408013525,Upregulated
AD_ALDD2y,26.5850269938441,Upregulated
AD_ALOX52,3039274.01159812,Upregulated
AD_AMACR2p,211.567817970106,Upregulated
AD_AMPDA,3.48319231581127e-05,Downregulated
AD_AOBUTDsm,67.8238809407062,Upregulated
AD_APRTO2,2.47931645890326,Upregulated
AD_ARACHCPT1,9.94709856014673,Upregulated
AD_ARACHCPT2,9.9484425342519,Upregulated
AD_R_group_phosphotase_2,2.21472293700686,Upregulated
AD_ARTPLM3,24886.4976109957,Upregulated
AD_ASCBt4,1666701.94406797,Upregulated
AD_ATP1ter,0.363912295963942,Downregulated
AD_ATP2ter,0.259606482818642,Downregulated
AD_ATPH1e,7.62507759363272,Upregulated
AD_ATPH2e,11.7841343157549,Upregulated
AD_ATPtm,1.64986561060232e-06,Downregulated
AD_BAAT3x,211.567817970128,Upregulated
AD_BHMT,2.40066933198754,Upregulated
AD_BILDGLCURte,0.367106530547516,Downregulated
AD_BILGLCURtr,0.179990710888067,Downregulated
AD_BILIRUBtr,0.180029244803103,Downregulated
AD_C161CPT12,3.13928710579701,Upregulated
AD_C161CPT22,4.45260235967453,Upregulated
AD_C180CPT2,9.53350002873397,Upregulated
AD_C226CPT1,56.9596614449425,Upregulated
AD_C226CPT2,56.9596573178125,Upregulated
AD_CAATPS,0.367207570435304,Downregulated
AD_CATm,14.3030916404038,Upregulated
AD_CATp,745.952037567124,Upregulated
AD_CBPPer,0.403018961308708,Downregulated
AD_CBPter,0.403018961308708,Downregulated
