Reaction,FSR,RegulationStatus
AD_13DAMPPOX,3.07845268954472,Upregulated
AD_2HBO,5.7298193826144,Upregulated
AD_34DHOXPEGOX,21.2663748382389,Upregulated
AD_34DHOXPEGt,21.2663748382389,Upregulated
AD_34HPPOR,16.9275155455627,Upregulated
AD_3DSPHR,2.38555598985844,Upregulated
AD_3HBCOAHLm,41.7800351950292,Upregulated
AD_3HLYTCL,47.671006098314,Upregulated
AD_3M4HDXPAC,6.67842202287721,Upregulated
AD_3MLDAt,2.96695923934219,Upregulated
AD_3MOBt2im,41.7800517516152,Upregulated
AD_3MOXTYROX,6.67842202287721,Upregulated
AD_3SALACBOXL,20.0125366020205,Upregulated
AD_3SALAOX,21.822675573236,Upregulated
AD_41R1H2MAE12BOOX,12.3223786728085,Upregulated
AD_41R2A1H12BOOX,21.2663752799688,Upregulated
AD_42A12BOOX,18.5086537413445,Upregulated
AD_4HOXPACDOX_NADP_,6.99659886811639,Upregulated
AD_4PYRDX,3.80455871766784,Upregulated
AD_5AOPtm,3.26109684953007,Upregulated
AD_5HLTDL,13.2268321250853,Upregulated
AD_5HOXINDACTO2OX,30.030156671995,Upregulated
AD_5HOXINOXDA,13.2268321250853,Upregulated
AD_5MTHFt2,1.70134656997334e-07,Downregulated
AD_A4GALTg,2.94151806129483,Upregulated
AD_AACTOOR,233.21918628425,Upregulated
AD_AACTtm,233.21918628425,Upregulated
AD_ABUTt2rL,5.11319092566803,Upregulated
AD_ACACT10m,7.72981532396384,Upregulated
AD_ACACT1rm,0.221547683405864,Downregulated
AD_ACACT1x,7035.89108615237,Upregulated
AD_ACACT4p,79.9982051385797,Upregulated
AD_ACACT5p,58.7313115852404,Upregulated
AD_ACACT6p,52.5505398380625,Upregulated
AD_ACACT7p,52.5505398380625,Upregulated
AD_ACACT8p,89.2354908919153,Upregulated
AD_ACACT9p,89.2354721695643,Upregulated
AD_ACALDtm,49.4358227814139,Upregulated
AD_ACCOALm,4.08829145714838,Upregulated
AD_ACETONEt2,13.5332498957349,Upregulated
AD_ACGALtly,3.22147756740991,Upregulated
AD_ACGAM6PSi,157.001402125823,Upregulated
AD_ACGAMK,10.7726786403117,Upregulated
AD_ACGAMPM,15.3850678944551,Upregulated
AD_ACGAMtly,10.7726786403117,Upregulated
AD_ACNAMlt,4.34287514267781,Upregulated
AD_ACOAD1fm,2.53858337325265e-05,Downregulated
AD_ACOAD9m,959066.25789599,Upregulated
AD_ACOAO7p,52.5505398107118,Upregulated
AD_ACRNtm,5792256.0110155,Upregulated
AD_ACS2,3.22147747691513,Upregulated
AD_ACt2m,49.4358227814139,Upregulated
AD_ACtg,2.15873453642296,Upregulated
AD_ADCim,13.5332498957653,Upregulated
AD_ADEt,4.24231156853035,Upregulated
AD_ADMDC,2.32645740168775,Upregulated
AD_ADNCYC,3.19790537161008,Upregulated
AD_ADNtl,0.435770347656026,Downregulated
AD_ADNtm,1.5078970147859e-06,Downregulated
AD_ADRNCOAtx,44.5898113703712,Upregulated
AD_ADRNCPT1,3.82904573478773,Upregulated
AD_ADRNCPT2,3.82904516396697,Upregulated
AD_ADSK,3.50954436071147,Upregulated
AD_AGPAT1,5.28239075197429,Upregulated
AD_AHCYStr,9.39904234741107e-07,Downregulated
AD_ALATA_L,0.162148178541527,Downregulated
AD_ALDD20x,6.99659846008122,Upregulated
AD_ALDD20xm,5.1729828149142,Upregulated
AD_ALDD21,4.00772498099626,Upregulated
AD_ALDD2xm,49.4358227814139,Upregulated
AD_ALDD2y,91.3729379255441,Upregulated
AD_ALOX52,11202382.7460095,Upregulated
AD_AMACR2p,728.140426678075,Upregulated
AD_AMETr,9.39904234741107e-07,Downregulated
AD_AMETt2m,2.35669217804803,Upregulated
AD_AMPDA,3.24775527622529e-05,Downregulated
AD_AOBUTDsm,233.21918628425,Upregulated
AD_APRTO2,8.52468045087423,Upregulated
AD_ARACHCPT1,34.1994123429968,Upregulated
AD_ARACHCPT2,34.1994191021312,Upregulated
AD_ARGSS,2.70510136332091,Upregulated
AD_ARSA,3.80790532151231,Upregulated
AD_R_group_phosphotase_1,3.45103438504375,Upregulated
AD_R_group_phosphotase_2,7.61492290603261,Upregulated
AD_R_group_phosphotase_3,4.46310734234838,Upregulated
AD_ARTPLM3,91776.8672820003,Upregulated
AD_ASAH1,4.23571704578389,Upregulated
AD_ASCBt4,6143254.19646762,Upregulated
AD_ATPH1e,26.2002604029687,Upregulated
AD_ATPH2e,40.4910926749366,Upregulated
AD_ATPtm,1.53805549746266e-06,Downregulated
AD_B3GALT3g,2.94151806129483,Upregulated
AD_B3GALT41g,2.33519889857628,Upregulated
AD_B3GALT5g,2.88735484232815,Upregulated
AD_BAAT3x,727.624477827467,Upregulated
AD_BAMPPALDOX,2.3264574744751,Upregulated
AD_BHMT,8.24890519411726,Upregulated
AD_BILIRED,4.73548407188651,Upregulated
AD_BILIRUBt2,4.73548402754975,Upregulated
AD_C14STRr,6.10989112179491,Upregulated
AD_C161CPT12,10.7938691255772,Upregulated
AD_C161CPT22,15.2803620733218,Upregulated
AD_C180CPT1,2.65953210467786,Upregulated
AD_C180CPT2,32.7667432776424,Upregulated
AD_C204CPT2,3.32829004111281,Upregulated
AD_C226CPT1,195.575065041547,Upregulated
AD_C226CPT2,195.575073312448,Upregulated
AD_C3STDH1Pr,6.10989197951789,Upregulated
AD_C3STKR2r,6.10989039017582,Upregulated
AD_C4STMO2Pr,6.10989026045054,Upregulated
AD_CATm,49.1921398531091,Upregulated
AD_CATp,2564.15780290081,Upregulated
AD_CDIPTr,90.4707407732229,Upregulated
AD_CDPDAGtm,8.85192850284144,Upregulated
AD_CDSm,90.4968810342524,Upregulated
AD_CEPTC,3.22147753661776,Upregulated
AD_CEPTE,9.77552735184452,Upregulated
AD_CERT1gt,2.51793229809424,Upregulated
AD_CERT1rt,3.18408139715809,Upregulated
AD_CERT2rt,2.88735499668469,Upregulated
AD_CHLPCTD,3.22147741424145,Upregulated
AD_CLOXAtex2,14941008.524762,Upregulated
AD_CLPNDCOAtx,1181.36327353591,Upregulated
AD_CLPNDCPT1,21.7622377529848,Upregulated
AD_CLPNDCPT2,21.7631087636491,Upregulated
AD_CMPACNAtg,2.33519865320832,Upregulated
AD_CMPSAS,3.22147747000898,Upregulated
AD_CO2ter,0.000118955709814722,Downregulated
AD_COAtl,4.91882896739991,Upregulated
AD_COAtm,4.96049623931178,Upregulated
AD_COt,4.7354841551984,Upregulated
AD_CRNCARtp,5969157.9966654,Upregulated
AD_CSm,163.279848446851,Upregulated
AD_CSNAT2m,2.23755177145576e-05,Downregulated
AD_CSNAT2x,4.96049512356783,Upregulated
AD_CSNAT3x,2.23755173636484e-05,Downregulated
AD_CSNATm,2824.1955006157,Upregulated
AD_CSNATp,2914.02900046362,Upregulated
AD_CYSO,20.0125371133359,Upregulated
