Reaction,MinFlux,MaxFlux
AD_10FTHF7GLUtl,0,8.18296462057333e-06
AD_10FTHF7GLUtm,0,8.23040032571498e-06
AD_10FTHFtl,-8.18296462057333e-06,0
AD_10FTHFtm,999.999841424012,1000
AD_13DAMPPOX,0,5.90882524775793e-06
AD_2HBO,-17.6007885371285,0.00106506536499751
AD_2HBt2,-1000,1000
AD_34DHOXPEGOX,0,2.02704061248227e-05
AD_34DHOXPEGt,0,2.02704061248227e-05
AD_34DHXMANDACOX_NADP_,-2.02704109470986e-05,0
AD_34HPPOR,0,2.14837092926246e-05
AD_3DSPHR,2.23687396358422,2.23737632810571
AD_3HBCDm,0,0
AD_3HBCOAHLm,431.881479673493,431.915259990929
AD_3HLYTCL,0,0.000143376029342335
AD_3M4HDXPAC,0,2.46387723829381e-05
AD_3MLDAt,0,2.69548182131984e-05
AD_3MOBt2im,431.881990205594,431.915254461788
AD_3MOPt2im,0,4.33724677577629e-05
AD_3MOX4HOXPGALDOX,0,2.02704109470986e-05
AD_3MOXTYROX,0,2.46387723829381e-05
AD_3SALACBOXL,0,4.60475610850608e-05
AD_3SALAOX,0,1.75690524932826e-05
AD_41R1H2MAE12BOOX,0,1.68048991611158e-05
AD_41R2A1H12BOOX,0,2.02704053918978e-05
AD_42A12BOOX,0,2.83067755662003e-05
AD_4HGLSDm,0,1000
AD_4HOXPACDOX_NADP_,0,2.67560236579811e-05
AD_4MOPt2im,0,0
AD_4PYRDX,0,6.08261495926854e-06
AD_5AOPtm,-2.08809207448291e-05,0
AD_5HLTDL,0,2.19909760138156e-05
AD_5HOXINDACTO2OX,0,9.50713929102065e-05
AD_5HOXINOXDA,0,2.19909760138156e-05
AD_5MTHFt2,-1000,1000
AD_7DHFtl,0,8.93847690737933e-06
AD_7DHFtm,0,8.93846554330785e-06
AD_7THFtm,0,9.64176384362266e-06
AD_A4GALTg,0,1.88877837183131e-06
AD_AACTOOR,0,4.42573731476159e-05
AD_AACTtm,0,4.42573731476159e-05
AD_AASAD3m,0,1.12535034685218e-05
AD_ABUTt2rL,-7.38339937811361e-06,2.37678472672087e-05
AD_ACACT10m,-1.13686837721616e-13,4.40943805085905e-05
AD_ACACT1rm,0,0.00039346749721858
AD_ACACT1x,105.589086875227,105.604724880728
AD_ACACT4p,0,4.90443551086628e-05
AD_ACACT5p,0,0.000202807957991584
AD_ACACT6p,0,0.00020280800653165
AD_ACACT7p,0,0.00020280800653165
AD_ACACT8p,0,1.05362656452747e-05
AD_ACACT9p,0,1.05362656452747e-05
AD_ACALDtm,-7.35906387536038e-05,0
AD_ACALDtx,0,5.7334923013741e-05
AD_ACCOACm,0,5.23786623709362e-05
AD_ACCOALm,0,2.25975091487791e-05
AD_ACCOAtr,-1000,852.929486159789
AD_ACETONEt2,-149.45771410619,-149.374886477316
AD_ACETONEt2m,-149.45771410619,-149.374886477316
AD_ACGALK2,0,2.37678437997602e-05
AD_ACGALtly,0,2.37678401428335e-05
AD_ACGAM6PSi,0,1.89327197866865e-06
AD_ACGAMK,0,1.98351488376959e-06
AD_ACGAMPM,0,1.98351530803668e-06
AD_ACGAMtly,0,1.98351488376959e-06
AD_ACITL,0,6.10836639359203e-06
AD_ACNAM9PL,0,3.26780127579696e-06
AD_ACNAMlt,-7.50210869136617e-06,0
AD_ACNAMPH,0,3.26780127579696e-06
AD_ACNMLr,0,3.26780127579696e-06
AD_ACOAD10m,0,4.40943698170789e-05
AD_ACOAD1fm,0,9.22599552677171e-05
AD_ACOAD9m,0,431.915254462449
AD_ACOAO7p,0,0.00020280800653165
AD_ACONTm,-997.695627348134,1000
AD_ACP1_FMN_,0,5.74999489799666e-06
AD_ACRNtm,-147.092295369487,-147.07051385899
AD_ACS2,0,2.37678484040771e-05
AD_ACt2m,-7.35906387536038e-05,0
AD_ACtg,-8.98431038268377e-07,0
AD_ADAe,0,0.000107260450590729
AD_ADCim,149.374886477316,149.45771410619
AD_ADEt,-309.472711982874,-309.471526520444
AD_ADK1m,-678.00598976264,680.528491578015
AD_ADK3,-590.491995019427,1000
AD_ADK3m,-1000,358.534463242719
AD_ADKd,-1000,1000
AD_ADMDC,0,6.24920657799066e-06
AD_ADNCYC,0,2.37678603980385e-05
AD_ADNt,-1000,990.0000825932
AD_ADNtl,0,0.000628849763792516
AD_ADNtm,-319.472727352361,-319.471526520188
AD_ADRNCOAtx,0,9.85021643884476e-06
AD_ADRNCPT1,0,2.38709888549238e-05
AD_ADRNCPT2,0,2.38709894380129e-05
AD_ADRNCRNt,-1000,1000
AD_ADSK,0,4.78639425357277e-06
AD_AG13T16g,0,3.96703421350659e-07
AD_AG13T17g,0,3.96703421350659e-07
AD_AG13T18g,0,3.96703421350659e-07
AD_AG13T1g,0,4.36892398945268e-07
AD_AG13T2g,0,4.36892398945268e-07
AD_AG13T3g,0,4.36892398945268e-07
AD_AGMTm,0,3.08103350215028e-05
AD_AGPAT1,0,1.19528134518987e-05
AD_AHCYStr,-69.3460985947575,0
AD_AKGMALtm,-1000,1000
AD_ALAASNNaEx,0,1000
AD_ALACYSNaEx,0,1000
AD_ALAGLNNaEx,0,1000
AD_ALASERNaEx,0,1000
AD_ALASm,0,1000
AD_ALAt4,0,1000
AD_ALATA_L,-234.578542686766,-234.539672033817
AD_ALATHRNaEx,0,1000
AD_ALAtN1,-1000,1000
AD_ALCD21_D,0,1000
AD_ALCD21_L,0,1000
AD_ALCD22_D,0,1000
AD_ALCD22_L,0,1000
AD_ALCD2if,0,0.000142367515991282
AD_ALDD20x,0,2.63326575691281e-05
AD_ALDD20xm,0,2.05433511166753e-05
AD_ALDD21,0,0.000256987182603133
AD_ALDD2xm,0,7.35906387536038e-05
AD_ALDD2y,0,0.000142367337746307
AD_ALOX52,0,3.29618687544553e-06
AD_ALR2,0,1000
AD_ALR3,0,1000
AD_AMACR2p,123.187268019891,123.205512361058
AD_AMETr,0,69.3460985947575
AD_AMETt2m,0,9.7532217182561e-06
AD_AMPDA,4.62022057297067,4.62049514195678
AD_ANDRSTRNtr,-6.53560610430759e-06,0
AD_AOBUTDsm,0,4.42573731476159e-05
AD_APRTO2,0,6.61885363074633e-05
AD_ARACHCPT1,-2.3871000280451e-05,2.3870985749852e-05
AD_ARACHCPT2,-2.38709858422226e-05,2.4009377625589e-05
AD_ARACHCRNt,-1000,1000
AD_ARACHDCOAtx,-6.69051367196971e-06,1.79166659857402e-05
AD_ARGDCm,0,3.08103350215028e-05
AD_ARGSS,0,2.47048571679898e-05
AD_ARSA,0,4.17363417337668e-06
AD_R_group_phosphotase_1,1.11842848976088,1.11850489910276
AD_R_group_phosphotase_2,0,1.37277488864216e-05
AD_R_group_phosphotase_3,35.0448197929185,35.0462813150343
AD_ARTPLM3,35.0448278150371,35.0462833146392
AD_ASAH1,0,4.17363417337668e-06
AD_ASCBt4,-0.000270883702963687,0
AD_ASNALANaEx,0,1000
AD_ASNCYSNaEx,0,1000
