Reaction,EssentialityDrop,FluxSpan,ImportanceScore
ACACT4p,3.42868212313699e-05,1.23343386349006e-06,810060.176372355
ACACT5p,3.42868212313699e-05,1.19492131034349e-06,836146.746888858
ACCOAC,3.42868212313699e-05,2.32891636642307e-06,429185.239259868
ACCOACm,3.42868212313699e-05,1.79577087919824e-05,55681.3813710926
ADRNCRNt,3.42868212313699e-05,2000,0.000499982856589134
ALDD21,3.42868212313699e-05,547.858945499374,0.00182522476157704
ARACHCRNt,3.42868212313699e-05,2000,0.000499982856589134
C12OHc,3.42868212313699e-05,2.01370085051167e-07,4941272.38680529
C161CPT22,3.42868212313699e-05,1.27137309391401e-06,785906.050640167
C180CPT1,3.42868212313699e-05,7.02362467563944e-06,142351.479168208
C180CPT2,3.42868212313699e-05,6.96481811246485e-06,143553.233379637
C180CRNt,3.42868212313699e-05,1748.55812207637,0.000571880168324496
C204CRNt,3.42868212313699e-05,2000,0.000499982856589134
C226CPT1,3.42868212313699e-05,1.82390476766159e-06,547955.011625134
C226CPT2,3.42868212313699e-05,1.82390476766159e-06,547955.011625134
C80CPT1,3.42868212313699e-05,1.22199821817048e-06,817634.644369838
CSNAT2m,3.42868212313699e-05,1.80410058874259e-05,55424.309215844
CSNAT3x,3.42868212313699e-05,1.80410058874259e-05,55424.309215844
CSNATer,3.42868212313699e-05,2.91129629204079e-06,343359.882684891
CSNATm,3.42868212313699e-05,3.29779686580878e-06,303130.430231448
CSNATp,3.42868212313699e-05,9.35485331865493e-07,1067785.77213465
DDCRNe,3.42868212313699e-05,2.01370085051167e-07,4941272.38680529
DLNLCGCPT1,3.42868212313699e-05,1000.00000054897,0.000999965712628822
DLNLCGCRNt,3.42868212313699e-05,2000,0.000499982856589134
DMNONCOACRNCPT1,3.42868212313699e-05,1.80410129360098e-05,55424.2875628889
DOCO13EFATP,3.42868212313699e-05,1.00337068147383e-05,99650.7154259944
DOCOSACTDr,3.42868212313699e-05,547.85893922842,0.0018252247824691
EICOSTETCRNt,3.42868212313699e-05,2000,0.000499982856589134
ELAIDCRNt,3.42868212313699e-05,2000,0.000499982856589134
ETF,3.42868212313699e-05,2.7448550099507e-07,3629830.64287171
ETFQO,3.42868212313699e-05,2.7448550099507e-07,3629830.64287171
FAOXC101x,3.42868212313699e-05,1.2170112692426e-06,820982.316362788
FAOXC121x,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
FAOXC2051843m,3.42868212313699e-05,1.82391360681322e-06,547952.357550214
FAOXC226205m,3.42868212313699e-05,1.82389965175389e-06,547956.547757414
HDDACBP,3.42868212313699e-05,2.01370085051167e-07,4941272.38680529
HEXCOAACBP,3.42868212313699e-05,1.25869749467711e-06,793814.163641792
HMR_0197,3.42868212313699e-05,6.96484767104266e-06,143552.624232033
HMR_0230,3.42868212313699e-05,1.59592529058727e-06,626181.90035116
HMR_0410,3.42868212313699e-05,2.67389502065877e-06,373833.629153976
HMR_2332,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_2334,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_2336,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_2338,3.42868212313699e-05,1.19491969030605e-06,836147.879564442
HMR_2342,3.42868212313699e-05,1.35069922180264e-06,739784.189448006
HMR_2343,3.42868212313699e-05,1.35069922180264e-06,739784.189448006
HMR_2344,3.42868212313699e-05,1.35069922180264e-06,739784.189448006
HMR_2345,3.42868212313699e-05,1.35069922180264e-06,739784.189448006
HMR_2374,3.42868212313699e-05,1.2170121692634e-06,820981.70971765
HMR_2376,3.42868212313699e-05,1.2170121692634e-06,820981.70971765
HMR_2380,3.42868212313699e-05,1.2170126382216e-06,820981.39362396
HMR_2608,3.42868212313699e-05,6.96477445671917e-06,143554.133053246
HMR_2660,3.42868212313699e-05,1.35073037199618e-06,739767.141358274
HMR_2681,3.42868212313699e-05,1.35069922180264e-06,739784.189448006
HMR_2702,3.42868212313699e-05,547.858939228417,0.00182522478246911
HMR_2973,3.42868212313699e-05,547.858939037469,0.00182522478310526
