Food Rxn,Flux
Food_Added_EX_CE2510[e],-2
Food_Added_EX_hpdca[e],-2
Food_Added_EX_strdnc[e],-2
Food_Removed_EX_10fthf[e],-9.29145293452412e-10
Food_Removed_EX_5mthf[e],-9.55442992177154e-10
Food_Removed_EX_CE4843[e],-1.19651315199668e-06
Food_Removed_EX_adrn[e],-2.71483303324373e-07
Food_Removed_EX_arach[e],-2.02767590355967e-06
Food_Removed_EX_arachd[e],-1.08883498446303e-06
Food_Removed_EX_ascb_L[e],-4.52675613868583e-06
Food_Removed_EX_avite1[e],-2.27823566928818e-07
Food_Removed_EX_btn[e],-9.81287918300946e-10
Food_Removed_EX_but[e],-4.37298788020742e-05
Food_Removed_EX_chsterol[e],-2.13908146010144e-06
Food_Removed_EX_clpnd[e],-1.88545421768142e-06
Food_Removed_EX_crvnc[e],-1.14167172803982e-05
Food_Removed_EX_docosac[e],-1.50923682384718e-06
Food_Removed_EX_fe2[e],-1.37068373772645e-06
Food_Removed_EX_fe3[e],-1.37068373772645e-06
Food_Removed_EX_fol[e],-9.94621427925354e-10
Food_Removed_EX_gal[e],-1.45707134764945e-07
Food_Removed_EX_hpdca[e],-4.29590410131729e-06
Food_Removed_EX_i[e],-1.81350323331138e-08
Food_Removed_EX_lcts[e],-4.23171139640633e-05
Food_Removed_EX_lgnc[e],-3.58151120550585e-07
Food_Removed_EX_nac[e],-1.4642019139814e-06
Food_Removed_EX_ncam[e],-6.99507579417525e-07
Food_Removed_EX_pnto_R[e],-1.15132407997177e-07
Food_Removed_EX_ptdca[e],-6.92690709679842e-06
Food_Removed_EX_pydam[e],-1.95362648894248e-08
Food_Removed_EX_pydx[e],-1.97745633311132e-08
Food_Removed_EX_pydxn[e],-1.95389439722916e-08
Food_Removed_EX_retinol[e],-3.78190707726308e-06
Food_Removed_EX_ribflv[e],-1.87097292451977e-08
Food_Removed_EX_sbt_D[e],-1.39291591783141e-06
Food_Removed_EX_thf[e],-9.87838734952996e-10
Food_Removed_EX_thm[e],-2.22972078368593e-05
Food_Removed_EX_ttdcea[e],-8.57565950482613e-06
Food_Removed_EX_vitd3[e],-3.35380541220998e-10
Food_Removed_EX_xylt[e],-1.09544047004036e-07
