Food Rxn,Flux
Food_Added_EX_CE2510[e],-2
Food_Added_EX_hpdca[e],-2
Food_Added_EX_pnto_R[e],-2
Food_Added_EX_ttdca[e],-2
Food_Added_EX_ttdcea[e],-2
Food_Removed_EX_10fthf[e],-5.23967237660808e-10
Food_Removed_EX_5mthf[e],-5.38797138489821e-10
Food_Removed_EX_CE4843[e],-4.78605260798675e-07
Food_Removed_EX_arach[e],-4.30439748867792e-06
Food_Removed_EX_arachd[e],-2.23671146240891e-06
Food_Removed_EX_ascb_L[e],-2.43100486039175e-06
Food_Removed_EX_avite1[e],-1.53575334394691e-07
Food_Removed_EX_btn[e],-7.44443033307892e-10
Food_Removed_EX_but[e],-0.000109726068499715
Food_Removed_EX_ca2[e],-7.72878303973917e-05
Food_Removed_EX_chsterol[e],-5.134118791114e-06
Food_Removed_EX_clpnd[e],-2.01570357007658e-07
Food_Removed_EX_crvnc[e],-6.92916998874946e-07
Food_Removed_EX_doco13ac[e],-2.33637684435277e-06
Food_Removed_EX_docosac[e],-1.892067627945e-06
Food_Removed_EX_fe2[e],-4.55203390336346e-07
Food_Removed_EX_fe3[e],-4.55203390336346e-07
Food_Removed_EX_fol[e],-5.608907947775e-10
Food_Removed_EX_gal[e],-1.24891829798525e-07
Food_Removed_EX_hpdca[e],-7.41468717962421e-06
Food_Removed_EX_i[e],-8.38491609738675e-09
Food_Removed_EX_lcts[e],-1.71946446039228e-05
Food_Removed_EX_lgnc[e],-9.27566066641133e-07
Food_Removed_EX_na1[e],-0.0007185261321596
Food_Removed_EX_nac[e],-1.28590080110946e-06
Food_Removed_EX_ncam[e],-6.06365002082571e-07
Food_Removed_EX_pnto_R[e],-1.06540437251119e-07
Food_Removed_EX_pydam[e],-1.32157086016697e-08
Food_Removed_EX_pydx[e],-1.33769104886943e-08
Food_Removed_EX_pydxn[e],-1.32175209224325e-08
Food_Removed_EX_ribflv[e],-1.53884755330324e-08
Food_Removed_EX_sbt_D[e],-1.37233095352848e-07
Food_Removed_EX_thf[e],-5.57065872103221e-10
Food_Removed_EX_thm[e],-2.25327417224599e-05
Food_Removed_EX_urate[e],-1.21641366808974e-05
Food_Removed_EX_vitd3[e],-3.6506215242725e-11
Food_Removed_EX_xylt[e],-5.91537853821796e-07
Food_Removed_EX_zn2[e],-6.29014989293362e-07
