Food Rxn,Flux
Food_Added_EX_CE2510[e],-2
Food_Added_EX_hpdca[e],-2
Food_Removed_EX_10fthf[e],-4.64440069514296e-10
Food_Removed_EX_5mthf[e],-4.77585166529646e-10
Food_Removed_EX_CE4843[e],-1.23662276615195e-06
Food_Removed_EX_adrn[e],-1.5082405740243e-07
Food_Removed_EX_arach[e],-5.82996947786008e-06
Food_Removed_EX_arachd[e],-3.56171242080339e-06
Food_Removed_EX_ascb_L[e],-1.17493412945233e-06
Food_Removed_EX_avite1[e],-2.32273623862459e-07
Food_Removed_EX_btn[e],-7.22864974371429e-10
Food_Removed_EX_but[e],-0.00011170470080171
Food_Removed_EX_clpnd[e],-1.76178056074698e-06
Food_Removed_EX_crvnc[e],-7.03324749610892e-06
Food_Removed_EX_docosac[e],-2.07342145116826e-06
Food_Removed_EX_fe2[e],-9.17457546184379e-07
Food_Removed_EX_fe3[e],-9.17457546184379e-07
Food_Removed_EX_fol[e],-4.97168794139429e-10
Food_Removed_EX_i[e],-3.20240886707931e-08
Food_Removed_EX_lcts[e],-2.62929945237535e-07
Food_Removed_EX_lgnc[e],-8.56955893190812e-07
Food_Removed_EX_nac[e],-1.32505879671148e-06
Food_Removed_EX_ncam[e],-7.56399611544275e-07
Food_Removed_EX_pnto_R[e],-9.35570147904092e-08
Food_Removed_EX_ptdca[e],-1.40937444419036e-05
Food_Removed_EX_pydam[e],-1.37903046278292e-08
Food_Removed_EX_pydx[e],-1.39585152925505e-08
Food_Removed_EX_pydxn[e],-1.3792195745147e-08
Food_Removed_EX_ribflv[e],-1.92632715305586e-08
Food_Removed_EX_thf[e],-4.93778415457242e-10
Food_Removed_EX_thm[e],-7.53708433922004e-06
Food_Removed_EX_vitd3[e],-2.7634229995309e-10
Food_Removed_EX_xylt[e],-4.92948211518163e-07
