Food Rxn,Flux
Food_Added_EX_CE2510[e],-2
Food_Added_EX_hpdca[e],-2
Food_Removed_EX_10fthf[e],-1.15844862954759e-09
Food_Removed_EX_5mthf[e],-1.19123632514549e-09
Food_Removed_EX_CE4843[e],-1.51766107614528e-08
Food_Removed_EX_arach[e],-5.22287047217029e-06
Food_Removed_EX_arachd[e],-2.60881017714975e-08
Food_Removed_EX_ascb_L[e],-6.66355159221896e-06
Food_Removed_EX_avite1[e],-2.15392429625058e-07
Food_Removed_EX_btn[e],-1.99143220906851e-09
Food_Removed_EX_but[e],-7.39116756910671e-07
Food_Removed_EX_chsterol[e],-1.53022452057635e-08
Food_Removed_EX_doco13ac[e],-1.09097985729142e-06
Food_Removed_EX_docosac[e],-5.25367792424821e-06
Food_Removed_EX_fe2[e],-6.78029963888142e-07
Food_Removed_EX_fe3[e],-6.78029963888142e-07
Food_Removed_EX_fol[e],-1.24008358888363e-09
Food_Removed_EX_gal[e],-5.55074799104554e-08
Food_Removed_EX_hpdca[e],-5.57245875777421e-07
Food_Removed_EX_i[e],-5.92834384268208e-09
Food_Removed_EX_lcts[e],-4.27261161010996e-07
Food_Removed_EX_lgnc[e],-1.84062474612072e-06
Food_Removed_EX_na1[e],-0.000474861587359667
Food_Removed_EX_nac[e],-1.10273693061374e-06
Food_Removed_EX_ncam[e],-4.88742644807025e-07
Food_Removed_EX_pnto_R[e],-1.45968036341363e-07
Food_Removed_EX_ptdca[e],-1.43958148984049e-07
Food_Removed_EX_pydam[e],-2.43792885384838e-08
Food_Removed_EX_pydx[e],-2.46766609636161e-08
Food_Removed_EX_pydxn[e],-2.4382631763742e-08
Food_Removed_EX_retinol[e],-5.23648672236425e-06
Food_Removed_EX_ribflv[e],-2.21416914144352e-08
Food_Removed_EX_thf[e],-1.23162699825798e-09
Food_Removed_EX_thm[e],-4.3181212360115e-05
Food_Removed_EX_ttdcea[e],-1.23698064008811e-07
Food_Removed_EX_urate[e],-1.16353419947102e-05
Food_Removed_EX_vitd3[e],-9.20779909682975e-12
Food_Removed_EX_xylt[e],-1.05983865476405e-06
