Food Rxn,Flux
Food_Added_EX_5mthf[e],-1
Food_Added_EX_CE2510[e],-1
Food_Added_EX_arach[e],-1
Food_Added_EX_arachd[e],-1
Food_Added_EX_arg_L[e],-1
Food_Added_EX_btn[e],-1
Food_Added_EX_crvnc[e],-1
Food_Added_EX_ddca[e],-1
Food_Added_EX_docosac[e],-1
Food_Added_EX_fol[e],-1
Food_Added_EX_glc_D[e],-1
Food_Added_EX_glu_L[e],-1
Food_Added_EX_hdcea[e],-1
Food_Added_EX_hpdca[e],-1
Food_Added_EX_lcts[e],-1
Food_Added_EX_leu_L[e],-1
Food_Added_EX_lgnc[e],-1
Food_Added_EX_lnlc[e],-1
Food_Added_EX_lnlnca[e],-1
Food_Added_EX_ncam[e],-1
Food_Added_EX_ocdca[e],-1
Food_Added_EX_ocdcea[e],-1
Food_Added_EX_pnto_R[e],-1
Food_Added_EX_pydx[e],-1
Food_Added_EX_pydxn[e],-1
Food_Added_EX_retinol[e],-1
Food_Added_EX_ribflv[e],-1
Food_Added_EX_sbt_D[e],-1
Food_Added_EX_strdnc[e],-1
Food_Added_EX_ttdca[e],-1
Food_Added_EX_ttdcea[e],-1
Food_Added_EX_tyr_L[e],-1
Food_Added_EX_val_L[e],-1
Food_Added_EX_vitd3[e],-1
Food_Removed_EX_10fthf[e],-5.32712914406313e-10
Food_Removed_EX_5mthf[e],-5.47790345060658e-10
Food_Removed_EX_CE4843[e],-1.2870985474791e-06
Food_Removed_EX_ala_L[e],-0.000359872021658219
Food_Removed_EX_arachd[e],-4.30820285712496e-06
Food_Removed_EX_ascb_L[e],-3.10779356792804e-06
Food_Removed_EX_asp_L[e],-0.000421115589800346
Food_Removed_EX_avite1[e],-2.21545117037658e-07
Food_Removed_EX_btn[e],-1.1241654942588e-09
Food_Removed_EX_but[e],-0.000185013362465537
Food_Removed_EX_ca2[e],-0.000221019012924797
Food_Removed_EX_chsterol[e],-1.15146808878406e-05
Food_Removed_EX_cl[e],-0.00257483804849613
Food_Removed_EX_clpnd[e],-3.1120743324708e-06
Food_Removed_EX_crvnc[e],-5.90875237380692e-06
Food_Removed_EX_cys_L[e],-7.07181464674563e-05
Food_Removed_EX_dca[e],-7.02184936414167e-05
Food_Removed_EX_doco13ac[e],-9.23119426479721e-06
Food_Removed_EX_docosac[e],-3.6535065142097e-06
Food_Removed_EX_fe2[e],-7.08359447279671e-07
Food_Removed_EX_fe3[e],-7.08359447279671e-07
Food_Removed_EX_fol[e],-5.70252772451054e-10
Food_Removed_EX_fru[e],-0.000385130623902224
Food_Removed_EX_gal[e],-1.3761229394467e-06
Food_Removed_EX_gly[e],-0.000351905618921509
Food_Removed_EX_h2o[e],-0.6363387542871
Food_Removed_EX_hdca[e],-0.000762954319115617
Food_Removed_EX_hdcea[e],-9.07909343438029e-05
Food_Removed_EX_his_L[e],-0.000129004956991285
Food_Removed_EX_i[e],-1.10190497361257e-08
Food_Removed_EX_ile_L[e],-0.000254532344968613
Food_Removed_EX_k[e],-0.000371057160200486
Food_Removed_EX_lcts[e],-0.000179462347214574
Food_Removed_EX_lgnc[e],-1.47508392523473e-06
Food_Removed_EX_lnlnca[e],-3.29522408184604e-05
Food_Removed_EX_lys_L[e],-0.000329706042870423
Food_Removed_EX_met_L[e],-0.000109659255029613
Food_Removed_EX_na1[e],-0.00129062852934107
Food_Removed_EX_nac[e],-1.89947843938581e-06
Food_Removed_EX_ncam[e],-1.01463996606744e-06
Food_Removed_EX_phe_L[e],-0.000186540380085611
Food_Removed_EX_pi[e],-0.000118657573386484
Food_Removed_EX_pnto_R[e],-1.22216010545594e-07
Food_Removed_EX_pro_L[e],-0.000445818368431187
Food_Removed_EX_ptdca[e],-2.32576472501991e-05
Food_Removed_EX_pydam[e],-1.65565740680545e-08
Food_Removed_EX_pydx[e],-1.67585269911157e-08
Food_Removed_EX_pydxn[e],-1.65588445345009e-08
Food_Removed_EX_ribflv[e],-2.63154002460562e-08
Food_Removed_EX_sbt_D[e],-6.504848719725e-06
Food_Removed_EX_ser_L[e],-0.000322597444222207
Food_Removed_EX_strdnc[e],-3.57048883260023e-07
Food_Removed_EX_thf[e],-5.66364006973479e-10
Food_Removed_EX_thm[e],-2.58616206389488e-05
Food_Removed_EX_thr_L[e],-0.000236594345551907
Food_Removed_EX_trp_L[e],-4.14621334683477e-05
Food_Removed_EX_urate[e],-1.60216486834338e-05
Food_Removed_EX_vitd3[e],-7.10625436178858e-11
