Food Rxn,Flux
Food_Added_EX_CE2510[e],-10
Food_Added_EX_dca[e],-20
Food_Added_EX_doco13ac[e],-20
Food_Added_EX_fru[e],-399.402450381196
Food_Added_EX_hpdca[e],-10
Food_Removed_EX_10fthf[e],-1.0496911233794e-09
Food_Removed_EX_5mthf[e],-1.07940064363548e-09
Food_Removed_EX_CE2510[e],-3.37196632748165e-06
Food_Removed_EX_CE4843[e],-2.57189350225335e-07
Food_Removed_EX_adrn[e],-1.10604308761782e-07
Food_Removed_EX_ala_L[e],-0.000346865931780802
Food_Removed_EX_arach[e],-2.80310143462083e-06
Food_Removed_EX_arachd[e],-2.4557142114907e-06
Food_Removed_EX_ascb_L[e],-4.67665660477633e-06
Food_Removed_EX_asp_L[e],-0.000400617574613768
Food_Removed_EX_avite1[e],-1.64942327649102e-07
Food_Removed_EX_btn[e],-2.05702265805791e-09
Food_Removed_EX_but[e],-1.22171933579189e-05
Food_Removed_EX_ca2[e],-0.000105914300447461
Food_Removed_EX_chsterol[e],-6.64731686984171e-06
Food_Removed_EX_cl[e],-0.00200902250867345
Food_Removed_EX_clpnd[e],-1.16465683064023e-06
Food_Removed_EX_crvnc[e],-1.3464550386695e-05
Food_Removed_EX_cys_L[e],-7.28536120543225e-05
Food_Removed_EX_dca[e],-4.81343698280612e-06
Food_Removed_EX_ddca[e],-5.02525883490592e-06
Food_Removed_EX_doco13ac[e],-1.15288248765083e-06
Food_Removed_EX_docosac[e],-7.80201816620512e-07
Food_Removed_EX_fe2[e],-1.37109409974035e-06
Food_Removed_EX_fe3[e],-1.37109409974035e-06
Food_Removed_EX_fol[e],-1.12366202721303e-09
Food_Removed_EX_fru[e],-0.000274195271058752
Food_Removed_EX_gal[e],-1.21607637237156e-06
Food_Removed_EX_glc_D[e],-0.000447302401235079
Food_Removed_EX_glu_L[e],-0.000675915603451833
Food_Removed_EX_hdcea[e],-1.65319785861869e-05
Food_Removed_EX_his_L[e],-0.000106415364632008
Food_Removed_EX_hpdca[e],-1.7099337509113e-06
Food_Removed_EX_i[e],-1.48425294501709e-08
Food_Removed_EX_k[e],-0.000410948707062285
Food_Removed_EX_lcts[e],-7.13130526702242e-05
Food_Removed_EX_lgnc[e],-2.83744091866578e-07
Food_Removed_EX_lnlnca[e],-6.90885632474558e-06
Food_Removed_EX_nac[e],-2.11009556257158e-06
Food_Removed_EX_ncam[e],-1.02132712546585e-06
Food_Removed_EX_ocdcea[e],-0.000414588761999914
Food_Removed_EX_phe_L[e],-0.000159401533353795
Food_Removed_EX_pi[e],-7.52314995698725e-05
Food_Removed_EX_pnto_R[e],-1.71553015896292e-07
Food_Removed_EX_ptdca[e],-1.5185513377544e-06
Food_Removed_EX_pydam[e],-2.25323727401138e-08
Food_Removed_EX_pydx[e],-2.2807216951221e-08
Food_Removed_EX_pydxn[e],-2.25354626907313e-08
Food_Removed_EX_retinol[e],-8.65474888835204e-06
Food_Removed_EX_ribflv[e],-2.19756287288269e-08
Food_Removed_EX_sbt_D[e],-8.58164289606479e-06
Food_Removed_EX_ser_L[e],-0.000290468239438362
Food_Removed_EX_strdnc[e],-3.38893855297649e-07
Food_Removed_EX_thf[e],-1.11599935846158e-09
Food_Removed_EX_thr_L[e],-0.00020273197631728
Food_Removed_EX_ttdcea[e],-2.03380695824353e-06
Food_Removed_EX_val_L[e],-0.000285989612988204
Food_Removed_EX_vitd3[e],-6.08798010872742e-11
Food_Removed_EX_xylt[e],-3.28632141012108e-07
