Food Rxn,Flux
Food_Added_EX_CE2510[e],-20
Food_Added_EX_arachd[e],-40
Food_Added_EX_chsterol[e],-9.644395531388
Food_Added_EX_dca[e],-9.99999049841426
Food_Added_EX_doco13ac[e],-20
Food_Added_EX_hpdca[e],-20
Food_Added_EX_lnlc[e],-9.99970916274469
Food_Added_EX_pnto_R[e],-47.3433543235296
Food_Removed_EX_10fthf[e],-1.15844862954759e-09
Food_Removed_EX_5mthf[e],-1.19123632514549e-09
Food_Removed_EX_CE2510[e],-4.74047510887758e-06
Food_Removed_EX_CE4843[e],-1.51766107614528e-08
Food_Removed_EX_ala_L[e],-0.000123215772920941
Food_Removed_EX_arach[e],-5.22287047217029e-06
Food_Removed_EX_arachd[e],-2.60881017714975e-08
Food_Removed_EX_ascb_L[e],-6.66355159221896e-06
Food_Removed_EX_asp_L[e],-0.000193849721702183
Food_Removed_EX_avite1[e],-2.15392429625058e-07
Food_Removed_EX_btn[e],-1.99143220906851e-09
Food_Removed_EX_but[e],-7.39116756910671e-07
Food_Removed_EX_ca2[e],-8.77133339987025e-05
Food_Removed_EX_chsterol[e],-1.53022452057635e-08
Food_Removed_EX_cl[e],-0.000913151449336679
Food_Removed_EX_cys_L[e],-3.11834031869077e-05
Food_Removed_EX_doco13ac[e],-1.09097985729142e-06
Food_Removed_EX_docosac[e],-5.25367792424821e-06
Food_Removed_EX_fe2[e],-6.78029963888142e-07
Food_Removed_EX_fe3[e],-6.78029963888142e-07
Food_Removed_EX_fol[e],-1.24008358888363e-09
Food_Removed_EX_gal[e],-5.55074799104554e-08
Food_Removed_EX_glu_L[e],-0.00035506031632623
Food_Removed_EX_hdca[e],-0.000136948101548806
Food_Removed_EX_hdcea[e],-8.64286335362138e-06
Food_Removed_EX_hpdca[e],-5.57245875777421e-07
Food_Removed_EX_i[e],-5.92834384268208e-09
Food_Removed_EX_k[e],-0.000446155907034321
Food_Removed_EX_lcts[e],-4.27261161010996e-07
Food_Removed_EX_lgnc[e],-1.84062474612072e-06
Food_Removed_EX_lnlnca[e],-2.59833074821953e-05
Food_Removed_EX_lys_L[e],-8.19379385465817e-05
Food_Removed_EX_met_L[e],-2.07793969580945e-05
Food_Removed_EX_nac[e],-1.10273693061374e-06
Food_Removed_EX_ncam[e],-4.88742644807025e-07
Food_Removed_EX_ocdcea[e],-0.0005147595037047
Food_Removed_EX_phe_L[e],-7.15187927048454e-05
Food_Removed_EX_pi[e],-4.73111997413329e-05
Food_Removed_EX_pnto_R[e],-1.45968036341363e-07
Food_Removed_EX_pro_L[e],-0.000139640089579506
Food_Removed_EX_ptdca[e],-1.43958148984049e-07
Food_Removed_EX_pydam[e],-2.43792885384838e-08
Food_Removed_EX_pydx[e],-2.46766609636161e-08
Food_Removed_EX_pydxn[e],-2.4382631763742e-08
Food_Removed_EX_retinol[e],-5.23648672236425e-06
Food_Removed_EX_ribflv[e],-2.21416914144352e-08
Food_Removed_EX_sbt_D[e],-1.6387918803386e-05
Food_Removed_EX_ser_L[e],-0.000126289418411318
Food_Removed_EX_thf[e],-1.23162699825798e-09
Food_Removed_EX_thr_L[e],-7.33229123992325e-05
Food_Removed_EX_trp_L[e],-1.29298645155773e-05
Food_Removed_EX_ttdcea[e],-1.23698064008811e-07
Food_Removed_EX_val_L[e],-0.000110047934363555
Food_Removed_EX_vitd3[e],-9.20779909682975e-12
Food_Removed_EX_xylt[e],-1.05983865476405e-06
