Food Rxn,Flux
Food_Added_EX_CE2510[e],-30
Food_Added_EX_arach[e],-20
Food_Added_EX_arachd[e],-20
Food_Added_EX_dca[e],-20
Food_Added_EX_doco13ac[e],-20
Food_Added_EX_hpdca[e],-20
Food_Removed_EX_10fthf[e],-7.6968805183055e-10
Food_Removed_EX_5mthf[e],-7.91472615172483e-10
Food_Removed_EX_CE2510[e],-2.48749407390128e-06
Food_Removed_EX_CE4843[e],-6.04354321393567e-08
Food_Removed_EX_ala_L[e],-0.000107055729281247
Food_Removed_EX_arach[e],-4.63148729225017e-06
Food_Removed_EX_arachd[e],-7.41451313505717e-09
Food_Removed_EX_ascb_L[e],-3.29626366188089e-06
Food_Removed_EX_asp_L[e],-0.000146457270175614
Food_Removed_EX_avite1[e],-1.71956004337993e-07
Food_Removed_EX_btn[e],-8.44969387242037e-10
Food_Removed_EX_but[e],-1.95485618366607e-05
Food_Removed_EX_ca2[e],-7.7007647587205e-05
Food_Removed_EX_chsterol[e],-4.3385098027045e-07
Food_Removed_EX_cl[e],-0.00084811934087211
Food_Removed_EX_crvnc[e],-3.2444699726976e-07
Food_Removed_EX_cys_L[e],-2.81087385473428e-05
Food_Removed_EX_dca[e],-7.52622622453117e-06
Food_Removed_EX_ddca[e],-8.77350653772837e-06
Food_Removed_EX_doco13ac[e],-5.20648643780642e-07
Food_Removed_EX_docosac[e],-1.27002892237644e-06
Food_Removed_EX_fe2[e],-4.52330856238996e-07
Food_Removed_EX_fe3[e],-4.52330856238996e-07
Food_Removed_EX_fol[e],-8.23927360514575e-10
Food_Removed_EX_fru[e],-0.000853915738165296
Food_Removed_EX_gal[e],-4.07979977341847e-06
Food_Removed_EX_glc_D[e],-0.000425575270270546
Food_Removed_EX_glu_L[e],-0.00034762043589812
Food_Removed_EX_gly[e],-0.000126091919264582
Food_Removed_EX_hdca[e],-0.000164748000093443
Food_Removed_EX_hdcea[e],-1.7035546129977e-05
Food_Removed_EX_his_L[e],-3.25753044597668e-05
Food_Removed_EX_hpdca[e],-1.94228061600234e-06
Food_Removed_EX_i[e],-4.46562940874608e-09
Food_Removed_EX_k[e],-0.000315888627723797
Food_Removed_EX_lcts[e],-3.55581101958877e-05
Food_Removed_EX_lgnc[e],-3.76058676578114e-07
Food_Removed_EX_na1[e],-0.000443624866744783
Food_Removed_EX_nac[e],-8.69580499284067e-07
Food_Removed_EX_ncam[e],-4.06091401732329e-07
Food_Removed_EX_ocdcea[e],-0.000343401799966413
Food_Removed_EX_phe_L[e],-6.47813122455821e-05
Food_Removed_EX_pi[e],-4.46367949477996e-05
Food_Removed_EX_pnto_R[e],-7.58957415901792e-08
Food_Removed_EX_pro_L[e],-0.000154046748400004
Food_Removed_EX_ptdca[e],-2.59003839988688e-06
Food_Removed_EX_pydam[e],-1.37903046278292e-08
Food_Removed_EX_pydx[e],-1.39585152925505e-08
Food_Removed_EX_pydxn[e],-1.3792195745147e-08
Food_Removed_EX_retinol[e],-8.72747787060713e-07
Food_Removed_EX_ribflv[e],-7.80494622358837e-09
Food_Removed_EX_thf[e],-8.1830869379275e-10
Food_Removed_EX_ttdcea[e],-2.98095693266077e-06
Food_Removed_EX_val_L[e],-0.000104241626353827
Food_Removed_EX_vitd3[e],-2.93566300616572e-11
Food_Removed_EX_xylt[e],-3.14117554784073e-07
Food_Removed_EX_zn2[e],-4.84985214642604e-07
