Food Rxn,Flux
Food_Added_EX_CE2510[e],-20
Food_Added_EX_arach[e],-20
Food_Added_EX_arachd[e],-20
Food_Added_EX_dca[e],-19.9999552149093
Food_Added_EX_doco13ac[e],-10
Food_Added_EX_hpdca[e],-20
Food_Added_EX_lnlc[e],-9.99977089394815
Food_Removed_EX_10fthf[e],-5.23967237660808e-10
Food_Removed_EX_5mthf[e],-5.38797138489821e-10
Food_Removed_EX_CE2510[e],-4.52777097483542e-06
Food_Removed_EX_CE4843[e],-4.78605260798675e-07
Food_Removed_EX_ala_L[e],-0.000155035681735531
Food_Removed_EX_arach[e],-4.30439748867792e-06
Food_Removed_EX_arachd[e],-2.23671146240891e-06
Food_Removed_EX_ascb_L[e],-2.43100486039175e-06
Food_Removed_EX_asp_L[e],-0.000196194788032121
Food_Removed_EX_avite1[e],-1.53575334394691e-07
Food_Removed_EX_btn[e],-7.44443033307892e-10
Food_Removed_EX_but[e],-0.000109726068499715
Food_Removed_EX_ca2[e],-7.72878303973917e-05
Food_Removed_EX_chsterol[e],-5.134118791114e-06
Food_Removed_EX_cl[e],-0.00156482291108416
Food_Removed_EX_clpnd[e],-2.01570357007658e-07
Food_Removed_EX_crvnc[e],-6.92916998874946e-07
Food_Removed_EX_doco13ac[e],-2.33637684435277e-06
Food_Removed_EX_docosac[e],-1.892067627945e-06
Food_Removed_EX_fe2[e],-4.55203462479403e-07
Food_Removed_EX_fe3[e],-4.55203390336346e-07
Food_Removed_EX_fol[e],-5.608907947775e-10
Food_Removed_EX_fru[e],-0.000443774438324438
Food_Removed_EX_gal[e],-1.24891829798525e-07
Food_Removed_EX_glc_D[e],-0.000564918125542008
Food_Removed_EX_glu_L[e],-0.000429675835532992
Food_Removed_EX_hdca[e],-0.000386604446626505
Food_Removed_EX_hdcea[e],-2.96686375930363e-05
Food_Removed_EX_his_L[e],-5.84336526277663e-05
Food_Removed_EX_hpdca[e],-7.41468717962421e-06
Food_Removed_EX_i[e],-8.38491609738675e-09
Food_Removed_EX_k[e],-0.000347640860770587
Food_Removed_EX_lcts[e],-1.71946446039228e-05
Food_Removed_EX_leu_L[e],-0.000195365874607738
Food_Removed_EX_lgnc[e],-9.27566066641133e-07
Food_Removed_EX_lys_L[e],-0.00013879811769608
Food_Removed_EX_na1[e],-0.00071852613414912
Food_Removed_EX_nac[e],-1.28590080110946e-06
Food_Removed_EX_ncam[e],-6.06365002082571e-07
Food_Removed_EX_pi[e],-5.92775386637187e-05
Food_Removed_EX_pnto_R[e],-1.06540437251119e-07
Food_Removed_EX_pro_L[e],-0.000224230329929949
Food_Removed_EX_ptdca[e],-1.2058652623532e-05
Food_Removed_EX_pydam[e],-1.32157086016697e-08
Food_Removed_EX_pydx[e],-1.33769104886943e-08
Food_Removed_EX_pydxn[e],-1.32175209224325e-08
Food_Removed_EX_retinol[e],-1.25093849478702e-05
Food_Removed_EX_ribflv[e],-1.53884755330324e-08
Food_Removed_EX_sbt_D[e],-1.37233095352848e-07
Food_Removed_EX_ser_L[e],-0.000155746773163223
Food_Removed_EX_thf[e],-5.57065872103221e-10
Food_Removed_EX_val_L[e],-0.000157434905470055
Food_Removed_EX_vitd3[e],-3.6506215242725e-11
Food_Removed_EX_xylt[e],-5.91537853821796e-07
Food_Removed_EX_zn2[e],-6.29014989293362e-07
